19, 1, 27, 21, 17, 24, 33, 6, 28, 3, 4, 9, 2, 25, 13, 15, 30, 20, 10, 5, 12, 31, 8, 16, 32, 22, 18, 29, 14, 11, 26, 23, 7
13, 27, 33, 11, 20, 4, 19, 6, 16, 28, 21, 10, 7, 23, 26, 9, 5, 8, 29, 1, 22, 3, 14, 12, 32, 30, 24, 17, 18, 25, 2, 31, 15
8, 29, 25, 31, 9, 32, 12, 14, 5, 13, 27, 21, 4, 28, 3, 22, 1, 19, 6, 24, 17, 20, 11, 10, 7, 30, 26, 23, 16, 15, 33, 18, 2
25, 31, 9, 32, 12, 14, 3, 22, 1, 19, 6, 24, 17, 20, 11, 28, 4, 21, 27, 13, 23, 26, 30, 7, 10, 29, 8, 5, 16, 15, 33, 18, 2
8, 28, 11, 20, 25, 18, 10, 2, 5, 3, 31, 15, 30, 26, 23, 19, 1, 32, 22, 6, 27, 21, 4, 14, 7, 13, 24, 33, 17, 29, 16, 9, 12
15, 30, 20, 5, 19, 1, 27, 21, 17, 24, 33, 6, 4, 9, 12, 13, 25, 2, 10, 28, 3, 31, 8, 16, 32, 22, 18, 29, 14, 11, 26, 23, 7
8, 29, 25, 2, 9, 26, 23, 18, 5, 31, 15, 3, 14, 12, 32, 30, 24, 17, 20, 11, 33, 4, 28, 13, 27, 21, 10, 7, 16, 6, 19, 1, 22
6, 13, 27, 2, 31, 21, 7, 10, 11, 20, 12, 32, 26, 30, 24, 17, 25, 29, 8, 5, 9, 4, 28, 16, 15, 33, 23, 14, 3, 22, 1, 19, 18
12, 32, 19, 31, 10, 2, 6, 25, 29, 18, 20, 3, 7, 24, 22, 14, 30, 15, 9, 16, 28, 17, 26, 23, 33, 1, 4, 11, 13, 8, 27, 21, 5
17, 3, 7, 1, 4, 16, 14, 24, 5, 13, 23, 33, 8, 27, 11, 18, 2, 28, 26, 6, 29, 20, 19, 31, 32, 25, 30, 22, 21, 10, 15, 9, 12
6, 25, 29, 30, 20, 18, 2, 10, 31, 19, 32, 12, 7, 24, 22, 14, 3, 15, 9, 16, 28, 17, 26, 23, 33, 1, 4, 11, 13, 8, 27, 21, 5
11, 13, 7, 6, 24, 17, 28, 16, 19, 25, 29, 33, 9, 2, 10, 31, 18, 20, 3, 23, 26, 4, 1, 27, 21, 32, 12, 14, 22, 8, 5, 15, 30
8, 5, 16, 28, 17, 24, 22, 14, 29, 25, 19, 18, 20, 3, 12, 32, 21, 27, 31, 10, 2, 9, 33, 11, 13, 7, 6, 1, 4, 26, 23, 15, 30
7, 6, 13, 27, 2, 31, 21, 10, 11, 20, 12, 32, 26, 30, 24, 17, 25, 29, 8, 5, 9, 4, 28, 16, 15, 33, 23, 14, 3, 22, 1, 19, 18
25, 31, 9, 32, 12, 14, 3, 22, 1, 19, 6, 24, 17, 20, 28, 4, 21, 27, 13, 23, 26, 30, 7, 10, 11, 29, 8, 5, 16, 15, 33, 18, 2
8, 29, 25, 31, 9, 32, 12, 14, 5, 13, 27, 21, 4, 28, 3, 22, 1, 19, 6, 24, 17, 20, 11, 10, 7, 30, 26, 23, 16, 15, 33, 2, 18
5, 18, 19, 1, 22, 33, 15, 16, 28, 4, 21, 2, 31, 27, 13, 6, 7, 10, 11, 20, 23, 26, 3, 14, 12, 32, 30, 24, 17, 25, 29, 8, 9
4, 19, 1, 25, 27, 2, 18, 20, 12, 6, 9, 32, 8, 29, 7, 13, 16, 28, 17, 24, 31, 11, 33, 23, 26, 10, 22, 21, 5, 3, 14, 15, 30
8, 33, 23, 13, 5, 24, 28, 21, 27, 16, 29, 20, 30, 26, 18, 2, 11, 19, 31, 32, 25, 6, 7, 1, 4, 3, 22, 14, 17, 10, 15, 9, 12
17, 28, 7, 1, 4, 16, 14, 24, 5, 13, 23, 33, 8, 27, 11, 2, 18, 3, 26, 6, 29, 20, 19, 31, 32, 25, 30, 22, 21, 10, 15, 9, 12
6, 10, 8, 29, 16, 9, 22, 1, 5, 18, 31, 25, 28, 17, 24, 11, 4, 26, 20, 27, 2, 19, 33, 3, 13, 7, 23, 21, 32, 12, 14, 15, 30
21, 31, 2, 27, 13, 6, 7, 10, 11, 20, 12, 32, 9, 5, 8, 29, 25, 17, 24, 30, 26, 4, 28, 16, 15, 33, 23, 14, 3, 22, 1, 19, 18
5, 16, 28, 17, 24, 9, 2, 27, 8, 29, 7, 18, 20, 33, 23, 26, 4, 19, 1, 22, 6, 10, 3, 13, 31, 25, 11, 21, 32, 12, 14, 15, 30
33, 2, 9, 25, 32, 12, 14, 3, 22, 1, 19, 6, 16, 28, 4, 21, 27, 13, 23, 26, 30, 24, 17, 18, 20, 10, 29, 8, 7, 11, 15, 31, 5
