23, 38, 29, 43, 11, 45, 21, 35, 8, 47, 13, 1, 9, 37, 4, 32, 16, 44, 27, 42, 36, 33, 28, 51, 34, 50, 10, 24, 49, 41, 18, 40, 17, 15, 25, 7, 5, 52, 2, 3, 6, 48, 20, 26, 12, 19, 30, 46, 31, 14, 22, 39
32, 11, 10, 23, 45, 38, 8, 47, 25, 15, 44, 27, 14, 4, 7, 34, 28, 49, 52, 31, 37, 12, 26, 16, 35, 21, 33, 19, 42, 1, 9, 29, 20, 39, 43, 24, 22, 6, 2, 3, 46, 13, 48, 30, 51, 41, 50, 5, 36, 18, 40, 17
32, 11, 10, 23, 45, 21, 35, 16, 26, 12, 37, 31, 52, 49, 28, 34, 7, 4, 14, 27, 44, 15, 25, 47, 29, 9, 1, 42, 19, 33, 38, 8, 20, 39, 43, 24, 22, 6, 2, 3, 46, 13, 48, 30, 51, 41, 50, 17, 40, 18, 36, 5
37, 19, 34, 22, 29, 43, 11, 45, 21, 35, 17, 40, 18, 36, 5, 50, 6, 48, 13, 47, 8, 39, 20, 26, 12, 16, 24, 42, 1, 9, 2, 3, 38, 46, 30, 25, 7, 49, 27, 15, 33, 44, 32, 14, 31, 51, 41, 10, 52, 28, 23, 4
25, 15, 33, 37, 35, 17, 40, 42, 1, 28, 23, 4, 52, 24, 16, 12, 26, 31, 14, 32, 51, 50, 5, 36, 18, 30, 46, 3, 2, 38, 27, 7, 9, 44, 49, 41, 10, 29, 43, 11, 45, 21, 20, 39, 19, 34, 22, 6, 48, 13, 47, 8
32, 11, 10, 23, 45, 38, 8, 47, 25, 15, 4, 14, 27, 44, 7, 34, 28, 49, 52, 31, 37, 12, 26, 16, 35, 21, 33, 19, 42, 1, 9, 29, 20, 39, 43, 24, 22, 6, 2, 3, 46, 13, 48, 30, 51, 41, 50, 17, 40, 18, 36, 5
5, 50, 27, 13, 25, 14, 12, 20, 10, 37, 17, 16, 52, 32, 47, 8, 39, 29, 33, 21, 42, 1, 9, 26, 2, 35, 51, 3, 36, 48, 6, 45, 22, 4, 23, 43, 18, 40, 38, 46, 30, 19, 15, 11, 49, 44, 31, 24, 41, 28, 34, 7
17, 37, 35, 25, 10, 20, 12, 14, 5, 42, 1, 9, 26, 2, 50, 27, 13, 16, 52, 32, 47, 8, 39, 29, 33, 21, 51, 3, 36, 48, 6, 45, 22, 4, 23, 43, 18, 40, 38, 46, 30, 19, 15, 11, 49, 44, 31, 24, 41, 28, 34, 7
10, 45, 11, 19, 34, 22, 39, 8, 47, 13, 41, 49, 28, 48, 6, 44, 27, 38, 2, 30, 46, 3, 4, 37, 31, 14, 32, 29, 23, 43, 20, 26, 12, 16, 24, 42, 1, 9, 7, 25, 15, 33, 52, 51, 50, 5, 36, 18, 40, 17, 35, 21
32, 11, 10, 23, 45, 38, 8, 47, 25, 15, 44, 27, 14, 4, 7, 34, 28, 49, 52, 31, 37, 12, 26, 16, 35, 21, 33, 19, 42, 1, 9, 29, 20, 39, 43, 24, 22, 6, 2, 3, 46, 13, 48, 30, 51, 41, 50, 17, 40, 18, 36, 5
37, 19, 34, 22, 29, 43, 11, 45, 21, 35, 17, 40, 18, 36, 5, 50, 6, 48, 13, 47, 8, 39, 20, 26, 12, 16, 24, 42, 1, 9, 7, 25, 30, 46, 38, 3, 2, 49, 27, 15, 33, 44, 32, 14, 31, 51, 41, 10, 52, 28, 23, 4
32, 11, 10, 23, 45, 38, 8, 47, 25, 15, 44, 27, 21, 35, 16, 26, 12, 37, 31, 52, 49, 28, 34, 7, 4, 14, 33, 19, 42, 1, 9, 29, 6, 22, 24, 43, 39, 20, 2, 3, 46, 13, 48, 30, 51, 41, 50, 17, 40, 18, 36, 5
13, 47, 8, 39, 22, 34, 19, 11, 45, 10, 41, 49, 28, 48, 6, 44, 27, 38, 2, 30, 46, 3, 4, 37, 31, 14, 32, 29, 23, 43, 20, 26, 12, 16, 24, 42, 1, 9, 7, 25, 15, 33, 52, 51, 50, 5, 36, 18, 40, 17, 35, 21
