24, 54, 1, 57, 20, 58, 43, 3, 21, 52, 9, 17, 6, 39, 45, 25, 46, 49, 22, 41, 50, 19, 42, 30, 7, 44, 35, 60, 56, 29, 34, 38, 14, 28, 32, 55, 40, 51, 31, 53, 47, 11, 26, 12, 27, 15, 37, 59, 33, 36, 2, 10, 23, 48, 8, 4, 18, 13, 5, 16
24, 54, 1, 57, 30, 42, 19, 50, 41, 22, 49, 46, 25, 45, 39, 6, 17, 9, 52, 21, 3, 43, 58, 20, 7, 44, 35, 60, 56, 29, 34, 11, 47, 53, 31, 51, 40, 55, 32, 28, 14, 38, 26, 12, 27, 15, 37, 59, 33, 36, 2, 10, 23, 48, 8, 4, 18, 13, 5, 16
9, 48, 7, 16, 35, 28, 22, 13, 5, 52, 42, 19, 50, 2, 10, 47, 53, 31, 51, 40, 55, 32, 38, 14, 6, 39, 25, 41, 15, 45, 4, 8, 54, 49, 46, 43, 58, 20, 24, 26, 21, 3, 17, 11, 27, 44, 37, 59, 33, 36, 12, 29, 56, 18, 1, 57, 60, 30, 34, 23
6, 14, 38, 32, 55, 40, 51, 46, 49, 44, 27, 11, 17, 3, 21, 26, 24, 20, 58, 43, 35, 28, 22, 13, 5, 16, 7, 48, 9, 52, 42, 19, 50, 2, 10, 47, 53, 31, 25, 41, 39, 15, 45, 4, 8, 54, 37, 59, 33, 36, 12, 29, 56, 18, 1, 57, 60, 30, 34, 23
13, 24, 33, 59, 37, 46, 49, 44, 2, 10, 50, 19, 42, 27, 21, 7, 16, 5, 36, 12, 29, 56, 60, 32, 55, 40, 51, 48, 28, 35, 43, 58, 20, 18, 22, 15, 45, 4, 8, 54, 1, 57, 52, 9, 17, 3, 26, 39, 6, 14, 41, 25, 31, 53, 47, 38, 11, 30, 34, 23
21, 3, 43, 58, 20, 57, 1, 54, 24, 7, 44, 35, 60, 56, 29, 30, 34, 11, 47, 53, 31, 52, 9, 17, 6, 39, 45, 25, 46, 49, 22, 41, 50, 19, 42, 51, 40, 55, 32, 28, 14, 38, 26, 12, 27, 15, 37, 59, 33, 36, 2, 10, 23, 48, 8, 4, 18, 13, 5, 16
49, 46, 37, 59, 24, 26, 55, 32, 38, 14, 6, 51, 31, 53, 10, 4, 20, 58, 33, 36, 12, 29, 56, 60, 11, 47, 18, 45, 2, 50, 8, 3, 21, 7, 16, 5, 19, 42, 52, 9, 17, 23, 34, 30, 57, 1, 54, 22, 13, 44, 27, 48, 28, 35, 43, 40, 39, 25, 41, 15
31, 53, 47, 38, 10, 2, 50, 55, 40, 51, 48, 28, 35, 43, 58, 20, 18, 22, 15, 45, 24, 13, 5, 16, 37, 46, 49, 44, 27, 21, 7, 25, 41, 14, 6, 39, 26, 59, 33, 36, 12, 29, 56, 60, 32, 4, 8, 54, 1, 57, 19, 42, 52, 9, 17, 3, 11, 30, 34, 23
19, 42, 24, 54, 1, 57, 34, 30, 29, 56, 60, 22, 49, 46, 25, 45, 39, 6, 17, 50, 41, 35, 44, 7, 9, 52, 21, 3, 43, 58, 20, 11, 47, 53, 31, 51, 40, 55, 32, 28, 14, 38, 26, 12, 27, 15, 37, 59, 33, 36, 2, 10, 23, 48, 8, 4, 18, 13, 5, 16
42, 19, 50, 41, 11, 47, 53, 31, 51, 40, 55, 32, 7, 44, 35, 24, 54, 1, 57, 20, 58, 43, 3, 21, 52, 9, 17, 6, 39, 45, 25, 46, 49, 22, 60, 56, 29, 30, 34, 28, 14, 38, 26, 12, 27, 15, 37, 59, 33, 36, 2, 10, 23, 48, 8, 4, 18, 13, 5, 16
