22, 33, 18, 27, 11, 8, 13, 53, 39, 30, 15, 35, 23, 14, 48, 54, 50, 42, 44, 47, 51, 29, 26, 5, 12, 40, 1, 49, 31, 24, 32, 9, 10, 28, 36, 38, 46, 7, 3, 21, 2, 6, 43, 37, 41, 16, 4, 52, 25, 34, 20, 45, 19, 17
22, 33, 18, 27, 11, 8, 13, 53, 39, 30, 15, 35, 23, 14, 48, 54, 50, 42, 44, 47, 51, 29, 26, 49, 1, 40, 12, 5, 31, 24, 32, 9, 10, 28, 36, 38, 46, 7, 3, 21, 2, 6, 43, 37, 41, 16, 4, 52, 25, 34, 20, 45, 19, 17
18, 27, 11, 8, 13, 53, 39, 10, 28, 36, 38, 3, 7, 46, 21, 2, 6, 43, 33, 9, 30, 15, 35, 23, 14, 31, 49, 1, 40, 12, 5, 26, 22, 48, 54, 50, 42, 44, 47, 51, 29, 24, 32, 37, 41, 16, 4, 52, 25, 34, 20, 45, 19, 17
24, 29, 51, 47, 44, 42, 50, 54, 30, 16, 41, 37, 43, 6, 21, 2, 10, 28, 36, 31, 40, 1, 49, 26, 32, 18, 22, 48, 15, 53, 39, 35, 33, 9, 23, 14, 38, 46, 7, 3, 12, 13, 8, 11, 27, 5, 4, 52, 25, 34, 20, 45, 19, 17
23, 35, 15, 7, 3, 38, 43, 37, 13, 53, 34, 49, 1, 40, 12, 5, 26, 22, 48, 41, 16, 39, 17, 14, 31, 18, 32, 24, 29, 51, 47, 44, 42, 50, 54, 30, 25, 52, 8, 11, 27, 36, 28, 6, 33, 10, 2, 9, 21, 46, 20, 45, 19, 4
34, 49, 1, 40, 12, 5, 26, 22, 48, 41, 16, 28, 36, 27, 11, 8, 52, 25, 30, 54, 50, 42, 44, 47, 51, 29, 24, 32, 18, 31, 14, 23, 35, 15, 13, 53, 39, 4, 19, 45, 20, 46, 21, 9, 3, 38, 17, 7, 37, 43, 6, 33, 10, 2
43, 6, 2, 21, 46, 7, 3, 38, 36, 28, 10, 22, 26, 5, 12, 40, 1, 49, 31, 14, 23, 35, 15, 30, 39, 53, 13, 8, 11, 27, 18, 33, 9, 48, 54, 50, 42, 44, 47, 51, 29, 24, 32, 37, 41, 16, 4, 52, 25, 34, 20, 45, 19, 17
33, 35, 39, 53, 15, 48, 22, 18, 32, 26, 5, 12, 40, 31, 36, 28, 10, 2, 21, 6, 43, 37, 41, 16, 30, 54, 50, 42, 44, 47, 51, 29, 24, 9, 23, 14, 38, 46, 7, 3, 1, 49, 27, 11, 8, 13, 4, 52, 25, 34, 20, 45, 19, 17
43, 6, 2, 21, 46, 7, 3, 38, 36, 28, 10, 9, 32, 24, 31, 5, 12, 40, 1, 49, 26, 29, 51, 47, 44, 42, 50, 54, 48, 14, 23, 35, 15, 30, 39, 53, 13, 8, 11, 27, 18, 33, 22, 37, 41, 16, 4, 52, 25, 34, 20, 45, 19, 17
29, 24, 32, 18, 31, 14, 43, 37, 13, 53, 34, 49, 1, 40, 12, 5, 26, 22, 48, 41, 16, 39, 17, 38, 3, 7, 15, 35, 23, 51, 47, 44, 42, 50, 54, 30, 25, 52, 8, 11, 27, 36, 28, 6, 33, 2, 10, 9, 21, 46, 20, 45, 19, 4
40, 12, 5, 26, 22, 33, 18, 27, 11, 8, 13, 53, 39, 30, 15, 35, 23, 14, 48, 54, 50, 42, 44, 47, 51, 29, 24, 32, 9, 10, 28, 36, 38, 46, 7, 3, 21, 2, 6, 43, 1, 49, 31, 37, 41, 16, 4, 52, 25, 34, 20, 45, 19, 17
34, 49, 1, 40, 12, 5, 26, 22, 48, 41, 16, 28, 36, 27, 11, 8, 52, 25, 30, 54, 50, 42, 44, 47, 51, 29, 24, 32, 18, 31, 14, 23, 35, 15, 13, 53, 39, 4, 19, 45, 20, 46, 21, 9, 3, 38, 17, 10, 2, 33, 6, 43, 37, 7
31, 18, 32, 24, 29, 51, 47, 44, 42, 50, 54, 7, 3, 38, 43, 37, 13, 53, 34, 49, 1, 40, 12, 5, 26, 22, 48, 41, 16, 39, 17, 14, 23, 35, 15, 30, 25, 52, 8, 11, 27, 36, 28, 6, 33, 2, 10, 9, 21, 46, 20, 45, 19, 4
7, 8, 13, 9, 53, 39, 29, 30, 15, 35, 24, 40, 1, 49, 26, 22, 18, 52, 25, 32, 21, 46, 4, 12, 37, 43, 6, 27, 5, 51, 47, 44, 42, 50, 54, 48, 33, 41, 16, 2, 10, 11, 28, 36, 38, 3, 31, 14, 23, 34, 20, 45, 19, 17
