11, 36, 21, 35, 23, 9, 37, 15, 3, 31, 12, 13, 10, 24, 28, 20, 7, 5, 34, 1, 27, 19, 18, 22, 17, 6, 2, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
11, 19, 12, 27, 1, 34, 2, 17, 6, 10, 5, 36, 21, 35, 20, 7, 13, 22, 18, 24, 28, 23, 9, 37, 15, 8, 31, 3, 30, 16, 25, 14, 29, 4, 32, 26, 33
3, 19, 13, 22, 18, 24, 28, 20, 7, 5, 34, 1, 27, 31, 12, 15, 37, 9, 23, 35, 21, 36, 11, 10, 6, 2, 17, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
7, 20, 28, 24, 18, 22, 11, 5, 34, 1, 27, 36, 21, 35, 23, 9, 37, 15, 3, 31, 12, 13, 19, 10, 6, 2, 17, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
5, 34, 1, 27, 12, 13, 11, 36, 2, 17, 20, 7, 10, 6, 35, 21, 19, 22, 18, 24, 28, 23, 9, 37, 15, 8, 31, 3, 30, 16, 25, 14, 29, 4, 32, 26, 33
13, 19, 3, 22, 18, 24, 28, 20, 7, 5, 34, 1, 27, 31, 12, 15, 37, 9, 23, 35, 21, 36, 11, 10, 6, 2, 17, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
3, 31, 12, 15, 37, 9, 23, 35, 21, 36, 11, 13, 10, 24, 28, 20, 7, 5, 34, 1, 27, 19, 18, 22, 17, 6, 2, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
7, 20, 28, 24, 18, 22, 11, 5, 34, 1, 27, 36, 21, 35, 23, 9, 37, 15, 12, 31, 3, 19, 13, 10, 6, 17, 2, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
6, 31, 3, 15, 37, 9, 13, 11, 19, 22, 18, 24, 28, 20, 7, 5, 34, 1, 27, 23, 35, 21, 36, 10, 12, 17, 2, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
21, 35, 23, 9, 37, 15, 12, 31, 27, 1, 34, 5, 7, 20, 28, 24, 18, 22, 3, 19, 13, 36, 11, 10, 6, 17, 2, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
10, 6, 2, 17, 34, 1, 27, 12, 19, 11, 5, 36, 21, 35, 20, 7, 13, 22, 18, 24, 28, 23, 9, 37, 15, 8, 31, 3, 30, 16, 25, 14, 29, 4, 32, 26, 33
9, 37, 15, 12, 31, 3, 13, 19, 10, 23, 6, 2, 17, 22, 18, 24, 28, 20, 7, 5, 34, 1, 27, 35, 21, 36, 11, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
11, 36, 2, 17, 20, 7, 12, 27, 1, 34, 5, 13, 10, 6, 35, 21, 19, 22, 18, 24, 28, 23, 9, 37, 15, 8, 31, 3, 30, 16, 25, 14, 29, 4, 32, 26, 33
3, 19, 13, 22, 18, 24, 28, 20, 7, 5, 34, 1, 27, 31, 12, 15, 37, 9, 23, 35, 21, 36, 11, 10, 6, 17, 2, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
7, 20, 28, 24, 18, 22, 11, 5, 34, 1, 27, 36, 21, 35, 23, 9, 37, 15, 12, 31, 3, 13, 19, 10, 6, 2, 17, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
10, 19, 13, 12, 31, 3, 15, 37, 9, 23, 6, 2, 17, 22, 18, 24, 28, 20, 7, 5, 34, 1, 27, 35, 21, 36, 11, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
21, 35, 23, 9, 37, 15, 12, 31, 13, 19, 3, 22, 18, 24, 28, 20, 7, 5, 34, 1, 27, 36, 11, 10, 6, 2, 17, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
11, 36, 5, 7, 20, 17, 2, 34, 1, 27, 12, 13, 10, 6, 35, 21, 19, 22, 18, 24, 28, 23, 9, 37, 15, 8, 31, 3, 30, 16, 25, 14, 29, 4, 32, 26, 33
10, 6, 17, 2, 34, 1, 27, 12, 19, 11, 5, 36, 21, 35, 20, 7, 13, 22, 18, 24, 28, 23, 9, 37, 15, 3, 31, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
21, 35, 23, 9, 37, 15, 12, 31, 3, 19, 13, 22, 18, 24, 28, 20, 7, 5, 34, 1, 27, 36, 11, 10, 6, 17, 2, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
11, 36, 21, 35, 23, 9, 37, 15, 12, 31, 3, 13, 10, 24, 28, 20, 7, 5, 34, 1, 27, 19, 18, 22, 17, 2, 6, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
3, 31, 6, 15, 37, 9, 13, 11, 19, 22, 18, 24, 28, 20, 7, 5, 34, 1, 27, 23, 35, 21, 36, 10, 12, 2, 17, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
11, 22, 18, 24, 28, 20, 7, 5, 34, 1, 27, 36, 21, 35, 23, 9, 37, 15, 12, 31, 3, 13, 19, 10, 6, 17, 2, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
11, 22, 18, 24, 28, 20, 7, 5, 34, 1, 27, 36, 21, 35, 23, 9, 37, 15, 3, 31, 12, 13, 19, 10, 6, 17, 2, 8, 30, 16, 25, 14, 29, 4, 32, 26, 33
