25, 2, 31, 11, 14, 33, 9, 29, 34, 28, 36, 18, 30, 38, 44, 39, 35, 15, 27, 8, 37, 4, 16, 17, 6, 13, 24, 40, 43, 1, 7, 19, 41, 23, 5, 21, 26, 46, 10, 32, 42, 20, 22, 3, 12, 45
2, 31, 25, 15, 13, 24, 40, 43, 1, 7, 19, 14, 33, 9, 29, 34, 28, 36, 18, 30, 38, 44, 39, 35, 8, 37, 4, 16, 17, 6, 27, 11, 41, 23, 5, 21, 26, 46, 10, 32, 42, 20, 22, 3, 12, 45
29, 9, 33, 14, 19, 7, 1, 43, 40, 24, 13, 36, 18, 30, 38, 44, 39, 35, 8, 37, 4, 16, 17, 2, 31, 25, 15, 27, 6, 34, 28, 11, 41, 23, 5, 21, 26, 46, 10, 32, 42, 20, 22, 3, 12, 45
25, 29, 27, 15, 30, 18, 43, 1, 7, 19, 13, 24, 3, 12, 40, 34, 28, 35, 38, 44, 6, 17, 33, 14, 8, 2, 31, 11, 46, 16, 42, 39, 20, 22, 36, 32, 26, 41, 23, 45, 5, 21, 10, 9, 37, 4
25, 2, 31, 11, 14, 33, 9, 29, 34, 28, 36, 18, 30, 38, 44, 39, 35, 15, 27, 8, 37, 6, 17, 16, 4, 13, 24, 40, 43, 1, 7, 19, 41, 23, 5, 21, 26, 46, 10, 32, 42, 20, 22, 3, 12, 45
29, 9, 33, 14, 19, 7, 1, 43, 40, 24, 13, 36, 18, 30, 38, 44, 39, 35, 15, 27, 8, 37, 6, 17, 16, 4, 25, 2, 31, 34, 28, 11, 41, 23, 5, 21, 26, 46, 10, 32, 42, 20, 22, 3, 12, 45
29, 9, 33, 14, 19, 7, 1, 43, 40, 24, 13, 36, 18, 30, 38, 44, 39, 35, 15, 27, 8, 37, 6, 17, 16, 31, 2, 25, 4, 34, 28, 11, 41, 23, 5, 21, 26, 46, 10, 32, 42, 20, 22, 45, 12, 3
4, 25, 31, 2, 16, 17, 6, 37, 8, 27, 15, 35, 39, 44, 38, 30, 18, 36, 28, 34, 29, 9, 33, 14, 19, 7, 1, 43, 40, 24, 13, 11, 41, 23, 5, 21, 26, 46, 10, 32, 42, 20, 22, 45, 12, 3
2, 25, 31, 39, 32, 35, 8, 5, 30, 18, 36, 26, 41, 23, 11, 14, 33, 6, 27, 15, 28, 42, 4, 37, 17, 13, 24, 40, 12, 3, 38, 44, 20, 22, 45, 10, 9, 29, 34, 16, 43, 21, 46, 1, 7, 19
4, 40, 20, 12, 2, 31, 44, 38, 30, 32, 39, 16, 46, 43, 27, 6, 41, 23, 45, 5, 22, 37, 34, 29, 26, 36, 18, 15, 21, 14, 33, 17, 35, 10, 9, 8, 28, 42, 11, 3, 24, 13, 25, 1, 7, 19
16, 19, 13, 25, 2, 31, 11, 14, 33, 9, 29, 34, 5, 21, 15, 27, 37, 4, 39, 44, 38, 30, 18, 36, 26, 41, 23, 6, 17, 7, 1, 43, 40, 24, 28, 8, 35, 46, 10, 32, 42, 20, 22, 3, 12, 45
25, 29, 12, 40, 24, 13, 8, 14, 33, 17, 6, 44, 38, 35, 28, 34, 3, 27, 15, 30, 18, 43, 1, 7, 19, 2, 31, 11, 46, 16, 42, 39, 20, 22, 36, 32, 26, 41, 23, 45, 5, 21, 10, 9, 37, 4
20, 12, 46, 43, 16, 41, 23, 45, 5, 39, 32, 30, 38, 44, 2, 31, 4, 40, 6, 27, 22, 37, 34, 29, 26, 36, 18, 15, 21, 14, 33, 17, 35, 10, 9, 8, 28, 42, 11, 3, 24, 13, 25, 1, 7, 19
41, 23, 45, 5, 34, 28, 8, 14, 42, 16, 46, 11, 31, 2, 25, 29, 44, 38, 35, 32, 39, 20, 22, 36, 21, 40, 12, 3, 24, 13, 19, 7, 1, 43, 18, 30, 15, 27, 6, 17, 33, 26, 10, 9, 37, 4
4, 25, 31, 2, 16, 17, 6, 37, 8, 27, 15, 35, 39, 44, 38, 30, 18, 36, 13, 24, 40, 43, 1, 7, 19, 14, 33, 9, 29, 34, 28, 11, 41, 23, 5, 21, 26, 46, 10, 32, 42, 20, 22, 45, 12, 3
17, 33, 14, 8, 40, 24, 13, 19, 7, 1, 43, 18, 30, 15, 27, 29, 25, 6, 44, 38, 35, 28, 34, 3, 12, 2, 31, 11, 46, 16, 42, 39, 20, 22, 36, 32, 26, 41, 23, 45, 5, 21, 10, 9, 37, 4
20, 22, 36, 21, 40, 12, 3, 24, 13, 19, 7, 1, 43, 18, 30, 15, 27, 6, 17, 33, 39, 32, 35, 38, 44, 29, 25, 2, 31, 11, 46, 16, 42, 14, 8, 28, 34, 5, 45, 23, 41, 26, 10, 9, 37, 4
