10, 4, 23, 13, 26, 1, 35, 31, 7, 11, 19, 20, 29, 16, 9, 17, 24, 27, 22, 33, 18, 8, 3, 5, 15, 30, 2, 25, 32, 6, 34, 21, 28, 12, 14
6, 10, 3, 7, 33, 14, 25, 12, 22, 35, 26, 29, 17, 11, 32, 28, 2, 23, 5, 13, 34, 18, 8, 27, 19, 1, 16, 20, 31, 9, 21, 4, 30, 15, 24
8, 20, 25, 22, 24, 19, 3, 5, 26, 29, 7, 17, 32, 16, 28, 18, 11, 13, 9, 4, 30, 15, 33, 27, 1, 35, 31, 10, 21, 34, 6, 23, 2, 12, 14
13, 4, 5, 3, 7, 17, 20, 12, 33, 35, 27, 23, 14, 11, 10, 18, 8, 26, 22, 6, 34, 29, 15, 30, 31, 28, 24, 25, 32, 2, 21, 19, 1, 16, 9
13, 4, 5, 3, 7, 17, 20, 12, 33, 35, 27, 23, 14, 11, 6, 22, 26, 8, 18, 10, 34, 29, 15, 30, 31, 28, 9, 16, 1, 19, 21, 2, 32, 25, 24
29, 34, 10, 18, 8, 26, 22, 6, 14, 23, 1, 19, 21, 2, 32, 25, 24, 27, 11, 13, 4, 5, 3, 7, 17, 20, 12, 33, 35, 15, 30, 31, 28, 9, 16
11, 7, 31, 35, 1, 26, 13, 23, 4, 10, 19, 20, 29, 16, 9, 17, 24, 27, 22, 33, 18, 8, 3, 5, 15, 30, 25, 32, 2, 6, 34, 21, 28, 12, 14
6, 10, 3, 7, 33, 14, 25, 12, 22, 35, 26, 29, 17, 11, 32, 28, 23, 2, 5, 13, 34, 18, 8, 27, 19, 1, 16, 20, 31, 9, 21, 4, 30, 15, 24
23, 14, 6, 22, 26, 8, 18, 10, 35, 29, 15, 30, 31, 28, 24, 25, 32, 2, 21, 19, 1, 16, 9, 27, 11, 13, 4, 5, 3, 7, 17, 20, 12, 33, 34
14, 33, 7, 22, 12, 25, 3, 10, 6, 35, 26, 29, 17, 11, 2, 32, 28, 23, 5, 13, 34, 18, 8, 27, 19, 1, 16, 20, 31, 9, 21, 4, 30, 15, 24
20, 15, 29, 6, 22, 26, 8, 31, 28, 33, 34, 2, 32, 25, 4, 13, 11, 5, 27, 23, 12, 18, 10, 14, 24, 3, 7, 35, 9, 16, 1, 19, 21, 30, 17
10, 31, 28, 9, 16, 1, 19, 35, 33, 12, 18, 30, 20, 21, 2, 32, 25, 4, 13, 7, 17, 8, 14, 23, 27, 5, 3, 26, 24, 11, 15, 29, 34, 6, 22
19, 10, 4, 23, 13, 26, 1, 35, 31, 7, 11, 20, 29, 16, 9, 17, 24, 27, 22, 33, 18, 8, 3, 5, 15, 30, 25, 2, 32, 6, 34, 21, 28, 12, 14
2, 8, 21, 32, 25, 4, 18, 10, 30, 15, 26, 24, 31, 28, 13, 29, 6, 22, 35, 9, 3, 7, 5, 11, 19, 1, 16, 14, 23, 27, 17, 20, 12, 33, 34
15, 26, 29, 7, 17, 32, 16, 28, 20, 25, 22, 3, 19, 24, 5, 30, 4, 9, 13, 11, 18, 8, 33, 27, 1, 35, 31, 10, 21, 34, 6, 23, 2, 12, 14
7, 11, 13, 17, 28, 31, 10, 3, 9, 27, 34, 18, 4, 25, 32, 35, 33, 12, 20, 14, 16, 1, 19, 5, 6, 24, 26, 23, 21, 2, 29, 15, 30, 8, 22
9, 34, 10, 31, 28, 17, 13, 11, 7, 27, 3, 18, 4, 25, 32, 35, 33, 12, 20, 6, 5, 19, 1, 16, 14, 24, 26, 23, 21, 2, 29, 15, 30, 8, 22
9, 34, 10, 31, 28, 17, 13, 11, 7, 3, 18, 4, 25, 32, 35, 33, 12, 20, 14, 16, 1, 19, 5, 6, 24, 26, 8, 30, 15, 29, 2, 21, 23, 27, 22
22, 3, 19, 24, 5, 25, 20, 28, 16, 32, 17, 13, 11, 18, 8, 26, 29, 7, 9, 4, 30, 15, 33, 27, 1, 35, 31, 10, 21, 34, 6, 23, 2, 12, 14
9, 34, 10, 31, 28, 17, 13, 11, 7, 27, 3, 18, 4, 25, 32, 35, 33, 12, 20, 6, 14, 16, 1, 19, 5, 24, 26, 23, 21, 2, 29, 15, 30, 8, 22
15, 18, 11, 13, 17, 32, 16, 28, 20, 25, 5, 3, 19, 24, 22, 30, 4, 9, 7, 29, 26, 8, 33, 27, 1, 35, 31, 10, 21, 34, 6, 23, 2, 12, 14
7, 11, 13, 17, 28, 31, 10, 27, 9, 3, 34, 18, 4, 25, 32, 35, 33, 12, 20, 6, 5, 19, 1, 16, 14, 24, 26, 23, 21, 2, 29, 15, 30, 8, 22
9, 34, 10, 31, 28, 17, 13, 11, 7, 27, 3, 18, 4, 25, 32, 35, 33, 12, 20, 5, 19, 1, 16, 14, 6, 24, 26, 23, 21, 2, 29, 15, 30, 8, 22
9, 27, 7, 11, 13, 17, 28, 31, 10, 3, 34, 18, 4, 25, 32, 35, 33, 12, 20, 14, 16, 1, 19, 5, 6, 24, 26, 23, 21, 2, 29, 15, 30, 8, 22
9, 27, 10, 31, 28, 17, 13, 11, 7, 3, 34, 18, 4, 25, 32, 35, 33, 12, 20, 5, 19, 1, 16, 14, 6, 24, 26, 23, 21, 2, 29, 15, 30, 8, 22
11, 13, 4, 5, 3, 7, 17, 20, 12, 33, 35, 27, 24, 25, 32, 2, 21, 19, 1, 23, 14, 6, 22, 26, 8, 18, 10, 34, 29, 15, 30, 31, 28, 9, 16
3, 7, 17, 26, 4, 13, 19, 35, 33, 12, 20, 2, 21, 32, 25, 24, 11, 5, 27, 1, 16, 9, 28, 31, 10, 18, 30, 23, 14, 8, 15, 29, 34, 6, 22
26, 24, 6, 5, 19, 1, 16, 14, 20, 12, 33, 35, 32, 25, 4, 18, 34, 9, 3, 10, 31, 28, 17, 13, 11, 7, 8, 30, 15, 29, 2, 21, 23, 27, 22
9, 27, 10, 31, 28, 17, 13, 11, 7, 3, 34, 18, 4, 25, 32, 35, 33, 12, 20, 6, 5, 19, 1, 16, 14, 24, 26, 23, 2, 21, 29, 15, 30, 8, 22
10, 31, 28, 9, 16, 1, 19, 35, 33, 12, 18, 30, 20, 2, 21, 32, 25, 4, 13, 7, 3, 8, 14, 23, 27, 11, 24, 26, 17, 5, 15, 29, 34, 6, 22
9, 16, 1, 19, 35, 20, 12, 33, 21, 28, 31, 8, 26, 22, 6, 29, 15, 30, 17, 18, 10, 2, 32, 25, 4, 13, 11, 5, 27, 23, 14, 24, 34, 7, 3
8, 26, 24, 34, 9, 19, 1, 16, 30, 15, 29, 21, 2, 23, 27, 17, 14, 20, 12, 33, 35, 32, 25, 4, 18, 22, 6, 5, 3, 7, 11, 13, 28, 31, 10
22, 24, 19, 3, 5, 13, 11, 18, 8, 26, 29, 7, 9, 4, 30, 15, 20, 25, 17, 32, 16, 28, 33, 27, 1, 35, 31, 10, 21, 34, 6, 23, 2, 12, 14
7, 11, 13, 17, 28, 31, 10, 34, 9, 3, 18, 4, 25, 32, 35, 33, 12, 20, 21, 2, 29, 15, 30, 8, 26, 24, 6, 5, 19, 1, 16, 14, 23, 27, 22
5, 24, 19, 3, 22, 25, 20, 28, 16, 32, 17, 13, 11, 18, 15, 30, 4, 9, 7, 29, 26, 8, 33, 27, 1, 35, 31, 10, 21, 34, 6, 23, 2, 12, 14
7, 11, 13, 17, 28, 31, 10, 3, 9, 34, 18, 4, 25, 32, 35, 33, 12, 20, 21, 2, 29, 15, 30, 8, 26, 24, 6, 5, 19, 1, 16, 14, 23, 27, 22
31, 10, 6, 11, 13, 22, 18, 4, 25, 32, 2, 21, 29, 15, 30, 8, 26, 24, 34, 9, 19, 1, 16, 14, 23, 27, 17, 20, 12, 33, 35, 28, 7, 5, 3
9, 29, 35, 6, 22, 26, 8, 14, 23, 16, 1, 19, 21, 2, 32, 25, 24, 28, 31, 10, 18, 30, 15, 27, 11, 13, 4, 5, 3, 7, 17, 20, 12, 33, 34
8, 20, 25, 22, 3, 19, 24, 5, 18, 11, 13, 17, 32, 16, 28, 26, 29, 7, 9, 4, 30, 15, 33, 27, 1, 35, 31, 10, 21, 34, 6, 23, 2, 12, 14
9, 34, 10, 31, 28, 17, 13, 11, 7, 27, 3, 18, 4, 25, 32, 35, 33, 12, 20, 14, 16, 1, 19, 5, 6, 24, 26, 23, 21, 2, 29, 15, 30, 8, 22
28, 16, 32, 17, 25, 20, 15, 30, 4, 9, 7, 29, 26, 8, 18, 11, 13, 5, 24, 19, 3, 22, 33, 27, 1, 35, 31, 10, 21, 34, 6, 23, 2, 12, 14
15, 26, 29, 7, 17, 32, 16, 28, 20, 25, 5, 3, 19, 24, 22, 30, 4, 9, 13, 11, 18, 8, 33, 27, 1, 35, 31, 10, 21, 34, 6, 23, 2, 12, 14
9, 34, 10, 31, 28, 17, 13, 11, 7, 27, 3, 18, 4, 25, 32, 35, 33, 12, 20, 6, 5, 19, 1, 16, 14, 24, 26, 23, 2, 21, 29, 15, 30, 8, 22
22, 12, 25, 3, 10, 6, 35, 26, 29, 17, 11, 7, 33, 14, 2, 32, 28, 23, 5, 13, 34, 18, 8, 27, 19, 1, 16, 20, 31, 9, 21, 4, 30, 15, 24
27, 23, 14, 8, 17, 26, 24, 11, 13, 4, 25, 32, 2, 21, 20, 30, 18, 12, 33, 35, 19, 1, 16, 9, 28, 31, 10, 5, 3, 7, 15, 29, 34, 6, 22
14, 33, 7, 6, 10, 3, 25, 12, 22, 35, 26, 29, 17, 11, 2, 32, 28, 23, 5, 13, 34, 18, 8, 27, 19, 1, 16, 20, 31, 9, 21, 4, 30, 15, 24
9, 27, 7, 11, 13, 17, 28, 31, 10, 3, 34, 18, 4, 25, 32, 35, 33, 12, 20, 6, 5, 19, 1, 16, 14, 24, 26, 23, 21, 2, 29, 15, 30, 8, 22
8, 30, 15, 29, 21, 2, 23, 27, 26, 24, 34, 9, 19, 1, 16, 14, 20, 12, 33, 35, 32, 25, 4, 18, 10, 31, 28, 17, 13, 11, 7, 3, 5, 6, 22
