44, 11, 61, 38, 29, 52, 15, 32, 18, 62, 77, 42, 71, 13, 23, 1, 69, 65, 78, 41, 64, 21, 24, 59, 34, 6, 60, 66, 27, 20, 67, 70, 39, 54, 45, 25, 28, 16, 63, 50, 9, 3, 12, 46, 4, 49, 76, 31, 68, 51, 74, 33, 5, 37, 2, 36, 30, 17, 35, 26, 40, 57, 73, 56, 43, 58, 55, 10, 48, 75, 72, 19, 47, 53, 7, 22, 14, 8
6, 64, 41, 72, 35, 23, 59, 24, 32, 21, 42, 63, 31, 71, 9, 29, 38, 61, 5, 37, 4, 25, 28, 1, 17, 30, 11, 16, 52, 26, 50, 7, 22, 75, 77, 10, 33, 45, 54, 48, 13, 36, 70, 39, 2, 76, 15, 19, 3, 55, 58, 62, 60, 49, 51, 74, 53, 47, 8, 14, 68, 73, 57, 40, 46, 56, 78, 12, 67, 20, 27, 66, 34, 43, 65, 69, 44, 18
6, 36, 37, 2, 66, 16, 10, 55, 42, 70, 39, 28, 25, 45, 54, 14, 63, 47, 30, 17, 41, 64, 8, 3, 12, 67, 20, 27, 29, 13, 44, 4, 49, 51, 9, 74, 33, 5, 34, 59, 24, 78, 65, 69, 1, 58, 43, 53, 19, 72, 52, 15, 32, 18, 62, 77, 21, 56, 73, 57, 40, 26, 35, 23, 46, 76, 60, 22, 75, 48, 68, 31, 71, 11, 61, 38, 7, 50
18, 25, 29, 36, 1, 69, 65, 5, 28, 63, 53, 2, 70, 42, 21, 32, 40, 37, 6, 24, 43, 23, 51, 74, 71, 16, 12, 67, 20, 64, 41, 27, 33, 62, 78, 30, 11, 77, 7, 31, 45, 72, 35, 55, 10, 3, 19, 17, 76, 66, 34, 39, 13, 9, 50, 54, 52, 15, 61, 59, 57, 73, 68, 48, 46, 56, 75, 22, 60, 38, 49, 4, 44, 26, 47, 8, 58, 14
24, 59, 48, 23, 78, 66, 27, 20, 32, 21, 42, 70, 39, 67, 76, 14, 31, 28, 34, 5, 37, 2, 47, 8, 17, 30, 11, 1, 63, 16, 15, 71, 62, 68, 73, 57, 53, 9, 50, 13, 29, 75, 72, 35, 77, 51, 74, 33, 6, 36, 7, 44, 4, 49, 22, 60, 18, 40, 26, 52, 19, 3, 12, 54, 45, 25, 38, 61, 10, 55, 58, 43, 65, 69, 41, 64, 46, 56
24, 59, 67, 55, 77, 11, 30, 41, 13, 37, 38, 60, 22, 64, 5, 54, 17, 74, 31, 46, 33, 39, 20, 16, 66, 27, 76, 7, 50, 56, 58, 8, 47, 6, 70, 61, 34, 18, 62, 78, 44, 4, 49, 32, 15, 52, 71, 21, 42, 75, 48, 68, 73, 57, 40, 45, 25, 28, 63, 43, 9, 72, 35, 23, 1, 69, 65, 29, 36, 2, 51, 26, 10, 53, 19, 3, 12, 14
27, 66, 60, 22, 44, 13, 41, 72, 19, 64, 46, 76, 4, 49, 51, 74, 33, 11, 30, 17, 5, 37, 2, 36, 6, 34, 59, 20, 67, 12, 3, 63, 16, 28, 39, 75, 70, 42, 18, 32, 15, 52, 29, 48, 68, 31, 71, 38, 47, 53, 21, 77, 62, 25, 45, 54, 7, 50, 9, 61, 78, 65, 69, 1, 23, 35, 26, 40, 57, 73, 56, 43, 58, 55, 10, 24, 14, 8
29, 38, 61, 33, 74, 51, 49, 4, 44, 25, 45, 54, 48, 60, 22, 75, 77, 16, 40, 7, 76, 13, 36, 11, 30, 17, 24, 59, 6, 2, 39, 70, 42, 21, 32, 78, 28, 37, 18, 62, 26, 52, 15, 9, 53, 47, 56, 8, 14, 68, 73, 57, 50, 5, 34, 66, 27, 20, 67, 12, 3, 19, 71, 31, 46, 64, 41, 72, 35, 23, 1, 69, 65, 43, 58, 55, 10, 63
5, 37, 2, 36, 30, 33, 74, 51, 49, 4, 44, 11, 61, 38, 29, 52, 15, 32, 18, 62, 77, 42, 71, 13, 23, 1, 69, 65, 78, 41, 17, 10, 55, 58, 43, 56, 73, 57, 40, 26, 35, 64, 21, 24, 59, 34, 6, 60, 66, 27, 20, 67, 12, 3, 9, 50, 63, 16, 28, 25, 45, 54, 39, 70, 46, 76, 31, 68, 48, 75, 72, 19, 47, 53, 7, 22, 14, 8
54, 7, 50, 9, 53, 47, 38, 71, 31, 68, 48, 29, 52, 15, 32, 18, 42, 70, 75, 39, 28, 16, 63, 3, 12, 67, 20, 19, 64, 46, 76, 4, 49, 51, 74, 33, 11, 30, 17, 6, 36, 2, 37, 5, 34, 59, 72, 41, 13, 44, 22, 60, 66, 27, 45, 25, 62, 77, 21, 61, 78, 65, 69, 1, 23, 35, 26, 40, 57, 73, 56, 43, 58, 55, 10, 24, 14, 8
34, 43, 65, 69, 62, 58, 55, 76, 10, 77, 75, 22, 21, 42, 70, 39, 2, 29, 38, 61, 5, 37, 4, 25, 28, 52, 26, 40, 57, 51, 74, 33, 45, 54, 66, 27, 20, 67, 12, 32, 24, 59, 6, 63, 31, 71, 9, 50, 7, 49, 60, 15, 19, 3, 48, 13, 36, 73, 68, 14, 8, 47, 53, 16, 11, 30, 17, 1, 23, 35, 72, 41, 64, 46, 56, 78, 44, 18
34, 43, 65, 69, 62, 58, 55, 15, 19, 49, 60, 3, 21, 42, 70, 39, 2, 29, 38, 61, 5, 37, 4, 25, 28, 52, 26, 40, 57, 51, 74, 33, 45, 54, 66, 27, 20, 67, 63, 31, 71, 9, 50, 12, 76, 10, 77, 75, 22, 7, 6, 59, 24, 32, 48, 13, 36, 73, 68, 14, 8, 47, 53, 16, 11, 30, 17, 1, 23, 35, 72, 41, 64, 46, 56, 78, 44, 18
