51, 38, 6, 22, 67, 30, 9, 24, 61, 14, 44, 35, 47, 45, 65, 46, 18, 36, 3, 42, 57, 49, 4, 39, 59, 28, 52, 37, 8, 26, 10, 11, 7, 19, 31, 68, 58, 55, 34, 62, 53, 40, 25, 66, 13, 41, 29, 5, 63, 1, 15, 20, 64, 56, 60, 32, 69, 16, 12, 50, 23, 2, 27, 43, 33, 17, 54, 48, 21
15, 1, 63, 5, 29, 41, 13, 66, 25, 40, 53, 62, 34, 55, 58, 68, 31, 19, 7, 11, 10, 26, 8, 37, 52, 4, 39, 59, 28, 49, 57, 42, 3, 36, 18, 46, 65, 45, 47, 35, 44, 14, 61, 24, 9, 30, 67, 22, 6, 38, 51, 20, 64, 56, 60, 32, 69, 16, 12, 50, 23, 2, 27, 43, 33, 17, 54, 48, 21
19, 31, 68, 29, 41, 47, 35, 44, 3, 11, 13, 66, 42, 14, 49, 61, 27, 28, 2, 7, 5, 15, 1, 63, 57, 36, 18, 46, 59, 39, 4, 52, 37, 8, 26, 10, 23, 50, 12, 58, 55, 34, 62, 53, 40, 25, 65, 45, 16, 69, 32, 60, 56, 64, 20, 51, 38, 6, 22, 67, 30, 9, 24, 43, 33, 17, 54, 48, 21
40, 53, 50, 52, 37, 8, 17, 54, 48, 55, 34, 62, 68, 43, 30, 9, 16, 69, 58, 32, 18, 46, 65, 45, 12, 23, 10, 26, 35, 47, 3, 44, 28, 59, 39, 4, 2, 27, 61, 24, 36, 49, 57, 42, 1, 63, 11, 41, 29, 5, 7, 19, 31, 60, 15, 67, 22, 6, 38, 51, 20, 64, 13, 66, 56, 14, 25, 33, 21
19, 31, 68, 29, 41, 47, 35, 44, 3, 11, 13, 66, 42, 14, 49, 61, 27, 2, 28, 7, 5, 15, 1, 63, 57, 36, 18, 46, 59, 39, 4, 52, 37, 8, 26, 10, 23, 50, 12, 58, 55, 34, 62, 53, 40, 25, 65, 45, 16, 69, 32, 60, 56, 64, 20, 51, 38, 24, 9, 30, 67, 22, 6, 43, 33, 17, 54, 48, 21
21, 68, 54, 48, 55, 5, 11, 18, 19, 56, 45, 65, 57, 23, 12, 53, 51, 20, 64, 26, 29, 38, 32, 60, 15, 1, 63, 43, 7, 36, 10, 14, 69, 41, 66, 46, 40, 39, 4, 2, 27, 16, 49, 3, 42, 59, 28, 6, 22, 67, 30, 9, 24, 61, 58, 34, 62, 13, 44, 35, 47, 17, 8, 37, 52, 50, 33, 25, 31
46, 65, 6, 51, 20, 64, 56, 14, 10, 19, 7, 27, 31, 62, 22, 67, 30, 16, 50, 52, 37, 8, 17, 61, 34, 55, 48, 54, 57, 42, 3, 49, 68, 21, 38, 15, 1, 63, 47, 60, 32, 35, 36, 18, 11, 5, 40, 12, 23, 58, 44, 39, 24, 9, 4, 2, 53, 29, 26, 13, 66, 25, 33, 43, 69, 45, 59, 28, 41
11, 36, 10, 38, 32, 60, 15, 1, 63, 43, 7, 5, 64, 20, 51, 53, 12, 23, 45, 65, 3, 21, 68, 54, 48, 55, 26, 29, 18, 19, 56, 14, 69, 41, 66, 46, 40, 39, 4, 2, 27, 16, 49, 57, 42, 59, 28, 6, 22, 67, 30, 9, 24, 61, 58, 34, 62, 13, 44, 35, 47, 17, 8, 37, 52, 50, 33, 25, 31
51, 38, 6, 22, 67, 30, 9, 24, 61, 14, 44, 35, 47, 45, 65, 46, 18, 36, 3, 42, 57, 49, 28, 59, 39, 4, 52, 37, 8, 26, 10, 41, 29, 5, 63, 1, 15, 68, 31, 19, 7, 11, 13, 66, 25, 40, 53, 62, 34, 55, 58, 20, 64, 56, 60, 32, 69, 16, 12, 50, 23, 27, 2, 43, 33, 17, 54, 48, 21
7, 43, 63, 1, 15, 60, 32, 38, 21, 68, 54, 48, 55, 26, 29, 18, 19, 56, 11, 5, 64, 20, 51, 53, 12, 23, 45, 65, 3, 36, 10, 14, 69, 41, 66, 46, 40, 39, 4, 2, 27, 16, 49, 57, 42, 59, 28, 6, 22, 67, 30, 9, 24, 61, 58, 34, 62, 13, 44, 35, 47, 17, 8, 37, 52, 50, 33, 25, 31
23, 10, 26, 35, 47, 3, 44, 9, 30, 43, 68, 62, 34, 55, 48, 54, 17, 8, 37, 52, 50, 53, 40, 12, 45, 65, 46, 18, 32, 58, 69, 16, 28, 59, 39, 4, 2, 27, 61, 24, 36, 49, 57, 42, 1, 63, 11, 41, 29, 5, 7, 19, 31, 60, 15, 67, 22, 6, 38, 51, 20, 64, 13, 66, 56, 14, 25, 33, 21
32, 60, 15, 1, 63, 43, 7, 38, 21, 68, 54, 48, 55, 26, 29, 18, 19, 56, 12, 53, 51, 20, 64, 5, 11, 36, 10, 45, 65, 3, 23, 14, 69, 41, 66, 46, 40, 39, 4, 2, 27, 16, 49, 57, 42, 59, 28, 6, 22, 67, 30, 9, 24, 61, 58, 34, 62, 13, 44, 35, 47, 17, 8, 37, 52, 50, 33, 25, 31
37, 8, 17, 61, 24, 7, 19, 10, 14, 56, 64, 20, 13, 26, 29, 11, 5, 59, 28, 41, 47, 35, 36, 18, 53, 51, 66, 25, 32, 60, 15, 1, 63, 43, 4, 9, 2, 52, 50, 69, 39, 44, 58, 23, 33, 16, 30, 67, 22, 6, 38, 45, 65, 27, 31, 62, 34, 55, 48, 54, 57, 42, 3, 49, 68, 46, 40, 12, 21
46, 65, 6, 51, 20, 64, 56, 14, 10, 19, 7, 27, 31, 62, 22, 67, 30, 16, 50, 52, 37, 8, 17, 61, 34, 55, 48, 54, 57, 42, 3, 49, 68, 21, 38, 15, 1, 63, 47, 60, 32, 5, 11, 18, 36, 35, 40, 12, 23, 58, 44, 39, 4, 2, 9, 24, 53, 29, 26, 13, 66, 25, 33, 43, 69, 45, 59, 28, 41
37, 8, 17, 61, 24, 20, 64, 56, 14, 10, 19, 7, 53, 18, 36, 35, 47, 41, 28, 59, 5, 11, 29, 26, 9, 2, 4, 43, 63, 1, 15, 60, 32, 25, 66, 51, 13, 52, 50, 69, 39, 44, 58, 23, 6, 22, 67, 30, 16, 33, 38, 45, 65, 27, 31, 62, 34, 55, 48, 54, 57, 42, 68, 49, 3, 46, 40, 12, 21
16, 69, 58, 32, 18, 46, 65, 45, 12, 23, 10, 26, 35, 47, 3, 44, 42, 57, 49, 36, 40, 53, 50, 52, 37, 8, 17, 54, 48, 55, 34, 62, 68, 43, 30, 9, 24, 61, 27, 2, 28, 59, 39, 4, 1, 63, 11, 41, 29, 5, 7, 19, 31, 60, 15, 67, 22, 6, 38, 51, 20, 64, 13, 66, 56, 14, 25, 33, 21
37, 8, 17, 61, 34, 55, 48, 54, 57, 42, 3, 49, 68, 21, 38, 15, 1, 63, 47, 60, 32, 5, 11, 18, 36, 35, 7, 19, 10, 14, 56, 64, 20, 51, 6, 65, 46, 52, 50, 16, 30, 67, 22, 62, 31, 27, 40, 12, 23, 58, 44, 39, 24, 9, 4, 2, 53, 29, 26, 13, 66, 25, 33, 43, 69, 45, 59, 28, 41
16, 69, 58, 32, 18, 46, 65, 45, 12, 23, 10, 26, 35, 47, 3, 44, 42, 57, 49, 36, 40, 53, 50, 52, 37, 8, 17, 54, 48, 55, 34, 62, 68, 43, 30, 4, 39, 59, 28, 2, 27, 61, 24, 9, 1, 63, 11, 41, 29, 5, 7, 19, 31, 60, 15, 67, 22, 6, 38, 51, 20, 64, 13, 66, 56, 14, 25, 33, 21
36, 40, 53, 60, 47, 41, 29, 68, 31, 19, 7, 5, 62, 34, 55, 48, 54, 17, 8, 37, 52, 50, 11, 32, 58, 69, 16, 42, 57, 49, 14, 59, 44, 13, 66, 3, 56, 64, 20, 51, 38, 63, 1, 15, 67, 22, 6, 35, 26, 10, 23, 39, 4, 2, 27, 61, 24, 9, 18, 46, 65, 45, 12, 43, 30, 28, 25, 33, 21
32, 58, 69, 16, 42, 14, 49, 3, 59, 44, 57, 66, 13, 11, 50, 52, 37, 8, 17, 54, 48, 55, 34, 62, 68, 31, 19, 7, 5, 29, 41, 47, 60, 53, 40, 36, 56, 64, 20, 51, 38, 63, 1, 15, 67, 22, 6, 35, 26, 10, 23, 39, 4, 2, 27, 61, 24, 9, 18, 46, 65, 45, 12, 43, 30, 28, 25, 33, 21
