24, 8, 41, 37, 44, 11, 29, 47, 28, 4, 74, 7, 42, 58, 18, 52, 31, 36, 32, 71, 40, 26, 53, 9, 21, 50, 75, 70, 78, 55, 6, 62, 48, 72, 2, 22, 39, 5, 17, 38, 34, 20, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 76, 45, 68, 25, 51, 77, 16, 1, 13, 81, 65, 49, 35, 64, 46, 12, 59, 80, 82, 14, 66, 27, 67, 33, 3, 61, 10, 73, 63, 43
30, 44, 82, 71, 40, 22, 28, 12, 56, 48, 21, 51, 46, 64, 35, 39, 15, 79, 19, 8, 58, 36, 69, 18, 9, 29, 61, 4, 74, 7, 37, 41, 60, 32, 10, 73, 63, 17, 11, 43, 5, 26, 24, 50, 75, 70, 20, 25, 66, 14, 55, 53, 31, 77, 68, 45, 76, 57, 38, 81, 54, 34, 62, 6, 16, 52, 78, 47, 23, 42, 1, 80, 59, 67, 33, 3, 27, 13, 2, 72, 65, 49
34, 20, 62, 50, 75, 70, 78, 55, 6, 12, 59, 80, 82, 71, 40, 26, 53, 9, 18, 58, 4, 74, 7, 42, 28, 47, 29, 11, 44, 37, 41, 8, 24, 21, 38, 17, 5, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 39, 22, 2, 72, 48, 32, 36, 31, 52, 76, 45, 68, 25, 51, 77, 16, 1, 13, 81, 65, 49, 35, 64, 46, 14, 66, 27, 67, 33, 3, 61, 10, 73, 63, 43
17, 11, 43, 5, 26, 24, 50, 75, 70, 22, 40, 71, 82, 44, 8, 58, 36, 63, 73, 10, 32, 60, 19, 79, 15, 39, 35, 37, 41, 81, 54, 34, 64, 46, 12, 28, 69, 7, 74, 4, 61, 14, 55, 53, 31, 77, 68, 45, 76, 57, 38, 30, 62, 6, 16, 66, 25, 52, 78, 47, 23, 42, 51, 21, 48, 56, 20, 18, 9, 29, 1, 80, 59, 67, 33, 13, 27, 2, 72, 49, 65, 3
17, 61, 29, 43, 65, 8, 48, 56, 60, 9, 18, 4, 19, 79, 31, 62, 6, 16, 36, 68, 77, 49, 35, 64, 63, 73, 55, 54, 81, 41, 20, 52, 78, 47, 23, 42, 58, 11, 53, 24, 26, 5, 51, 25, 66, 21, 34, 50, 75, 70, 1, 80, 59, 67, 33, 13, 15, 57, 76, 45, 32, 10, 44, 82, 46, 12, 28, 69, 7, 74, 39, 22, 40, 71, 14, 37, 30, 38, 3, 72, 2, 27
37, 41, 39, 47, 23, 19, 29, 78, 77, 16, 26, 57, 60, 40, 2, 73, 10, 65, 67, 22, 58, 44, 25, 3, 82, 9, 8, 51, 33, 15, 43, 31, 35, 64, 18, 71, 14, 30, 27, 13, 20, 54, 81, 70, 1, 80, 59, 12, 46, 4, 68, 36, 79, 49, 72, 52, 76, 62, 48, 50, 11, 56, 6, 55, 53, 24, 21, 17, 38, 34, 75, 63, 28, 45, 32, 74, 7, 69, 66, 42, 61, 5
36, 22, 15, 43, 31, 19, 23, 47, 39, 49, 79, 56, 11, 78, 77, 16, 26, 57, 60, 40, 2, 73, 10, 65, 67, 8, 46, 12, 59, 80, 1, 70, 72, 52, 76, 62, 68, 4, 3, 82, 9, 35, 64, 18, 71, 14, 25, 51, 33, 81, 54, 20, 13, 27, 30, 37, 41, 44, 58, 48, 50, 29, 6, 55, 53, 24, 21, 17, 38, 34, 75, 63, 28, 45, 32, 74, 7, 69, 66, 42, 61, 5
38, 17, 67, 65, 10, 73, 14, 2, 25, 51, 59, 80, 1, 70, 72, 52, 76, 62, 6, 55, 78, 77, 16, 49, 29, 13, 82, 9, 41, 39, 22, 36, 68, 4, 26, 57, 60, 40, 46, 12, 3, 27, 64, 35, 48, 43, 31, 19, 23, 47, 15, 8, 34, 20, 54, 37, 30, 53, 24, 21, 50, 11, 56, 79, 71, 18, 58, 44, 81, 33, 75, 63, 28, 45, 32, 74, 7, 69, 66, 42, 61, 5
4, 74, 7, 69, 61, 29, 9, 18, 79, 19, 8, 20, 25, 66, 14, 55, 22, 40, 71, 82, 44, 30, 37, 41, 60, 32, 10, 73, 63, 17, 11, 43, 5, 26, 24, 50, 75, 70, 28, 12, 56, 48, 21, 51, 15, 39, 35, 64, 46, 58, 42, 23, 47, 78, 52, 16, 6, 62, 34, 54, 81, 38, 57, 76, 45, 68, 77, 31, 53, 36, 1, 80, 59, 67, 33, 13, 27, 3, 2, 72, 65, 49
27, 16, 6, 62, 44, 82, 51, 25, 66, 14, 24, 53, 11, 17, 32, 60, 56, 48, 21, 34, 50, 61, 2, 72, 3, 65, 49, 81, 54, 55, 20, 63, 73, 10, 26, 74, 4, 77, 69, 7, 28, 12, 46, 64, 35, 71, 29, 9, 18, 13, 33, 67, 59, 80, 1, 36, 58, 8, 43, 5, 30, 37, 41, 31, 52, 75, 70, 78, 47, 23, 42, 40, 22, 39, 15, 79, 19, 68, 45, 76, 57, 38
51, 42, 23, 47, 78, 52, 16, 6, 62, 35, 34, 54, 81, 41, 37, 30, 38, 57, 76, 45, 68, 77, 44, 82, 71, 40, 22, 28, 12, 46, 64, 39, 15, 79, 9, 18, 20, 25, 66, 19, 4, 36, 58, 69, 61, 29, 31, 53, 55, 74, 8, 21, 48, 56, 14, 60, 32, 10, 73, 63, 17, 11, 43, 5, 26, 24, 50, 75, 70, 7, 1, 80, 59, 67, 33, 13, 27, 2, 72, 49, 65, 3
47, 39, 9, 48, 58, 44, 41, 37, 30, 67, 65, 10, 73, 2, 40, 60, 57, 26, 16, 77, 78, 4, 68, 36, 22, 15, 33, 81, 54, 20, 49, 29, 3, 82, 13, 27, 8, 46, 12, 59, 80, 1, 70, 72, 52, 76, 62, 23, 19, 31, 43, 79, 56, 11, 50, 35, 64, 18, 71, 14, 25, 51, 6, 55, 53, 24, 21, 17, 38, 34, 75, 63, 28, 45, 32, 74, 7, 69, 66, 42, 61, 5
22, 40, 71, 82, 44, 30, 37, 41, 60, 32, 10, 73, 63, 17, 11, 43, 5, 26, 24, 50, 75, 70, 28, 12, 56, 48, 21, 51, 18, 9, 29, 61, 69, 7, 74, 39, 15, 79, 19, 8, 58, 36, 46, 64, 35, 4, 20, 25, 66, 14, 55, 53, 31, 77, 68, 45, 76, 57, 38, 81, 54, 34, 62, 6, 16, 52, 78, 47, 23, 42, 1, 80, 59, 67, 33, 13, 27, 2, 72, 3, 65, 49
