10, 23, 7, 3, 47, 51, 17, 38, 9, 2, 15, 43, 36, 45, 20, 46, 21, 55, 8, 16, 41, 56, 49, 48, 44, 42, 50, 54, 30, 35, 52, 57, 33, 27, 11, 34, 25, 28, 6, 39, 53, 13, 37, 14, 31, 18, 32, 24, 29, 1, 40, 12, 5, 26, 22, 4, 19
36, 27, 15, 30, 7, 40, 1, 49, 26, 54, 8, 31, 14, 19, 23, 55, 22, 48, 41, 16, 28, 39, 17, 56, 9, 25, 52, 24, 29, 51, 47, 37, 11, 43, 45, 20, 32, 18, 44, 38, 3, 5, 12, 2, 4, 42, 50, 57, 35, 34, 21, 46, 6, 33, 13, 53, 10
29, 51, 47, 52, 18, 32, 22, 48, 41, 16, 15, 43, 11, 6, 34, 49, 1, 40, 56, 17, 39, 42, 31, 14, 23, 55, 4, 30, 25, 33, 2, 9, 24, 53, 27, 36, 28, 21, 46, 20, 45, 19, 44, 38, 3, 7, 37, 26, 5, 12, 50, 57, 35, 13, 54, 8, 10
5, 31, 18, 32, 7, 26, 22, 44, 38, 2, 41, 3, 55, 20, 45, 19, 4, 46, 43, 27, 36, 28, 48, 23, 12, 40, 1, 49, 37, 47, 51, 29, 39, 17, 56, 11, 16, 52, 25, 30, 15, 24, 21, 9, 34, 6, 33, 8, 54, 42, 50, 57, 35, 14, 13, 53, 10
29, 51, 47, 37, 56, 45, 20, 31, 11, 27, 6, 34, 49, 48, 41, 16, 50, 57, 35, 43, 46, 14, 22, 42, 44, 38, 32, 7, 3, 24, 52, 25, 18, 39, 17, 15, 30, 23, 55, 4, 19, 36, 28, 21, 9, 33, 2, 8, 54, 1, 40, 12, 5, 26, 13, 53, 10
36, 45, 20, 46, 21, 55, 8, 16, 41, 56, 49, 32, 18, 31, 14, 23, 35, 17, 51, 47, 29, 24, 27, 11, 34, 38, 2, 52, 57, 33, 9, 30, 54, 50, 42, 44, 43, 37, 13, 53, 39, 6, 28, 25, 48, 15, 7, 3, 10, 1, 40, 12, 5, 26, 22, 4, 19
28, 6, 39, 53, 13, 37, 43, 36, 45, 20, 46, 21, 55, 8, 16, 41, 56, 49, 32, 18, 31, 14, 23, 35, 17, 51, 47, 29, 25, 24, 27, 11, 34, 38, 2, 52, 57, 33, 9, 30, 54, 50, 42, 44, 48, 15, 7, 3, 10, 1, 40, 12, 5, 26, 22, 4, 19
11, 8, 52, 25, 30, 40, 1, 49, 26, 22, 18, 27, 36, 28, 16, 41, 5, 12, 6, 43, 37, 7, 17, 38, 3, 31, 14, 23, 35, 45, 15, 2, 55, 10, 33, 48, 57, 19, 4, 39, 47, 51, 29, 24, 32, 20, 46, 21, 9, 34, 56, 44, 42, 50, 54, 13, 53
36, 27, 15, 30, 7, 40, 1, 49, 26, 3, 8, 31, 14, 19, 23, 55, 9, 56, 17, 39, 28, 16, 41, 48, 22, 25, 52, 24, 29, 51, 47, 37, 11, 43, 45, 20, 32, 18, 44, 38, 54, 5, 12, 2, 4, 42, 50, 57, 35, 34, 21, 46, 6, 33, 13, 53, 10
44, 42, 50, 54, 30, 9, 33, 57, 52, 38, 2, 34, 11, 27, 24, 16, 8, 55, 21, 46, 20, 45, 36, 43, 37, 13, 53, 39, 6, 28, 25, 41, 56, 49, 32, 18, 31, 14, 23, 35, 17, 51, 47, 29, 48, 3, 7, 15, 10, 1, 40, 12, 5, 26, 22, 4, 19
