22, 60, 18, 44, 43, 65, 69, 4, 58, 55, 10, 63, 16, 11, 30, 17, 24, 59, 6, 36, 32, 14, 8, 29, 2, 49, 51, 47, 1, 23, 35, 72, 41, 64, 46, 56, 19, 3, 12, 53, 9, 50, 7, 68, 73, 57, 40, 26, 52, 15, 21, 42, 70, 39, 13, 48, 54, 45, 25, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
35, 25, 58, 39, 70, 15, 52, 26, 48, 2, 49, 51, 30, 11, 16, 63, 10, 4, 8, 29, 55, 69, 65, 43, 14, 47, 22, 42, 60, 18, 44, 54, 45, 40, 17, 72, 41, 64, 46, 13, 3, 19, 56, 36, 32, 24, 59, 1, 23, 6, 12, 53, 9, 50, 7, 68, 73, 57, 21, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
13, 48, 54, 45, 32, 36, 6, 12, 53, 9, 50, 44, 18, 58, 55, 10, 63, 16, 60, 22, 8, 39, 70, 42, 21, 15, 52, 26, 3, 19, 56, 46, 64, 41, 72, 35, 23, 1, 47, 14, 4, 69, 65, 43, 11, 30, 51, 49, 29, 2, 7, 68, 73, 57, 40, 17, 24, 59, 25, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
28, 48, 6, 12, 53, 63, 10, 55, 43, 17, 3, 35, 25, 58, 39, 70, 42, 21, 15, 50, 9, 40, 19, 56, 8, 29, 49, 2, 59, 13, 72, 41, 64, 46, 7, 68, 73, 57, 65, 69, 4, 14, 47, 1, 23, 60, 18, 44, 54, 51, 30, 11, 16, 22, 45, 32, 36, 24, 52, 26, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
13, 48, 54, 45, 32, 36, 6, 12, 53, 9, 50, 44, 18, 58, 55, 10, 63, 16, 60, 22, 8, 39, 70, 42, 21, 15, 52, 26, 40, 19, 56, 46, 64, 41, 72, 35, 23, 1, 47, 14, 4, 69, 65, 43, 11, 30, 51, 49, 29, 2, 7, 68, 73, 57, 3, 17, 24, 59, 25, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
28, 48, 6, 12, 53, 63, 10, 55, 43, 17, 3, 35, 25, 58, 39, 70, 42, 21, 15, 50, 9, 40, 19, 56, 8, 29, 2, 49, 59, 13, 72, 41, 64, 46, 26, 52, 24, 57, 65, 69, 4, 14, 47, 1, 23, 60, 18, 44, 54, 51, 30, 11, 16, 22, 45, 32, 36, 73, 68, 7, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
22, 60, 18, 44, 43, 65, 69, 4, 14, 32, 36, 6, 59, 24, 17, 30, 11, 16, 63, 10, 55, 58, 8, 29, 2, 49, 51, 47, 1, 23, 35, 72, 41, 64, 46, 56, 19, 3, 12, 53, 9, 50, 7, 68, 73, 57, 40, 26, 52, 15, 21, 42, 70, 39, 13, 48, 54, 45, 25, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
18, 44, 50, 9, 53, 12, 6, 36, 32, 45, 54, 48, 13, 58, 55, 10, 63, 16, 60, 22, 8, 39, 70, 42, 21, 15, 52, 26, 3, 19, 56, 46, 64, 41, 72, 35, 23, 1, 47, 14, 4, 69, 65, 43, 11, 30, 51, 49, 29, 2, 7, 68, 73, 57, 40, 17, 24, 59, 25, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
4, 10, 63, 16, 60, 39, 70, 42, 21, 15, 52, 26, 3, 19, 56, 36, 46, 64, 41, 72, 35, 25, 58, 23, 1, 47, 14, 43, 59, 22, 8, 29, 2, 49, 51, 24, 32, 45, 54, 44, 18, 13, 48, 65, 69, 55, 40, 17, 6, 12, 53, 30, 11, 9, 50, 7, 68, 73, 57, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
14, 32, 36, 6, 59, 24, 17, 30, 11, 16, 63, 10, 55, 58, 4, 69, 65, 43, 44, 18, 60, 22, 8, 29, 2, 49, 51, 47, 1, 23, 35, 72, 41, 64, 46, 56, 19, 3, 12, 53, 9, 50, 7, 68, 73, 57, 40, 26, 52, 15, 21, 42, 70, 39, 13, 48, 54, 45, 25, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
22, 8, 29, 2, 49, 51, 30, 11, 43, 65, 69, 4, 14, 47, 1, 23, 44, 16, 63, 10, 55, 58, 60, 18, 35, 72, 41, 64, 46, 56, 19, 3, 12, 53, 9, 50, 7, 68, 73, 57, 40, 26, 52, 17, 24, 59, 6, 36, 32, 45, 54, 48, 13, 39, 70, 42, 21, 15, 25, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
28, 48, 6, 12, 53, 63, 10, 55, 40, 17, 43, 35, 25, 58, 39, 70, 42, 21, 15, 50, 9, 3, 19, 56, 8, 29, 49, 2, 59, 13, 72, 41, 64, 46, 26, 52, 24, 57, 65, 69, 4, 14, 47, 1, 23, 60, 18, 44, 54, 51, 30, 11, 16, 22, 45, 32, 36, 73, 68, 7, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
2, 49, 29, 8, 56, 19, 40, 9, 50, 15, 21, 42, 70, 39, 58, 25, 35, 3, 17, 43, 55, 10, 63, 53, 12, 6, 48, 28, 59, 13, 72, 41, 64, 46, 26, 52, 24, 57, 65, 69, 4, 14, 47, 1, 23, 60, 18, 44, 54, 51, 30, 11, 16, 22, 45, 32, 36, 73, 68, 7, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
22, 60, 18, 44, 43, 65, 69, 4, 58, 55, 10, 63, 16, 11, 30, 17, 24, 59, 6, 36, 32, 14, 8, 29, 2, 49, 51, 47, 1, 23, 35, 72, 41, 64, 46, 56, 19, 40, 12, 53, 9, 50, 7, 68, 73, 57, 3, 26, 52, 15, 21, 42, 70, 39, 13, 48, 54, 45, 25, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
13, 39, 70, 42, 21, 15, 30, 11, 16, 63, 10, 55, 58, 48, 54, 45, 32, 36, 6, 59, 24, 17, 52, 26, 40, 57, 73, 68, 7, 50, 9, 53, 12, 3, 19, 56, 46, 64, 41, 72, 35, 23, 1, 47, 51, 49, 2, 29, 8, 22, 60, 18, 44, 43, 65, 69, 4, 14, 25, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
13, 48, 54, 45, 32, 36, 6, 12, 53, 9, 50, 44, 18, 58, 55, 10, 63, 16, 60, 22, 8, 39, 70, 42, 21, 15, 52, 26, 3, 19, 56, 46, 64, 41, 72, 35, 23, 1, 47, 14, 43, 65, 69, 4, 11, 30, 51, 49, 29, 2, 7, 68, 73, 57, 40, 17, 24, 59, 25, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
2, 49, 29, 8, 56, 19, 3, 9, 50, 15, 21, 42, 70, 39, 58, 25, 35, 43, 17, 40, 55, 10, 63, 53, 12, 6, 48, 28, 59, 13, 72, 41, 64, 46, 26, 52, 24, 57, 65, 69, 4, 14, 47, 1, 23, 60, 18, 44, 54, 51, 30, 11, 16, 22, 45, 32, 36, 73, 68, 7, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
13, 48, 54, 45, 32, 36, 6, 12, 53, 9, 50, 44, 18, 58, 55, 10, 63, 16, 60, 22, 8, 39, 70, 42, 21, 15, 52, 26, 3, 19, 56, 46, 64, 41, 72, 35, 23, 1, 47, 14, 4, 69, 65, 43, 11, 30, 51, 49, 2, 29, 7, 68, 73, 57, 40, 17, 24, 59, 25, 28, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
28, 48, 6, 12, 53, 63, 10, 55, 40, 17, 43, 35, 25, 58, 39, 70, 42, 21, 15, 50, 9, 3, 19, 56, 8, 29, 2, 49, 59, 13, 72, 41, 64, 46, 26, 52, 24, 57, 65, 69, 4, 14, 47, 1, 23, 60, 18, 44, 54, 51, 30, 11, 16, 22, 45, 32, 36, 73, 68, 7, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
28, 48, 6, 12, 53, 63, 10, 55, 3, 17, 43, 35, 25, 58, 39, 70, 42, 21, 15, 50, 9, 40, 19, 56, 8, 29, 49, 2, 59, 13, 72, 41, 64, 46, 26, 52, 24, 57, 65, 69, 4, 14, 47, 1, 23, 60, 18, 44, 54, 51, 30, 11, 16, 22, 45, 32, 36, 73, 68, 7, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
28, 48, 6, 12, 53, 63, 10, 55, 40, 17, 43, 35, 25, 58, 39, 70, 42, 21, 15, 50, 9, 3, 19, 56, 8, 29, 49, 2, 59, 13, 72, 41, 64, 46, 7, 68, 73, 57, 65, 69, 4, 14, 47, 1, 23, 60, 18, 44, 54, 51, 30, 11, 16, 22, 45, 32, 36, 24, 52, 26, 31, 71, 62, 61, 38, 67, 20, 27, 66, 34, 5, 37, 33
