46, 41, 16, 19, 45, 20, 55, 33, 6, 43, 37, 13, 35, 28, 36, 27, 11, 8, 52, 25, 30, 54, 50, 42, 44, 47, 51, 29, 2, 10, 9, 21, 23, 14, 31, 18, 32, 24, 48, 22, 26, 5, 12, 40, 1, 49, 4, 53, 15, 34, 7, 17, 38, 3, 39
14, 55, 20, 45, 19, 4, 46, 21, 9, 10, 2, 33, 6, 28, 31, 18, 32, 24, 29, 51, 47, 44, 42, 50, 54, 7, 3, 38, 36, 27, 11, 8, 52, 25, 30, 15, 35, 23, 17, 39, 16, 41, 48, 22, 26, 5, 12, 40, 1, 49, 34, 53, 13, 37, 43
26, 22, 48, 4, 52, 51, 47, 44, 42, 55, 9, 2, 8, 12, 6, 39, 31, 43, 37, 3, 7, 10, 28, 11, 27, 5, 49, 1, 40, 38, 36, 14, 23, 46, 41, 16, 45, 19, 17, 53, 13, 21, 50, 54, 30, 20, 34, 25, 15, 35, 33, 29, 24, 32, 18
5, 12, 40, 1, 49, 26, 22, 48, 24, 32, 18, 31, 14, 23, 21, 9, 2, 10, 29, 51, 47, 44, 42, 50, 54, 30, 25, 52, 8, 11, 27, 36, 28, 35, 16, 41, 46, 4, 19, 45, 20, 55, 33, 15, 53, 13, 37, 43, 6, 34, 7, 3, 38, 17, 39
5, 12, 40, 1, 49, 26, 22, 48, 24, 32, 18, 31, 14, 23, 21, 9, 10, 2, 29, 51, 47, 44, 42, 50, 54, 30, 25, 52, 8, 11, 27, 36, 28, 35, 4, 46, 41, 16, 19, 45, 20, 55, 33, 15, 53, 13, 37, 43, 6, 34, 7, 17, 38, 3, 39
22, 26, 49, 1, 40, 38, 36, 45, 19, 17, 55, 9, 8, 2, 12, 6, 16, 41, 3, 7, 46, 37, 48, 4, 52, 51, 47, 44, 42, 14, 23, 5, 27, 11, 28, 10, 39, 43, 31, 53, 13, 21, 50, 54, 30, 20, 34, 25, 15, 35, 33, 29, 24, 32, 18
35, 15, 30, 39, 53, 13, 8, 11, 27, 18, 33, 22, 26, 5, 12, 40, 1, 49, 31, 24, 32, 38, 3, 7, 46, 21, 2, 6, 43, 37, 19, 17, 55, 54, 50, 23, 14, 48, 41, 16, 4, 52, 25, 34, 20, 45, 9, 10, 28, 36, 42, 44, 47, 51, 29
9, 2, 10, 33, 6, 18, 32, 24, 29, 21, 46, 20, 45, 19, 4, 55, 14, 23, 35, 15, 7, 3, 38, 25, 52, 8, 11, 27, 36, 51, 47, 44, 42, 50, 54, 30, 28, 31, 43, 37, 13, 53, 34, 49, 1, 40, 12, 5, 26, 22, 48, 41, 16, 39, 17
38, 3, 7, 54, 50, 42, 44, 47, 51, 23, 35, 15, 30, 9, 10, 2, 14, 31, 18, 32, 24, 29, 21, 46, 4, 19, 45, 20, 55, 33, 6, 28, 36, 27, 11, 8, 52, 25, 43, 37, 13, 53, 34, 49, 1, 40, 12, 5, 26, 22, 48, 41, 16, 39, 17
36, 27, 11, 8, 33, 10, 52, 25, 2, 9, 21, 46, 4, 19, 45, 20, 55, 14, 31, 18, 32, 24, 29, 30, 15, 35, 23, 51, 47, 44, 42, 50, 54, 7, 3, 38, 28, 6, 17, 39, 16, 41, 48, 22, 26, 5, 12, 40, 1, 49, 34, 53, 13, 37, 43
