4, 14, 12, 8, 39, 40, 6, 7, 34, 19, 23, 22, 2, 38, 24, 33, 26, 17, 27, 3, 25, 28, 37, 42, 30, 18, 13, 16, 31, 11, 35, 1, 36, 41, 15, 5, 32, 10, 20, 9, 21, 29
8, 23, 28, 25, 21, 5, 24, 12, 9, 6, 20, 2, 1, 36, 32, 31, 18, 30, 35, 10, 37, 42, 41, 15, 19, 38, 16, 4, 39, 17, 27, 11, 40, 7, 34, 13, 29, 3, 22, 14, 26, 33
8, 4, 39, 40, 6, 14, 12, 7, 34, 19, 23, 22, 2, 38, 24, 33, 26, 17, 27, 3, 25, 28, 37, 42, 30, 18, 13, 16, 31, 11, 35, 1, 36, 41, 15, 5, 32, 10, 20, 9, 21, 29
18, 31, 11, 40, 24, 33, 41, 15, 6, 1, 36, 32, 10, 20, 25, 9, 28, 22, 30, 21, 7, 3, 39, 17, 27, 38, 42, 37, 23, 35, 13, 4, 29, 16, 26, 5, 2, 34, 19, 12, 14, 8
8, 16, 2, 7, 29, 27, 15, 22, 5, 12, 18, 3, 39, 26, 14, 23, 41, 33, 24, 38, 31, 21, 9, 28, 17, 4, 6, 25, 42, 37, 20, 10, 32, 36, 1, 13, 35, 30, 19, 34, 40, 11
8, 23, 28, 25, 21, 5, 24, 12, 9, 6, 20, 2, 1, 36, 32, 31, 11, 40, 7, 10, 37, 42, 41, 15, 19, 38, 16, 4, 39, 17, 27, 18, 30, 35, 34, 13, 29, 3, 22, 14, 26, 33
4, 14, 12, 7, 39, 40, 6, 8, 34, 19, 23, 22, 2, 38, 24, 33, 26, 17, 27, 28, 25, 3, 37, 42, 30, 18, 13, 16, 31, 11, 35, 1, 36, 41, 15, 5, 32, 10, 20, 9, 21, 29
7, 23, 8, 3, 28, 16, 9, 40, 11, 4, 2, 31, 39, 17, 27, 18, 38, 19, 30, 34, 22, 14, 26, 6, 25, 21, 5, 29, 41, 33, 35, 1, 36, 24, 12, 13, 32, 10, 20, 37, 42, 15
8, 5, 12, 18, 3, 39, 26, 14, 2, 16, 7, 29, 27, 15, 22, 23, 41, 33, 24, 38, 31, 21, 9, 28, 17, 4, 6, 25, 42, 37, 20, 10, 32, 36, 1, 13, 35, 30, 19, 34, 40, 11
25, 6, 26, 14, 22, 34, 30, 19, 38, 18, 27, 17, 39, 31, 2, 4, 11, 40, 7, 23, 8, 3, 28, 16, 9, 21, 5, 29, 41, 33, 35, 1, 36, 24, 12, 13, 32, 10, 20, 37, 42, 15
14, 9, 6, 33, 34, 8, 35, 25, 26, 37, 42, 7, 2, 12, 29, 13, 28, 39, 24, 36, 1, 15, 41, 19, 38, 21, 5, 40, 11, 31, 18, 30, 3, 4, 16, 32, 10, 20, 27, 17, 22, 23
8, 4, 39, 40, 6, 14, 12, 7, 34, 19, 23, 22, 2, 38, 24, 33, 26, 17, 27, 28, 25, 3, 37, 42, 30, 18, 13, 16, 31, 11, 35, 1, 36, 41, 15, 5, 32, 10, 20, 9, 21, 29
8, 6, 40, 39, 7, 12, 14, 4, 34, 19, 23, 22, 2, 38, 24, 33, 26, 3, 27, 17, 25, 28, 37, 42, 30, 18, 13, 16, 31, 11, 35, 1, 36, 41, 15, 5, 32, 10, 20, 9, 21, 29
3, 18, 12, 22, 26, 41, 33, 24, 38, 31, 21, 23, 39, 9, 27, 29, 15, 5, 14, 8, 16, 7, 2, 28, 17, 4, 6, 25, 42, 37, 20, 10, 32, 36, 1, 13, 35, 30, 19, 34, 40, 11
4, 14, 12, 7, 39, 40, 6, 8, 34, 19, 23, 22, 2, 38, 24, 33, 26, 17, 27, 3, 25, 28, 37, 42, 30, 18, 13, 16, 31, 11, 35, 1, 36, 41, 15, 5, 32, 10, 20, 9, 21, 29
10, 20, 15, 41, 33, 24, 40, 11, 31, 18, 32, 36, 1, 6, 25, 9, 28, 22, 30, 21, 7, 3, 39, 17, 27, 38, 42, 37, 23, 35, 13, 4, 29, 16, 26, 5, 2, 34, 19, 12, 14, 8
25, 6, 26, 14, 22, 34, 30, 19, 38, 18, 27, 17, 39, 31, 4, 2, 11, 40, 9, 16, 28, 3, 8, 23, 7, 21, 5, 29, 41, 33, 35, 1, 36, 24, 12, 13, 32, 10, 20, 37, 42, 15
9, 12, 24, 5, 21, 25, 28, 23, 8, 6, 2, 20, 1, 36, 32, 31, 11, 40, 7, 10, 37, 42, 41, 15, 19, 38, 16, 4, 39, 17, 27, 18, 30, 35, 34, 13, 29, 3, 22, 14, 26, 33
2, 7, 16, 8, 5, 12, 18, 29, 27, 15, 23, 41, 33, 24, 38, 31, 21, 22, 3, 39, 26, 14, 9, 28, 17, 4, 6, 25, 42, 37, 20, 10, 32, 36, 1, 13, 35, 30, 19, 34, 40, 11
12, 18, 3, 39, 26, 14, 16, 2, 7, 29, 27, 15, 5, 8, 22, 23, 41, 33, 24, 38, 31, 21, 9, 28, 17, 4, 6, 25, 42, 37, 20, 10, 32, 36, 1, 13, 35, 30, 19, 34, 40, 11
14, 23, 41, 33, 24, 38, 31, 21, 2, 7, 29, 27, 15, 22, 26, 39, 3, 18, 12, 5, 8, 16, 9, 28, 17, 4, 6, 25, 42, 37, 20, 10, 32, 36, 1, 13, 35, 30, 19, 34, 40, 11
12, 18, 3, 39, 26, 14, 2, 16, 7, 29, 27, 15, 5, 8, 22, 23, 41, 33, 24, 38, 31, 21, 9, 28, 17, 4, 6, 25, 42, 37, 20, 10, 32, 36, 1, 13, 35, 30, 19, 34, 40, 11
7, 24, 33, 41, 15, 20, 10, 18, 30, 3, 32, 36, 1, 6, 25, 9, 28, 22, 31, 11, 40, 21, 39, 17, 27, 38, 42, 37, 23, 35, 13, 4, 29, 16, 26, 5, 2, 34, 19, 12, 14, 8
22, 15, 27, 29, 7, 2, 21, 31, 38, 24, 33, 41, 23, 14, 26, 39, 3, 18, 12, 5, 8, 16, 9, 28, 17, 4, 6, 25, 42, 37, 20, 10, 32, 36, 1, 13, 35, 30, 19, 34, 40, 11
8, 6, 40, 39, 4, 14, 12, 7, 34, 19, 23, 22, 2, 38, 24, 33, 26, 17, 27, 28, 25, 3, 37, 42, 30, 18, 13, 16, 31, 11, 35, 1, 36, 41, 15, 5, 32, 10, 20, 9, 21, 29
15, 41, 42, 37, 20, 28, 23, 21, 18, 30, 35, 10, 5, 8, 2, 31, 32, 36, 1, 12, 24, 25, 6, 9, 19, 38, 16, 4, 39, 17, 27, 11, 40, 7, 34, 13, 29, 3, 22, 14, 26, 33
9, 8, 23, 28, 25, 21, 5, 24, 12, 6, 20, 2, 1, 36, 32, 31, 11, 40, 7, 10, 37, 42, 41, 15, 19, 38, 16, 4, 39, 17, 27, 18, 30, 35, 34, 13, 29, 3, 22, 14, 26, 33
22, 8, 5, 12, 2, 14, 16, 7, 29, 27, 15, 23, 41, 33, 24, 38, 31, 21, 26, 39, 3, 18, 9, 28, 17, 4, 6, 25, 42, 37, 20, 10, 32, 36, 1, 13, 35, 30, 19, 34, 40, 11
14, 9, 6, 33, 34, 8, 35, 25, 26, 37, 42, 7, 12, 2, 29, 13, 28, 39, 24, 36, 1, 15, 41, 19, 38, 21, 5, 40, 11, 31, 18, 30, 16, 4, 3, 32, 10, 20, 27, 17, 22, 23
9, 12, 24, 5, 21, 25, 28, 23, 8, 6, 2, 20, 1, 36, 32, 31, 18, 30, 35, 10, 37, 42, 41, 15, 19, 38, 16, 4, 39, 17, 27, 11, 40, 7, 34, 13, 29, 3, 22, 14, 26, 33
9, 8, 23, 28, 25, 21, 5, 24, 12, 6, 20, 2, 1, 36, 32, 31, 18, 30, 35, 10, 37, 42, 41, 15, 19, 38, 16, 4, 39, 17, 27, 11, 40, 7, 34, 13, 29, 3, 22, 14, 26, 33
9, 12, 24, 5, 21, 25, 28, 23, 8, 6, 20, 2, 1, 36, 32, 31, 11, 40, 7, 10, 37, 42, 41, 15, 4, 16, 38, 19, 39, 17, 27, 18, 30, 35, 34, 13, 29, 3, 22, 14, 26, 33
9, 12, 24, 5, 21, 25, 28, 23, 8, 20, 6, 3, 1, 36, 32, 31, 18, 30, 35, 10, 37, 42, 41, 15, 19, 38, 16, 4, 39, 17, 27, 11, 40, 7, 34, 13, 29, 2, 22, 14, 26, 33
5, 8, 16, 2, 7, 12, 18, 29, 27, 15, 23, 41, 33, 24, 38, 31, 21, 22, 3, 39, 26, 14, 9, 28, 17, 4, 6, 25, 42, 37, 20, 10, 32, 36, 1, 13, 35, 30, 19, 34, 40, 11
