16, 80, 35, 9, 7, 39, 23, 88, 74, 19, 47, 79, 50, 28, 59, 10, 71, 15, 64, 48, 56, 41, 67, 65, 69, 14, 20, 53, 72, 33, 32, 66, 42, 1, 86, 77, 63, 75, 29, 54, 3, 55, 85, 8, 36, 24, 62, 11, 81, 61, 37, 70, 68, 21, 40, 87, 31, 90, 12, 30, 2, 26, 22, 4, 13, 45, 49, 57, 34, 25, 82, 27, 43, 78, 44, 60, 18, 6, 38, 17, 51, 84, 52, 83, 5, 76, 46, 89, 73, 58
57, 67, 41, 82, 7, 39, 60, 69, 14, 20, 53, 72, 33, 32, 66, 9, 45, 47, 19, 74, 10, 59, 50, 79, 35, 80, 16, 28, 21, 68, 31, 12, 90, 11, 81, 61, 4, 13, 70, 24, 36, 8, 85, 55, 3, 54, 29, 75, 63, 18, 43, 27, 56, 77, 86, 1, 42, 22, 26, 6, 38, 88, 23, 65, 62, 48, 64, 15, 71, 44, 78, 2, 30, 87, 40, 49, 37, 34, 25, 17, 51, 84, 52, 83, 5, 76, 46, 89, 73, 58
56, 41, 67, 57, 45, 47, 19, 74, 88, 23, 65, 69, 22, 26, 2, 30, 12, 90, 31, 87, 40, 21, 72, 50, 79, 68, 34, 25, 82, 13, 70, 37, 49, 7, 39, 60, 44, 78, 43, 15, 71, 16, 11, 81, 61, 80, 35, 9, 33, 32, 66, 42, 1, 86, 77, 27, 48, 64, 10, 59, 28, 4, 62, 24, 36, 8, 85, 55, 3, 54, 29, 75, 53, 20, 14, 63, 18, 6, 38, 17, 51, 84, 52, 83, 5, 76, 46, 89, 73, 58
24, 62, 34, 25, 82, 7, 39, 77, 86, 1, 42, 66, 32, 26, 2, 64, 15, 71, 16, 80, 35, 9, 45, 33, 36, 22, 75, 29, 54, 3, 55, 85, 8, 72, 53, 20, 14, 69, 60, 56, 65, 23, 88, 38, 6, 47, 19, 74, 10, 59, 28, 21, 63, 18, 50, 79, 48, 27, 43, 78, 44, 11, 81, 61, 4, 13, 70, 37, 49, 40, 87, 30, 90, 12, 31, 68, 41, 67, 57, 17, 51, 84, 52, 83, 5, 76, 46, 89, 73, 58
33, 72, 53, 20, 47, 14, 69, 2, 26, 30, 87, 40, 49, 37, 70, 60, 71, 15, 64, 68, 31, 12, 90, 11, 81, 61, 4, 13, 57, 67, 41, 56, 45, 32, 66, 42, 1, 86, 77, 39, 7, 82, 25, 34, 59, 9, 35, 80, 16, 28, 21, 50, 79, 27, 22, 43, 78, 44, 62, 10, 74, 19, 24, 36, 8, 85, 55, 3, 54, 29, 75, 63, 18, 48, 65, 23, 88, 38, 6, 17, 51, 84, 52, 83, 5, 76, 46, 89, 73, 58
2, 26, 30, 87, 40, 49, 37, 70, 13, 4, 61, 81, 11, 90, 12, 31, 68, 64, 15, 71, 60, 57, 67, 41, 56, 45, 69, 14, 47, 20, 53, 72, 33, 32, 66, 42, 1, 86, 77, 39, 7, 82, 25, 34, 59, 9, 35, 80, 16, 28, 21, 50, 79, 27, 22, 43, 78, 44, 62, 10, 74, 19, 24, 36, 8, 85, 55, 3, 54, 29, 75, 63, 18, 6, 38, 88, 23, 65, 48, 17, 51, 84, 52, 83, 5, 76, 46, 89, 73, 58
62, 44, 78, 43, 22, 27, 79, 50, 21, 28, 16, 80, 35, 9, 45, 56, 41, 67, 57, 60, 71, 15, 64, 68, 31, 12, 90, 11, 81, 61, 4, 13, 70, 37, 49, 40, 87, 30, 2, 26, 69, 14, 47, 20, 53, 72, 33, 32, 66, 42, 1, 86, 77, 39, 7, 82, 25, 34, 59, 10, 74, 19, 24, 36, 8, 85, 55, 3, 54, 29, 75, 63, 18, 6, 38, 88, 23, 65, 48, 17, 51, 84, 52, 83, 5, 76, 46, 89, 73, 58
19, 47, 45, 9, 66, 32, 33, 72, 53, 20, 14, 69, 60, 39, 7, 82, 41, 67, 57, 74, 10, 59, 50, 79, 35, 80, 16, 28, 21, 68, 31, 12, 90, 11, 81, 61, 4, 13, 70, 24, 36, 8, 85, 55, 3, 54, 29, 75, 63, 18, 43, 27, 56, 77, 86, 1, 42, 22, 26, 6, 38, 88, 23, 65, 62, 48, 64, 15, 71, 44, 78, 2, 30, 87, 40, 49, 37, 34, 25, 17, 51, 84, 52, 83, 5, 76, 46, 89, 73, 58
26, 2, 30, 87, 24, 64, 15, 71, 16, 80, 35, 9, 45, 47, 19, 74, 27, 56, 41, 67, 57, 49, 40, 34, 59, 10, 22, 43, 48, 69, 14, 20, 53, 72, 33, 32, 66, 42, 1, 86, 77, 88, 38, 6, 18, 63, 75, 29, 54, 37, 70, 13, 4, 61, 3, 55, 85, 8, 36, 50, 79, 81, 11, 90, 12, 31, 68, 21, 28, 62, 7, 39, 60, 44, 78, 65, 23, 82, 25, 17, 51, 84, 52, 83, 5, 76, 46, 89, 73, 58
35, 9, 32, 66, 42, 1, 86, 77, 27, 82, 33, 45, 47, 19, 74, 88, 23, 65, 69, 22, 26, 2, 30, 12, 90, 31, 87, 40, 21, 72, 50, 79, 68, 34, 25, 80, 61, 81, 43, 78, 44, 60, 39, 7, 49, 57, 67, 41, 56, 37, 70, 13, 11, 15, 71, 16, 48, 64, 10, 59, 28, 4, 62, 24, 36, 8, 85, 55, 3, 54, 29, 75, 53, 20, 14, 63, 18, 6, 38, 17, 51, 84, 52, 83, 5, 76, 46, 89, 73, 58
