3, 61, 10, 33, 67, 27, 66, 14, 71, 40, 73, 63, 43, 5, 58, 42, 11, 29, 47, 28, 4, 74, 7, 44, 37, 41, 8, 24, 21, 50, 75, 70, 78, 55, 6, 62, 20, 34, 38, 17, 26, 53, 9, 18, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 39, 22, 2, 72, 48, 32, 36, 31, 52, 76, 45, 68, 25, 51, 77, 16, 1, 13, 65, 49, 35, 64, 46, 12, 59
3, 61, 10, 33, 67, 27, 66, 14, 71, 40, 73, 63, 43, 5, 58, 42, 11, 29, 47, 28, 4, 74, 7, 17, 38, 34, 20, 62, 6, 55, 78, 70, 75, 50, 21, 24, 8, 41, 37, 44, 26, 53, 9, 18, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 39, 22, 2, 72, 48, 32, 36, 31, 52, 76, 45, 68, 25, 51, 77, 16, 1, 13, 65, 49, 35, 64, 46, 12, 59
40, 71, 14, 66, 27, 67, 33, 3, 61, 10, 73, 63, 43, 5, 58, 4, 74, 7, 42, 28, 47, 29, 11, 44, 37, 41, 8, 24, 21, 50, 75, 70, 78, 55, 17, 38, 34, 20, 62, 6, 26, 53, 9, 18, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 39, 22, 2, 72, 48, 32, 36, 31, 52, 76, 45, 68, 25, 51, 77, 16, 1, 13, 65, 49, 35, 64, 46, 12, 59
41, 8, 24, 21, 50, 75, 70, 78, 55, 6, 62, 20, 34, 38, 17, 11, 29, 47, 28, 42, 7, 74, 9, 43, 63, 73, 10, 61, 3, 33, 67, 27, 66, 14, 71, 40, 26, 53, 4, 58, 18, 37, 44, 5, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 39, 22, 2, 72, 48, 32, 36, 31, 52, 76, 45, 68, 25, 51, 77, 16, 1, 13, 65, 49, 35, 64, 46, 12, 59
3, 61, 10, 33, 67, 27, 66, 14, 71, 40, 73, 63, 43, 5, 58, 42, 11, 29, 47, 28, 4, 74, 7, 44, 37, 41, 8, 24, 21, 50, 75, 70, 78, 55, 6, 62, 20, 34, 38, 17, 26, 53, 9, 18, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 39, 22, 72, 2, 48, 32, 36, 31, 52, 76, 45, 68, 25, 51, 77, 16, 1, 13, 65, 49, 35, 64, 46, 12, 59
40, 71, 14, 66, 27, 67, 33, 3, 61, 10, 73, 63, 43, 5, 58, 42, 11, 29, 47, 28, 4, 74, 7, 44, 37, 41, 8, 24, 21, 50, 75, 70, 78, 55, 17, 38, 34, 20, 62, 6, 26, 53, 9, 18, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 39, 22, 2, 72, 48, 32, 36, 31, 52, 76, 45, 68, 25, 51, 77, 16, 1, 13, 65, 49, 35, 64, 46, 12, 59
3, 61, 10, 33, 67, 27, 66, 14, 71, 40, 73, 63, 43, 5, 58, 4, 74, 7, 42, 28, 47, 29, 11, 44, 37, 41, 8, 24, 21, 50, 75, 70, 78, 55, 6, 62, 20, 34, 38, 17, 26, 53, 9, 18, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 39, 22, 2, 72, 48, 32, 36, 31, 52, 76, 45, 68, 25, 51, 77, 16, 1, 13, 65, 49, 35, 64, 46, 12, 59
10, 61, 3, 33, 67, 27, 66, 14, 71, 40, 73, 63, 43, 5, 58, 4, 74, 7, 42, 28, 47, 29, 11, 44, 37, 41, 8, 24, 21, 50, 75, 70, 78, 55, 17, 38, 34, 20, 62, 6, 26, 53, 9, 18, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 39, 22, 72, 2, 48, 32, 36, 31, 52, 76, 45, 68, 25, 51, 77, 16, 1, 13, 65, 49, 35, 64, 46, 12, 59
18, 58, 4, 53, 26, 40, 71, 14, 66, 27, 3, 33, 67, 61, 10, 73, 63, 43, 9, 74, 7, 42, 28, 47, 29, 11, 44, 37, 41, 8, 24, 21, 50, 75, 70, 78, 55, 17, 38, 34, 20, 62, 6, 5, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 39, 22, 2, 72, 48, 32, 36, 31, 52, 76, 45, 68, 25, 51, 77, 16, 1, 13, 65, 49, 35, 64, 46, 12, 59
10, 61, 3, 33, 67, 27, 66, 14, 71, 40, 73, 63, 43, 5, 58, 42, 11, 29, 47, 28, 4, 74, 7, 44, 37, 41, 8, 24, 21, 50, 75, 70, 78, 55, 17, 38, 34, 20, 62, 6, 26, 53, 9, 18, 30, 60, 56, 23, 19, 69, 57, 54, 79, 15, 39, 22, 2, 72, 48, 32, 36, 31, 52, 76, 45, 68, 25, 51, 77, 16, 1, 13, 65, 49, 35, 64, 46, 12, 59
