30, 70, 27, 10, 72, 64, 59, 4, 33, 13, 75, 71, 11, 2, 9, 15, 77, 29, 38, 47, 80, 65, 21, 28, 56, 79, 32, 54, 86, 62, 34, 23, 57, 35, 43, 17, 69, 81, 58, 37, 53, 20, 84, 24, 85, 49, 42, 25, 7, 41, 26, 63, 36, 82, 18, 31, 52, 55, 73, 78, 16, 83, 39, 19, 12, 74, 14, 22, 87, 66, 67, 8, 1, 61, 45, 51, 5, 3, 48, 44, 6, 60, 50, 46, 68, 76, 40
7, 25, 40, 76, 68, 84, 24, 85, 33, 4, 59, 64, 72, 55, 73, 78, 16, 83, 26, 35, 57, 23, 34, 46, 62, 39, 19, 58, 13, 87, 52, 22, 41, 6, 60, 65, 21, 28, 56, 79, 32, 54, 3, 5, 51, 45, 9, 2, 71, 75, 53, 20, 42, 49, 66, 67, 8, 1, 61, 36, 50, 30, 63, 11, 82, 43, 18, 77, 17, 69, 81, 70, 27, 15, 10, 44, 48, 86, 14, 74, 37, 12, 80, 47, 38, 29, 31
13, 33, 4, 59, 64, 72, 55, 73, 78, 16, 83, 26, 35, 58, 19, 39, 62, 24, 84, 68, 76, 40, 25, 7, 85, 87, 52, 22, 41, 56, 28, 21, 65, 60, 6, 57, 23, 34, 46, 9, 2, 71, 75, 53, 20, 42, 49, 66, 67, 8, 1, 61, 36, 50, 30, 63, 79, 32, 54, 44, 10, 51, 45, 11, 82, 43, 18, 77, 17, 69, 81, 70, 27, 15, 5, 3, 48, 86, 14, 74, 37, 12, 80, 47, 38, 29, 31
12, 19, 39, 62, 86, 54, 32, 79, 56, 28, 21, 65, 80, 47, 38, 29, 77, 70, 27, 10, 72, 64, 59, 4, 33, 13, 75, 71, 2, 11, 9, 15, 30, 34, 23, 57, 35, 43, 17, 69, 81, 58, 37, 53, 20, 7, 25, 42, 49, 85, 24, 84, 41, 26, 63, 36, 82, 18, 31, 52, 55, 73, 78, 16, 83, 74, 14, 22, 87, 66, 67, 8, 1, 61, 45, 51, 5, 3, 48, 44, 6, 60, 50, 46, 68, 76, 40
14, 52, 64, 59, 4, 33, 13, 58, 19, 39, 62, 35, 63, 30, 57, 23, 34, 65, 21, 55, 73, 78, 16, 83, 26, 77, 15, 9, 45, 51, 50, 60, 6, 41, 22, 46, 2, 71, 29, 31, 27, 10, 38, 47, 80, 12, 37, 74, 68, 84, 24, 5, 3, 48, 44, 43, 25, 7, 85, 17, 69, 81, 70, 54, 32, 79, 56, 28, 76, 40, 87, 75, 53, 20, 42, 49, 66, 67, 11, 82, 18, 86, 8, 1, 61, 36, 72
46, 8, 67, 31, 77, 26, 48, 58, 73, 25, 7, 85, 43, 1, 14, 20, 2, 45, 15, 32, 75, 53, 54, 23, 30, 55, 57, 61, 65, 21, 17, 12, 37, 87, 60, 18, 3, 5, 51, 42, 50, 38, 36, 72, 64, 10, 82, 66, 71, 28, 4, 47, 80, 29, 33, 13, 79, 44, 22, 63, 68, 84, 24, 62, 39, 19, 49, 76, 40, 86, 11, 78, 35, 83, 16, 41, 6, 69, 81, 56, 34, 70, 27, 59, 74, 52, 9
5, 35, 43, 2, 29, 77, 37, 64, 59, 27, 65, 21, 28, 48, 1, 8, 15, 9, 6, 79, 72, 18, 31, 20, 58, 41, 13, 33, 4, 3, 71, 55, 54, 68, 84, 24, 61, 36, 67, 81, 70, 46, 52, 86, 73, 45, 32, 62, 50, 85, 39, 63, 11, 82, 34, 75, 30, 23, 80, 47, 38, 57, 22, 14, 74, 19, 87, 76, 40, 25, 51, 78, 16, 83, 26, 60, 49, 66, 42, 56, 12, 69, 17, 44, 10, 7, 53
45, 43, 35, 68, 84, 57, 49, 30, 70, 83, 23, 15, 9, 29, 38, 69, 17, 16, 78, 46, 19, 39, 79, 24, 87, 7, 32, 74, 37, 12, 56, 75, 53, 86, 67, 77, 40, 76, 31, 58, 4, 33, 11, 82, 34, 2, 73, 42, 85, 66, 13, 54, 55, 71, 52, 41, 63, 22, 14, 59, 64, 72, 18, 62, 36, 61, 65, 8, 1, 48, 27, 3, 5, 51, 81, 10, 44, 21, 28, 6, 60, 50, 25, 26, 20, 80, 47
45, 3, 42, 50, 38, 36, 72, 64, 10, 18, 60, 87, 37, 12, 17, 21, 65, 61, 57, 55, 30, 23, 54, 53, 75, 32, 15, 5, 2, 20, 14, 1, 43, 85, 7, 25, 73, 58, 48, 26, 77, 31, 67, 8, 46, 51, 82, 66, 71, 28, 4, 47, 80, 29, 33, 13, 79, 44, 22, 63, 68, 84, 24, 62, 39, 19, 49, 76, 40, 86, 11, 78, 35, 83, 16, 41, 6, 69, 81, 56, 34, 70, 27, 59, 74, 52, 9
30, 63, 35, 62, 39, 19, 58, 13, 33, 4, 59, 64, 52, 14, 57, 23, 34, 65, 21, 9, 15, 77, 26, 83, 16, 78, 73, 55, 45, 51, 50, 60, 6, 41, 22, 46, 2, 71, 29, 31, 27, 24, 84, 68, 74, 37, 12, 80, 47, 38, 10, 5, 3, 48, 44, 43, 25, 7, 85, 17, 69, 81, 70, 54, 32, 79, 56, 28, 76, 40, 87, 75, 53, 20, 42, 49, 66, 67, 11, 82, 18, 86, 8, 1, 61, 36, 72
