45, 65, 39, 4, 52, 37, 8, 58, 12, 23, 7, 70, 26, 66, 10, 6, 38, 51, 20, 64, 56, 60, 27, 2, 61, 62, 34, 48, 55, 67, 30, 44, 11, 13, 33, 17, 28, 49, 59, 21, 3, 54, 29, 46, 50, 47, 35, 25, 40, 53, 1, 63, 5, 42, 57, 36, 18, 68, 15, 9, 24, 43, 14, 16, 69, 32, 41, 22, 31, 19
52, 36, 68, 21, 70, 50, 69, 39, 55, 48, 54, 67, 22, 6, 28, 41, 47, 38, 45, 65, 57, 5, 11, 23, 12, 40, 46, 61, 29, 26, 13, 59, 44, 58, 35, 56, 64, 20, 7, 51, 66, 25, 32, 60, 15, 1, 63, 43, 24, 9, 2, 4, 37, 8, 17, 34, 62, 42, 3, 49, 10, 19, 31, 27, 53, 18, 14, 30, 16, 33
22, 6, 39, 69, 50, 70, 21, 68, 36, 52, 58, 44, 60, 32, 38, 45, 65, 57, 20, 64, 56, 35, 67, 54, 48, 55, 24, 9, 2, 4, 43, 63, 1, 15, 23, 47, 41, 12, 40, 46, 61, 28, 59, 13, 26, 29, 11, 5, 7, 51, 66, 25, 37, 8, 17, 34, 62, 42, 3, 49, 10, 19, 31, 27, 53, 18, 14, 30, 16, 33
25, 66, 30, 44, 35, 47, 26, 70, 7, 62, 28, 49, 57, 6, 10, 23, 12, 58, 8, 37, 52, 29, 54, 39, 4, 40, 53, 5, 38, 21, 59, 51, 34, 48, 55, 67, 18, 45, 68, 15, 1, 63, 42, 3, 36, 65, 46, 50, 20, 64, 56, 60, 27, 2, 61, 17, 33, 13, 11, 9, 24, 43, 14, 16, 69, 32, 41, 22, 31, 19
23, 7, 70, 26, 66, 10, 6, 38, 51, 20, 52, 4, 39, 17, 28, 49, 59, 21, 3, 54, 29, 46, 50, 11, 13, 33, 65, 45, 47, 35, 25, 40, 53, 64, 56, 60, 27, 2, 61, 62, 34, 48, 55, 67, 30, 44, 12, 58, 8, 37, 1, 63, 5, 42, 57, 36, 18, 68, 15, 9, 24, 43, 14, 16, 69, 32, 41, 22, 31, 19
20, 51, 53, 18, 69, 23, 12, 40, 46, 65, 45, 59, 28, 41, 47, 34, 62, 2, 4, 27, 68, 21, 38, 6, 22, 67, 30, 31, 43, 63, 9, 49, 3, 50, 36, 33, 25, 66, 13, 26, 29, 11, 5, 7, 55, 48, 54, 57, 42, 16, 70, 35, 24, 61, 17, 8, 37, 52, 64, 56, 14, 10, 19, 1, 15, 60, 32, 39, 44, 58
41, 47, 69, 18, 53, 51, 20, 68, 21, 38, 6, 22, 67, 30, 56, 64, 52, 37, 8, 17, 61, 24, 9, 54, 57, 42, 16, 49, 3, 50, 70, 14, 10, 19, 7, 5, 11, 29, 26, 13, 66, 28, 59, 45, 65, 46, 40, 12, 23, 58, 44, 39, 32, 60, 15, 1, 63, 43, 31, 27, 4, 2, 62, 34, 55, 48, 25, 33, 36, 35
46, 65, 45, 59, 28, 63, 43, 31, 27, 4, 2, 62, 41, 47, 61, 17, 8, 37, 52, 64, 56, 14, 10, 19, 7, 5, 3, 50, 36, 49, 33, 25, 66, 34, 18, 53, 51, 20, 68, 21, 70, 35, 11, 29, 26, 13, 40, 12, 23, 69, 55, 48, 54, 57, 42, 16, 38, 24, 9, 30, 67, 22, 6, 1, 15, 60, 32, 39, 44, 58
39, 55, 48, 54, 67, 22, 6, 28, 41, 47, 5, 57, 65, 45, 38, 11, 35, 56, 64, 46, 61, 24, 9, 2, 4, 43, 63, 1, 15, 23, 58, 44, 60, 32, 25, 66, 51, 7, 20, 69, 50, 70, 21, 68, 36, 52, 40, 12, 59, 13, 26, 29, 37, 8, 17, 34, 62, 42, 3, 49, 10, 19, 31, 27, 53, 18, 14, 30, 16, 33
29, 26, 13, 66, 46, 65, 45, 59, 28, 41, 47, 61, 25, 33, 49, 36, 50, 3, 5, 7, 19, 10, 14, 56, 64, 52, 37, 8, 17, 11, 35, 70, 21, 68, 20, 51, 53, 18, 34, 62, 2, 4, 27, 31, 43, 63, 40, 12, 23, 69, 55, 48, 54, 57, 42, 16, 38, 6, 22, 67, 30, 9, 24, 1, 15, 60, 32, 39, 44, 58
35, 56, 64, 20, 57, 65, 45, 38, 32, 60, 44, 58, 23, 15, 1, 63, 43, 24, 9, 4, 2, 6, 22, 67, 54, 48, 55, 39, 69, 50, 70, 21, 68, 36, 52, 47, 41, 12, 40, 46, 61, 28, 59, 13, 26, 29, 11, 25, 66, 51, 7, 5, 37, 8, 17, 34, 62, 42, 3, 49, 10, 19, 31, 27, 53, 18, 14, 30, 16, 33
46, 65, 45, 59, 28, 41, 47, 69, 18, 53, 51, 20, 68, 21, 38, 6, 22, 67, 30, 56, 64, 52, 37, 8, 17, 61, 24, 9, 54, 57, 42, 16, 49, 3, 50, 70, 14, 10, 19, 7, 5, 11, 29, 26, 13, 66, 40, 12, 23, 58, 44, 39, 32, 60, 15, 1, 63, 43, 31, 27, 4, 2, 62, 34, 55, 48, 25, 33, 36, 35
2, 17, 41, 70, 30, 28, 59, 39, 48, 21, 57, 23, 10, 26, 8, 33, 43, 54, 44, 16, 69, 32, 60, 52, 7, 5, 29, 45, 25, 66, 13, 11, 50, 35, 6, 22, 67, 68, 15, 1, 63, 4, 27, 3, 40, 53, 62, 34, 55, 9, 65, 42, 14, 49, 47, 51, 38, 36, 18, 46, 56, 64, 20, 37, 61, 24, 58, 12, 31, 19
36, 57, 13, 66, 58, 29, 5, 7, 52, 3, 42, 26, 10, 23, 12, 46, 39, 59, 43, 33, 17, 54, 48, 21, 70, 41, 45, 65, 30, 11, 50, 9, 55, 34, 62, 53, 18, 25, 27, 2, 4, 63, 1, 15, 68, 67, 22, 6, 38, 51, 20, 64, 56, 40, 8, 28, 14, 49, 24, 61, 37, 47, 35, 44, 60, 32, 69, 16, 31, 19
41, 29, 17, 54, 6, 12, 52, 49, 3, 42, 57, 36, 23, 15, 1, 63, 43, 33, 25, 66, 13, 11, 48, 10, 26, 8, 37, 19, 7, 5, 59, 28, 47, 61, 27, 2, 18, 46, 65, 4, 14, 40, 53, 62, 56, 64, 20, 51, 21, 70, 58, 38, 24, 9, 30, 67, 22, 39, 55, 34, 35, 44, 50, 68, 31, 45, 16, 69, 32, 60
7, 5, 11, 29, 26, 13, 66, 19, 10, 14, 3, 50, 70, 49, 16, 42, 57, 54, 9, 24, 61, 17, 8, 37, 52, 64, 56, 30, 67, 22, 6, 38, 21, 68, 20, 51, 53, 18, 69, 47, 41, 28, 59, 45, 65, 46, 40, 12, 23, 58, 44, 39, 32, 60, 15, 1, 63, 43, 31, 27, 4, 2, 62, 34, 55, 48, 25, 33, 36, 35
