29, 31, 27, 4, 63, 1, 15, 60, 32, 12, 23, 40, 2, 36, 18, 55, 16, 34, 62, 53, 51, 67, 22, 39, 58, 68, 21, 38, 6, 43, 50, 52, 37, 8, 17, 61, 24, 9, 26, 20, 64, 56, 19, 7, 5, 14, 10, 33, 25, 66, 13, 3, 42, 57, 30, 48, 54, 49, 44, 35, 47, 41, 46, 65, 45, 59, 28, 11
2, 36, 40, 23, 12, 32, 60, 15, 1, 63, 57, 13, 58, 68, 21, 42, 3, 37, 8, 10, 33, 29, 31, 16, 66, 27, 4, 39, 38, 14, 5, 26, 9, 24, 61, 17, 18, 55, 6, 22, 67, 51, 53, 62, 34, 30, 43, 50, 52, 20, 64, 56, 19, 7, 25, 48, 54, 49, 44, 35, 47, 41, 46, 65, 45, 59, 28, 11
30, 67, 22, 29, 61, 24, 31, 68, 21, 38, 6, 54, 48, 55, 52, 50, 11, 53, 40, 36, 18, 58, 44, 35, 47, 41, 17, 25, 66, 13, 9, 7, 19, 49, 57, 42, 3, 16, 5, 33, 26, 10, 14, 56, 64, 2, 27, 4, 39, 59, 28, 37, 8, 51, 20, 34, 62, 46, 65, 45, 12, 23, 43, 63, 1, 15, 60, 32
22, 67, 30, 16, 50, 52, 37, 62, 34, 55, 48, 54, 64, 17, 47, 41, 28, 59, 45, 65, 46, 8, 6, 38, 21, 68, 49, 3, 42, 57, 61, 24, 9, 2, 4, 43, 63, 1, 15, 60, 32, 39, 44, 58, 23, 12, 40, 35, 36, 33, 25, 66, 13, 26, 29, 11, 5, 7, 19, 10, 14, 56, 31, 27, 20, 51, 53, 18
37, 57, 42, 21, 68, 58, 13, 17, 61, 24, 9, 10, 33, 29, 31, 16, 66, 27, 4, 39, 38, 14, 5, 55, 18, 36, 2, 40, 23, 12, 32, 60, 15, 1, 63, 3, 26, 8, 6, 22, 67, 51, 53, 62, 34, 30, 43, 50, 52, 20, 64, 56, 19, 7, 25, 48, 54, 49, 44, 35, 47, 41, 46, 65, 45, 59, 28, 11
29, 11, 5, 7, 60, 15, 1, 63, 43, 4, 2, 68, 21, 38, 6, 22, 67, 30, 9, 24, 61, 27, 31, 62, 34, 55, 48, 54, 57, 26, 13, 66, 19, 10, 14, 56, 64, 32, 39, 44, 58, 23, 12, 40, 46, 65, 45, 59, 28, 41, 47, 35, 36, 18, 53, 51, 20, 42, 16, 49, 3, 50, 52, 37, 8, 17, 25, 33
34, 10, 43, 63, 1, 15, 60, 32, 33, 25, 66, 51, 20, 64, 56, 14, 55, 48, 54, 57, 42, 3, 49, 68, 21, 4, 2, 9, 24, 61, 17, 8, 37, 52, 62, 31, 27, 53, 18, 36, 35, 47, 41, 28, 59, 5, 11, 29, 26, 13, 7, 19, 50, 16, 30, 67, 22, 6, 38, 45, 65, 46, 40, 12, 23, 58, 44, 39
30, 67, 22, 29, 61, 24, 31, 68, 21, 38, 6, 54, 48, 55, 52, 50, 11, 13, 66, 25, 17, 41, 47, 35, 44, 58, 18, 36, 40, 53, 9, 7, 19, 49, 3, 42, 57, 8, 37, 28, 59, 39, 4, 2, 27, 64, 56, 14, 10, 26, 33, 5, 16, 51, 20, 34, 62, 46, 65, 45, 12, 23, 43, 63, 1, 15, 60, 32
25, 17, 41, 47, 35, 44, 58, 27, 61, 24, 31, 68, 21, 38, 6, 54, 48, 55, 52, 50, 11, 53, 40, 36, 18, 66, 13, 4, 39, 2, 59, 28, 37, 8, 64, 56, 14, 10, 26, 33, 5, 7, 19, 49, 57, 42, 3, 16, 9, 30, 67, 22, 29, 51, 20, 34, 62, 46, 65, 45, 12, 23, 43, 63, 1, 15, 60, 32
30, 67, 22, 29, 61, 24, 31, 68, 21, 38, 6, 54, 48, 55, 52, 50, 11, 13, 66, 25, 17, 41, 47, 35, 44, 58, 18, 36, 40, 53, 9, 16, 57, 42, 3, 49, 19, 7, 5, 33, 26, 10, 14, 56, 64, 2, 27, 4, 39, 59, 28, 37, 8, 51, 20, 34, 62, 46, 65, 45, 12, 23, 43, 63, 1, 15, 60, 32
