26, 35, 24, 29, 2, 33, 4, 23, 27, 25, 18, 36, 34, 21, 12, 16, 7, 9, 10, 1, 32, 28, 6, 13, 22, 30, 8, 14, 17, 20, 15, 5, 19, 11, 3, 31
26, 9, 5, 33, 6, 31, 14, 22, 7, 12, 8, 36, 34, 24, 1, 32, 30, 28, 35, 15, 27, 2, 10, 19, 21, 4, 18, 23, 16, 20, 25, 13, 17, 11, 3, 29
18, 11, 31, 7, 32, 34, 36, 33, 6, 24, 15, 25, 29, 22, 35, 28, 8, 2, 26, 30, 17, 4, 10, 27, 12, 21, 19, 23, 20, 13, 16, 14, 1, 9, 3, 5
15, 25, 24, 6, 4, 29, 7, 19, 10, 28, 35, 30, 18, 32, 12, 8, 21, 2, 20, 23, 11, 14, 27, 17, 22, 31, 33, 36, 34, 13, 26, 9, 1, 16, 3, 5
15, 17, 33, 31, 23, 20, 24, 8, 27, 19, 34, 36, 13, 25, 6, 14, 28, 35, 21, 29, 22, 4, 1, 32, 2, 18, 26, 30, 9, 7, 11, 10, 12, 16, 3, 5
10, 18, 7, 29, 4, 32, 12, 24, 25, 15, 19, 30, 35, 28, 6, 8, 2, 21, 20, 23, 11, 14, 27, 17, 22, 31, 33, 36, 34, 13, 26, 9, 1, 16, 3, 5
10, 28, 35, 30, 18, 32, 12, 24, 25, 15, 19, 7, 29, 4, 6, 8, 21, 2, 20, 23, 11, 14, 27, 17, 22, 31, 33, 36, 34, 13, 26, 9, 1, 16, 3, 5
11, 19, 21, 30, 26, 6, 24, 17, 1, 32, 27, 29, 25, 8, 16, 4, 18, 2, 12, 33, 36, 34, 13, 14, 9, 7, 10, 23, 15, 22, 35, 28, 31, 20, 3, 5
19, 34, 36, 13, 25, 6, 27, 8, 24, 20, 23, 31, 33, 17, 15, 14, 28, 35, 21, 29, 22, 4, 1, 32, 2, 18, 26, 30, 9, 7, 11, 10, 12, 16, 3, 5
26, 9, 5, 33, 6, 31, 14, 22, 7, 12, 8, 36, 34, 24, 1, 32, 10, 19, 21, 15, 2, 27, 30, 28, 35, 4, 18, 23, 16, 20, 25, 13, 17, 11, 3, 29
26, 9, 5, 33, 6, 31, 14, 22, 7, 12, 8, 36, 34, 24, 1, 32, 30, 28, 35, 15, 2, 27, 10, 19, 21, 4, 18, 23, 16, 20, 25, 13, 17, 11, 3, 29
14, 23, 29, 22, 15, 31, 11, 13, 4, 26, 30, 24, 25, 20, 27, 6, 28, 35, 18, 7, 16, 32, 34, 36, 33, 9, 2, 21, 12, 19, 10, 17, 1, 8, 3, 5
23, 27, 25, 18, 36, 34, 21, 12, 16, 8, 14, 17, 20, 7, 30, 22, 13, 6, 28, 32, 1, 10, 9, 4, 33, 2, 29, 24, 35, 26, 15, 5, 19, 11, 3, 31
8, 17, 22, 31, 33, 36, 34, 13, 15, 12, 32, 7, 18, 25, 24, 23, 2, 21, 20, 35, 30, 14, 27, 28, 11, 19, 10, 29, 4, 6, 26, 9, 1, 16, 3, 5
11, 19, 21, 30, 26, 27, 32, 1, 17, 24, 6, 29, 25, 8, 16, 4, 18, 10, 7, 9, 14, 13, 34, 36, 33, 12, 2, 23, 15, 22, 35, 28, 31, 20, 3, 5
16, 12, 21, 35, 28, 30, 25, 14, 17, 4, 2, 27, 23, 18, 26, 9, 13, 11, 32, 1, 24, 19, 3, 31, 20, 15, 29, 10, 34, 33, 6, 8, 36, 5, 22, 7
10, 16, 12, 14, 22, 30, 20, 15, 21, 7, 1, 32, 19, 17, 5, 8, 9, 28, 26, 35, 11, 4, 33, 2, 29, 24, 6, 13, 36, 34, 25, 18, 27, 23, 3, 31
20, 15, 7, 9, 28, 35, 21, 4, 14, 19, 34, 36, 13, 30, 8, 29, 25, 6, 27, 24, 33, 31, 23, 17, 1, 32, 2, 18, 26, 22, 11, 10, 12, 16, 3, 5
