2, 17, 22, 1, 38, 8, 11, 36, 30, 33, 28, 16, 14, 18, 34, 25, 24, 6, 9, 31, 23, 32, 4, 13, 39, 10, 12, 37, 15, 29, 27, 3, 19, 26, 21, 35, 20, 7, 5
8, 31, 32, 28, 16, 14, 4, 13, 38, 1, 17, 22, 12, 11, 36, 30, 10, 39, 24, 25, 34, 18, 27, 29, 15, 37, 9, 23, 33, 6, 2, 3, 19, 26, 21, 35, 20, 7, 5
17, 22, 2, 1, 38, 8, 24, 25, 34, 18, 14, 16, 28, 33, 30, 36, 11, 6, 9, 31, 23, 32, 4, 13, 39, 10, 12, 37, 15, 29, 27, 3, 19, 26, 21, 35, 20, 7, 5
31, 3, 38, 1, 2, 17, 6, 9, 27, 29, 15, 37, 12, 33, 28, 23, 32, 4, 16, 14, 22, 18, 34, 25, 24, 39, 10, 30, 36, 11, 13, 8, 19, 26, 21, 35, 20, 7, 5
28, 16, 14, 4, 32, 31, 8, 38, 1, 17, 22, 12, 13, 11, 36, 30, 10, 39, 24, 25, 34, 18, 27, 29, 15, 37, 9, 23, 33, 2, 6, 3, 19, 26, 5, 7, 20, 35, 21
8, 31, 32, 28, 16, 14, 4, 13, 38, 1, 17, 22, 12, 11, 36, 30, 10, 39, 24, 25, 34, 18, 27, 29, 15, 37, 9, 23, 33, 6, 2, 3, 19, 26, 5, 7, 20, 35, 21
26, 33, 34, 1, 21, 35, 6, 17, 2, 38, 22, 18, 24, 28, 23, 9, 37, 5, 11, 19, 15, 29, 14, 25, 16, 30, 32, 4, 39, 10, 8, 31, 27, 36, 3, 20, 7, 13, 12
5, 25, 16, 30, 11, 37, 9, 23, 28, 24, 18, 19, 12, 27, 36, 8, 31, 3, 22, 38, 2, 17, 6, 10, 39, 4, 32, 26, 33, 34, 1, 21, 35, 20, 7, 13, 15, 29, 14
30, 16, 32, 26, 33, 34, 5, 12, 27, 1, 38, 17, 15, 4, 22, 29, 39, 8, 23, 9, 37, 3, 31, 19, 2, 6, 10, 18, 24, 28, 35, 20, 7, 25, 14, 21, 36, 11, 13
17, 2, 22, 1, 38, 8, 24, 25, 34, 18, 14, 16, 28, 33, 30, 36, 11, 6, 9, 31, 23, 32, 4, 13, 39, 10, 12, 37, 15, 29, 27, 3, 19, 26, 5, 7, 20, 35, 21
35, 21, 1, 34, 4, 32, 26, 33, 22, 18, 24, 28, 27, 36, 29, 14, 25, 39, 10, 6, 17, 2, 38, 3, 30, 16, 31, 23, 9, 37, 8, 15, 19, 11, 5, 20, 7, 13, 12
8, 31, 32, 28, 16, 14, 4, 13, 38, 1, 17, 22, 12, 11, 36, 30, 10, 39, 24, 25, 34, 18, 27, 29, 15, 37, 9, 23, 33, 2, 6, 3, 19, 26, 5, 7, 20, 35, 21
5, 11, 19, 15, 8, 37, 9, 23, 31, 16, 30, 3, 38, 2, 17, 6, 10, 39, 25, 14, 29, 36, 27, 28, 24, 18, 22, 4, 32, 26, 33, 34, 1, 21, 35, 20, 7, 13, 12
35, 21, 1, 34, 33, 26, 32, 4, 22, 18, 24, 28, 27, 36, 29, 14, 25, 39, 10, 6, 17, 2, 38, 3, 30, 16, 31, 23, 9, 37, 5, 11, 19, 15, 8, 20, 7, 13, 12
9, 27, 29, 15, 37, 12, 33, 28, 16, 6, 17, 2, 1, 38, 3, 31, 14, 22, 18, 34, 25, 24, 39, 10, 30, 36, 11, 13, 4, 32, 23, 8, 19, 26, 21, 35, 20, 7, 5
17, 2, 22, 1, 38, 8, 24, 25, 34, 18, 14, 16, 28, 33, 30, 36, 11, 6, 9, 31, 23, 32, 4, 13, 39, 10, 12, 37, 15, 29, 27, 3, 19, 26, 21, 35, 20, 7, 5
8, 31, 32, 4, 14, 16, 28, 13, 38, 1, 17, 22, 12, 11, 36, 30, 10, 39, 24, 25, 34, 18, 27, 29, 15, 37, 9, 23, 33, 6, 2, 3, 19, 26, 5, 7, 20, 35, 21
30, 16, 28, 24, 18, 10, 6, 2, 19, 31, 3, 37, 9, 23, 8, 39, 29, 22, 4, 15, 17, 38, 1, 27, 12, 32, 26, 33, 34, 5, 35, 20, 7, 25, 14, 21, 36, 11, 13
17, 22, 2, 1, 38, 8, 24, 25, 34, 18, 14, 16, 28, 33, 30, 36, 11, 6, 9, 31, 23, 32, 4, 13, 39, 10, 12, 37, 15, 29, 27, 3, 19, 26, 5, 7, 20, 35, 21
4, 14, 16, 28, 32, 23, 9, 37, 15, 29, 27, 18, 34, 25, 24, 39, 10, 30, 36, 11, 13, 12, 22, 17, 1, 38, 8, 31, 33, 2, 6, 3, 19, 26, 5, 7, 20, 35, 21
17, 22, 1, 38, 3, 31, 24, 25, 34, 18, 14, 16, 28, 33, 30, 36, 11, 2, 13, 4, 32, 23, 9, 6, 39, 10, 12, 37, 15, 29, 27, 8, 19, 26, 21, 35, 20, 7, 5
