8, 47, 13, 48, 6, 38, 3, 2, 39, 22, 14, 31, 37, 4, 32, 33, 15, 25, 7, 9, 1, 42, 24, 16, 44, 27, 28, 49, 41, 10, 29, 43, 11, 45, 21, 35, 17, 40, 23, 51, 18, 36, 5, 50, 34, 20, 26, 12, 19, 30, 46
2, 3, 38, 39, 8, 47, 13, 48, 6, 22, 14, 31, 37, 4, 32, 33, 15, 25, 7, 9, 1, 42, 24, 16, 44, 27, 28, 49, 41, 10, 29, 43, 11, 45, 21, 35, 17, 40, 23, 51, 18, 36, 5, 50, 34, 20, 26, 12, 19, 30, 46
14, 22, 39, 8, 47, 13, 48, 51, 43, 29, 10, 41, 49, 28, 50, 5, 46, 30, 19, 12, 26, 20, 34, 9, 7, 25, 11, 45, 27, 44, 16, 24, 42, 1, 31, 37, 4, 32, 33, 15, 6, 3, 2, 38, 23, 21, 35, 17, 40, 18, 36
25, 47, 36, 28, 49, 48, 13, 39, 24, 6, 14, 8, 18, 11, 22, 27, 45, 26, 15, 19, 30, 46, 38, 2, 3, 23, 20, 10, 17, 9, 7, 31, 29, 40, 4, 32, 44, 12, 16, 43, 34, 33, 21, 35, 51, 1, 42, 37, 50, 41, 5
8, 46, 30, 33, 15, 29, 13, 2, 14, 31, 25, 23, 28, 48, 11, 47, 44, 19, 34, 7, 9, 45, 12, 37, 27, 20, 26, 4, 49, 41, 24, 39, 16, 6, 22, 51, 21, 10, 43, 35, 42, 1, 3, 38, 32, 50, 17, 40, 18, 36, 5
28, 23, 25, 31, 14, 8, 46, 30, 33, 37, 12, 45, 9, 7, 34, 19, 44, 47, 11, 48, 13, 15, 29, 3, 27, 20, 26, 4, 49, 41, 24, 39, 16, 6, 22, 51, 21, 10, 43, 35, 42, 1, 38, 2, 32, 50, 17, 40, 18, 36, 5
16, 44, 27, 28, 49, 41, 18, 40, 17, 35, 21, 45, 11, 43, 29, 10, 24, 42, 36, 5, 50, 34, 6, 3, 2, 38, 23, 51, 48, 13, 47, 8, 39, 22, 14, 31, 46, 30, 19, 12, 26, 20, 1, 9, 37, 4, 32, 33, 15, 25, 7
28, 49, 48, 13, 29, 31, 21, 33, 34, 40, 39, 24, 6, 14, 8, 18, 11, 22, 27, 45, 26, 15, 19, 30, 46, 2, 38, 3, 36, 47, 25, 23, 4, 32, 44, 12, 10, 20, 16, 43, 17, 9, 7, 35, 51, 1, 42, 37, 50, 41, 5
29, 32, 4, 14, 22, 6, 48, 13, 38, 44, 27, 40, 18, 36, 5, 37, 31, 45, 21, 35, 39, 42, 24, 20, 26, 51, 1, 9, 30, 10, 19, 34, 28, 49, 8, 47, 11, 43, 2, 3, 46, 50, 17, 23, 33, 15, 25, 12, 16, 41, 7
7, 9, 45, 12, 37, 4, 26, 34, 19, 44, 47, 11, 48, 28, 23, 25, 31, 14, 8, 46, 30, 33, 15, 29, 3, 13, 20, 27, 49, 41, 24, 39, 16, 6, 22, 51, 21, 10, 43, 35, 42, 1, 38, 2, 32, 50, 5, 36, 18, 40, 17
3, 38, 2, 46, 30, 19, 15, 26, 45, 27, 22, 11, 18, 8, 14, 6, 24, 39, 12, 44, 32, 4, 23, 25, 47, 36, 28, 49, 48, 13, 40, 29, 31, 7, 9, 17, 10, 20, 16, 43, 34, 33, 21, 35, 51, 1, 42, 37, 50, 41, 5
24, 6, 14, 8, 18, 11, 22, 27, 45, 26, 15, 19, 30, 46, 38, 3, 2, 23, 20, 10, 17, 12, 44, 32, 39, 13, 48, 49, 28, 36, 47, 25, 4, 40, 29, 31, 7, 9, 16, 43, 34, 33, 21, 35, 51, 1, 42, 37, 50, 41, 5
10, 50, 5, 36, 13, 48, 34, 11, 43, 35, 37, 39, 19, 8, 45, 2, 3, 51, 4, 32, 44, 6, 22, 30, 46, 38, 23, 49, 41, 24, 33, 15, 27, 29, 14, 42, 1, 9, 47, 16, 17, 40, 18, 28, 12, 7, 21, 20, 26, 31, 25
