25, 36, 38, 6, 23, 40, 28, 41, 5, 24, 32, 7, 11, 13, 22, 46, 44, 14, 47, 30, 1, 45, 19, 34, 8, 16, 18, 26, 4, 10, 17, 3, 35, 37, 2, 31, 43, 48, 27, 42, 15, 33, 12, 29, 20, 21, 39, 9
3, 17, 14, 37, 44, 46, 24, 6, 38, 16, 22, 26, 43, 31, 5, 28, 29, 47, 30, 42, 13, 11, 7, 4, 48, 40, 35, 33, 36, 2, 8, 19, 41, 12, 32, 34, 15, 1, 45, 10, 23, 18, 27, 25, 20, 21, 39, 9
11, 13, 42, 30, 47, 29, 28, 5, 14, 32, 12, 7, 41, 19, 31, 43, 26, 22, 16, 38, 6, 24, 46, 44, 37, 36, 17, 3, 34, 4, 48, 40, 35, 33, 8, 2, 15, 1, 45, 10, 23, 18, 27, 25, 20, 21, 39, 9
11, 1, 45, 3, 17, 34, 31, 43, 25, 24, 5, 2, 16, 4, 35, 37, 48, 27, 42, 15, 36, 40, 18, 26, 23, 30, 47, 29, 38, 6, 19, 33, 32, 12, 7, 28, 13, 44, 46, 22, 14, 41, 8, 10, 20, 21, 39, 9
34, 2, 7, 11, 13, 22, 46, 44, 8, 19, 45, 1, 30, 47, 5, 24, 3, 36, 17, 10, 4, 35, 37, 48, 27, 42, 15, 32, 25, 33, 14, 26, 18, 16, 31, 43, 38, 12, 41, 28, 40, 23, 6, 29, 20, 21, 39, 9
16, 38, 6, 24, 46, 44, 37, 14, 17, 41, 12, 32, 48, 40, 22, 26, 35, 34, 47, 29, 4, 33, 36, 2, 3, 19, 43, 31, 5, 28, 8, 7, 11, 13, 42, 30, 15, 1, 45, 10, 23, 18, 27, 25, 20, 21, 39, 9
14, 17, 3, 37, 44, 46, 24, 6, 38, 16, 22, 26, 43, 31, 5, 28, 29, 47, 30, 42, 13, 11, 7, 35, 40, 48, 4, 33, 36, 8, 2, 19, 41, 12, 32, 34, 15, 1, 45, 10, 23, 18, 27, 25, 20, 21, 39, 9
4, 10, 33, 18, 35, 37, 48, 27, 42, 15, 36, 40, 47, 30, 1, 45, 3, 17, 19, 8, 44, 46, 22, 13, 11, 7, 2, 34, 31, 43, 16, 28, 41, 12, 32, 14, 26, 5, 24, 6, 38, 25, 23, 29, 20, 21, 39, 9
4, 35, 43, 31, 37, 24, 38, 6, 10, 15, 48, 32, 12, 41, 7, 5, 36, 25, 14, 11, 44, 46, 22, 26, 30, 47, 29, 33, 27, 42, 13, 8, 1, 45, 3, 17, 40, 28, 16, 18, 23, 19, 34, 2, 20, 21, 39, 9
38, 10, 45, 1, 30, 47, 29, 43, 31, 26, 34, 23, 8, 41, 14, 32, 33, 9, 44, 46, 22, 24, 21, 5, 20, 3, 48, 27, 42, 15, 36, 13, 17, 12, 11, 7, 18, 16, 6, 19, 2, 39, 37, 35, 28, 40, 25, 4
6, 38, 16, 13, 11, 22, 12, 33, 25, 23, 40, 47, 30, 1, 45, 19, 18, 8, 41, 24, 5, 28, 46, 44, 31, 34, 7, 2, 26, 14, 32, 43, 3, 17, 10, 4, 35, 37, 48, 27, 42, 15, 36, 29, 20, 21, 39, 9
34, 12, 33, 11, 7, 1, 45, 3, 17, 10, 36, 35, 4, 28, 5, 31, 43, 26, 22, 8, 32, 48, 40, 29, 47, 30, 42, 13, 14, 19, 41, 16, 38, 6, 2, 37, 44, 46, 24, 15, 23, 18, 27, 25, 20, 21, 39, 9
2, 7, 34, 31, 44, 46, 22, 11, 13, 16, 38, 6, 12, 33, 25, 23, 40, 47, 30, 1, 45, 19, 18, 5, 28, 26, 14, 32, 24, 41, 8, 43, 10, 17, 3, 4, 35, 37, 48, 27, 42, 15, 36, 29, 20, 21, 39, 9
6, 42, 15, 28, 34, 7, 10, 35, 4, 25, 37, 13, 48, 5, 43, 14, 26, 22, 46, 44, 32, 12, 33, 19, 24, 23, 38, 2, 27, 8, 41, 40, 16, 11, 3, 17, 31, 45, 1, 30, 47, 29, 36, 18, 20, 21, 39, 9
5, 24, 25, 43, 31, 34, 17, 3, 45, 1, 2, 11, 29, 47, 30, 23, 26, 18, 40, 36, 15, 42, 27, 48, 37, 35, 4, 16, 38, 6, 19, 33, 32, 12, 7, 28, 13, 44, 46, 22, 14, 41, 8, 10, 20, 21, 39, 9
