96, 43, 22, 27, 11, 47, 19, 74, 13, 15, 81, 6, 39, 7, 40, 4, 68, 18, 55, 44, 78, 21, 10, 69, 84, 51, 17, 77, 86, 1, 42, 94, 63, 35, 48, 62, 5, 76, 46, 89, 73, 83, 52, 56, 41, 67, 57, 82, 25, 16, 60, 20, 54, 3, 95, 93, 24, 65, 79, 71, 14, 61, 30, 2, 9, 29, 75, 36, 8, 85, 80, 90, 49, 12, 92, 91, 58, 34, 31, 87, 53, 72, 64, 66, 23, 88, 38, 37, 70, 50, 28, 59, 45, 26, 33, 32
96, 2, 9, 26, 22, 57, 93, 58, 67, 41, 45, 4, 13, 70, 37, 84, 14, 34, 59, 65, 66, 32, 24, 62, 52, 83, 5, 8, 10, 21, 72, 77, 90, 11, 81, 78, 44, 42, 55, 3, 54, 85, 36, 33, 49, 40, 87, 43, 27, 56, 25, 73, 47, 19, 74, 61, 17, 51, 23, 88, 31, 12, 50, 91, 53, 92, 79, 38, 6, 60, 39, 7, 82, 68, 18, 63, 75, 29, 1, 86, 30, 46, 76, 89, 20, 94, 69, 28, 16, 80, 35, 71, 15, 64, 48, 95
96, 69, 85, 54, 3, 55, 42, 44, 78, 81, 11, 90, 77, 72, 79, 92, 82, 68, 18, 63, 75, 8, 10, 59, 34, 14, 84, 36, 41, 5, 83, 52, 62, 24, 48, 23, 88, 31, 29, 1, 86, 30, 46, 76, 89, 20, 53, 91, 21, 80, 35, 71, 15, 64, 25, 57, 22, 26, 2, 9, 45, 4, 13, 70, 37, 33, 93, 50, 12, 94, 28, 16, 49, 40, 87, 43, 65, 66, 32, 27, 56, 58, 73, 47, 19, 74, 61, 17, 51, 67, 7, 39, 60, 6, 38, 95
96, 83, 52, 84, 51, 11, 7, 65, 56, 17, 57, 67, 41, 68, 9, 63, 18, 50, 79, 71, 70, 37, 49, 40, 88, 62, 34, 25, 82, 27, 43, 78, 44, 91, 58, 73, 15, 64, 2, 26, 22, 48, 31, 12, 90, 30, 87, 23, 93, 10, 74, 19, 38, 24, 36, 8, 85, 55, 29, 54, 3, 13, 4, 61, 81, 89, 46, 76, 6, 60, 69, 14, 20, 53, 72, 45, 47, 1, 42, 66, 32, 33, 92, 94, 5, 39, 77, 86, 75, 16, 80, 35, 21, 28, 59, 95
96, 26, 22, 37, 1, 42, 66, 32, 33, 92, 12, 90, 30, 93, 65, 56, 60, 69, 14, 20, 53, 72, 76, 47, 46, 89, 94, 2, 64, 49, 40, 87, 68, 9, 63, 18, 50, 79, 59, 28, 21, 35, 80, 16, 48, 31, 81, 75, 86, 77, 39, 7, 11, 51, 84, 52, 83, 5, 73, 58, 91, 44, 78, 43, 27, 82, 25, 34, 62, 24, 36, 8, 85, 55, 29, 54, 3, 45, 41, 67, 57, 17, 6, 38, 88, 23, 19, 74, 10, 71, 15, 61, 95, 70, 13, 4
96, 43, 22, 27, 11, 47, 19, 74, 13, 15, 81, 6, 39, 7, 40, 4, 68, 18, 55, 44, 78, 21, 10, 69, 84, 51, 17, 77, 86, 1, 42, 94, 63, 35, 48, 62, 5, 76, 46, 89, 73, 83, 52, 56, 41, 67, 57, 82, 25, 16, 60, 20, 54, 3, 95, 93, 24, 65, 79, 71, 14, 61, 30, 2, 32, 33, 26, 45, 59, 28, 50, 70, 37, 38, 88, 23, 66, 64, 72, 53, 87, 31, 34, 58, 91, 92, 12, 9, 29, 75, 36, 8, 85, 80, 90, 49
96, 41, 67, 57, 17, 6, 38, 88, 23, 19, 74, 10, 71, 15, 61, 4, 13, 70, 37, 1, 42, 66, 32, 33, 92, 12, 90, 30, 93, 65, 56, 60, 69, 14, 20, 53, 72, 76, 47, 46, 89, 94, 45, 3, 54, 29, 55, 85, 8, 36, 24, 62, 34, 25, 82, 27, 43, 78, 44, 91, 58, 73, 5, 83, 52, 84, 51, 11, 7, 39, 77, 86, 75, 22, 26, 2, 64, 49, 40, 87, 68, 9, 63, 18, 50, 79, 59, 28, 21, 35, 80, 16, 48, 31, 81, 95
96, 43, 22, 27, 11, 47, 19, 74, 13, 15, 81, 6, 39, 7, 75, 36, 8, 85, 80, 90, 49, 57, 67, 41, 56, 52, 83, 73, 89, 46, 76, 5, 62, 48, 35, 63, 94, 42, 1, 86, 77, 17, 51, 84, 69, 10, 21, 78, 44, 55, 18, 68, 4, 40, 29, 9, 12, 92, 91, 58, 34, 31, 87, 53, 72, 64, 66, 23, 88, 38, 37, 70, 50, 28, 59, 45, 26, 33, 32, 2, 30, 61, 14, 71, 79, 65, 24, 93, 95, 3, 54, 20, 60, 16, 25, 82
96, 94, 11, 90, 12, 30, 44, 78, 43, 27, 48, 70, 92, 5, 83, 52, 84, 51, 73, 58, 91, 82, 7, 39, 77, 86, 1, 42, 24, 19, 47, 45, 2, 64, 26, 32, 17, 66, 15, 25, 95, 93, 20, 53, 72, 8, 85, 55, 3, 54, 29, 75, 22, 36, 46, 76, 34, 65, 23, 88, 38, 6, 50, 79, 59, 28, 21, 35, 80, 16, 13, 4, 61, 81, 89, 14, 62, 33, 69, 60, 74, 10, 71, 37, 49, 40, 87, 31, 68, 41, 67, 57, 18, 63, 9, 56
96, 79, 38, 85, 54, 3, 55, 42, 44, 78, 81, 11, 90, 77, 35, 71, 15, 64, 25, 57, 22, 26, 2, 9, 45, 50, 12, 94, 41, 5, 83, 52, 62, 24, 69, 28, 16, 49, 40, 87, 43, 65, 66, 32, 27, 56, 58, 73, 47, 19, 74, 61, 17, 51, 4, 13, 70, 37, 33, 93, 67, 7, 39, 60, 6, 80, 21, 72, 91, 53, 20, 89, 76, 46, 30, 86, 1, 29, 31, 88, 92, 82, 68, 18, 59, 34, 14, 84, 36, 23, 48, 10, 8, 75, 63, 95
96, 41, 67, 58, 93, 57, 22, 26, 2, 9, 45, 4, 13, 70, 37, 84, 14, 34, 59, 65, 66, 32, 24, 62, 52, 83, 5, 8, 10, 21, 72, 77, 90, 11, 81, 78, 44, 42, 55, 3, 54, 85, 36, 33, 49, 40, 87, 43, 27, 56, 25, 73, 47, 19, 74, 61, 17, 51, 23, 88, 31, 12, 50, 91, 53, 92, 79, 38, 6, 60, 39, 7, 82, 68, 18, 63, 75, 29, 1, 86, 30, 46, 76, 89, 20, 94, 69, 28, 16, 80, 35, 71, 15, 64, 48, 95
96, 11, 74, 82, 7, 21, 75, 58, 42, 10, 70, 37, 77, 86, 1, 9, 91, 81, 29, 48, 26, 28, 2, 54, 3, 32, 61, 4, 13, 14, 85, 69, 65, 23, 73, 19, 92, 94, 49, 30, 8, 63, 47, 57, 45, 72, 52, 56, 41, 33, 36, 62, 84, 90, 76, 46, 53, 20, 40, 51, 17, 79, 78, 71, 44, 68, 31, 12, 88, 16, 80, 67, 50, 5, 83, 27, 15, 55, 89, 87, 25, 34, 59, 39, 22, 35, 24, 64, 38, 93, 66, 43, 18, 60, 6, 95
