2, 15, 21, 20, 10, 19, 3, 6, 11, 1, 18, 13, 9, 22, 12, 5, 16, 4, 14, 17, 7, 8
9, 18, 13, 16, 5, 3, 15, 1, 12, 19, 4, 2, 21, 7, 22, 10, 20, 17, 6, 11, 14, 8
11, 3, 5, 16, 1, 9, 22, 18, 19, 13, 10, 15, 21, 2, 20, 7, 14, 17, 6, 4, 12, 8
3, 19, 17, 1, 9, 20, 14, 22, 6, 12, 4, 2, 21, 7, 15, 10, 16, 5, 11, 13, 18, 8
2, 16, 21, 22, 3, 6, 18, 20, 15, 4, 14, 19, 11, 7, 1, 12, 9, 10, 17, 5, 13, 8
10, 15, 17, 20, 19, 2, 13, 7, 1, 4, 22, 18, 5, 3, 16, 6, 12, 21, 9, 11, 14, 8
14, 4, 2, 21, 22, 12, 1, 18, 19, 16, 9, 5, 20, 15, 17, 11, 7, 10, 6, 3, 13, 8
14, 5, 22, 9, 18, 15, 1, 12, 17, 21, 2, 19, 11, 6, 10, 20, 4, 16, 7, 3, 13, 8
3, 1, 13, 16, 4, 7, 20, 14, 2, 21, 17, 10, 9, 11, 19, 18, 6, 15, 12, 22, 5, 8
7, 20, 14, 16, 13, 1, 3, 4, 2, 21, 17, 10, 9, 11, 19, 18, 6, 15, 12, 22, 5, 8
5, 13, 21, 2, 7, 10, 4, 20, 15, 11, 6, 22, 12, 9, 14, 17, 19, 1, 16, 18, 3, 8
3, 1, 4, 10, 12, 16, 15, 2, 19, 6, 22, 18, 21, 7, 13, 17, 20, 9, 5, 11, 14, 8
3, 1, 13, 16, 14, 20, 9, 10, 17, 21, 4, 2, 7, 11, 19, 18, 6, 15, 12, 22, 5, 8
15, 2, 21, 20, 10, 19, 3, 6, 11, 1, 18, 13, 9, 22, 12, 17, 14, 4, 16, 5, 7, 8
13, 19, 2, 21, 14, 4, 17, 12, 10, 1, 9, 6, 3, 15, 18, 7, 20, 16, 22, 11, 5, 8
4, 14, 9, 16, 2, 21, 22, 12, 1, 18, 7, 11, 15, 20, 3, 6, 10, 19, 17, 5, 13, 8
4, 21, 7, 2, 10, 5, 13, 20, 15, 11, 6, 22, 12, 9, 14, 17, 19, 1, 3, 18, 16, 8
4, 18, 15, 6, 19, 17, 11, 2, 21, 7, 9, 1, 3, 20, 12, 5, 13, 16, 10, 22, 14, 8
15, 21, 2, 20, 7, 13, 18, 17, 14, 16, 19, 3, 1, 9, 5, 10, 22, 6, 11, 4, 12, 8
4, 1, 3, 10, 12, 16, 15, 19, 2, 6, 22, 18, 21, 7, 13, 17, 20, 9, 5, 11, 14, 8
2, 3, 14, 21, 1, 16, 20, 7, 10, 5, 22, 12, 19, 9, 11, 13, 18, 6, 4, 17, 15, 8
3, 1, 4, 6, 17, 12, 9, 21, 2, 19, 13, 15, 10, 14, 18, 7, 20, 16, 22, 11, 5, 8
13, 14, 9, 6, 11, 15, 20, 4, 21, 2, 19, 17, 16, 22, 5, 10, 18, 3, 1, 12, 7, 8
2, 9, 21, 1, 3, 16, 17, 19, 15, 18, 22, 12, 4, 10, 7, 13, 6, 11, 20, 14, 5, 8
3, 16, 9, 17, 22, 12, 10, 1, 4, 15, 18, 6, 11, 20, 7, 19, 5, 2, 21, 14, 13, 8
16, 9, 6, 18, 20, 15, 11, 7, 3, 1, 12, 22, 21, 2, 4, 14, 10, 19, 17, 5, 13, 8
2, 15, 21, 12, 22, 9, 13, 18, 1, 11, 6, 3, 19, 10, 20, 17, 14, 4, 16, 5, 7, 8
10, 14, 20, 3, 16, 9, 1, 13, 11, 7, 17, 21, 4, 2, 19, 18, 6, 15, 12, 22, 5, 8
7, 1, 12, 22, 21, 2, 16, 11, 14, 4, 15, 20, 5, 19, 18, 17, 9, 10, 6, 3, 13, 8
12, 4, 2, 14, 21, 18, 16, 6, 11, 15, 20, 10, 22, 5, 17, 19, 9, 1, 3, 13, 7, 8
12, 15, 5, 7, 21, 16, 10, 9, 2, 3, 19, 14, 22, 13, 20, 17, 1, 4, 6, 11, 18, 8
9, 18, 13, 16, 12, 1, 15, 3, 5, 19, 2, 4, 21, 7, 22, 10, 20, 17, 6, 11, 14, 8
3, 6, 12, 21, 9, 16, 20, 17, 18, 22, 10, 15, 2, 19, 4, 1, 13, 7, 5, 11, 14, 8
5, 7, 21, 16, 10, 15, 12, 22, 13, 14, 9, 2, 3, 19, 20, 17, 1, 4, 6, 11, 18, 8
10, 20, 15, 11, 2, 14, 21, 18, 16, 6, 5, 22, 12, 4, 17, 19, 9, 1, 3, 13, 7, 8
5, 20, 17, 19, 3, 1, 9, 13, 18, 4, 12, 7, 21, 2, 11, 6, 15, 16, 10, 22, 14, 8
15, 11, 6, 9, 14, 13, 22, 5, 10, 4, 21, 2, 19, 17, 16, 20, 18, 12, 1, 3, 7, 8
3, 20, 6, 1, 9, 19, 11, 5, 17, 16, 10, 15, 14, 22, 12, 7, 21, 4, 2, 13, 18, 8
3, 20, 5, 19, 17, 1, 9, 13, 18, 4, 12, 7, 2, 21, 11, 6, 15, 16, 10, 22, 14, 8
5, 18, 21, 14, 2, 20, 15, 11, 10, 4, 12, 22, 16, 6, 17, 19, 9, 1, 3, 13, 7, 8
3, 22, 7, 9, 1, 13, 12, 6, 21, 20, 11, 2, 17, 18, 5, 10, 19, 15, 4, 14, 16, 8
14, 5, 22, 9, 18, 15, 1, 12, 2, 17, 21, 19, 11, 6, 10, 20, 4, 16, 7, 3, 13, 8
9, 18, 13, 3, 12, 1, 15, 16, 5, 19, 4, 2, 21, 7, 22, 10, 20, 17, 6, 11, 14, 8
13, 6, 3, 19, 22, 12, 18, 15, 1, 16, 9, 21, 4, 7, 10, 2, 20, 17, 5, 11, 14, 8
12, 22, 18, 15, 19, 17, 16, 3, 1, 2, 21, 9, 4, 10, 7, 13, 6, 11, 20, 14, 5, 8
13, 19, 21, 2, 14, 4, 17, 12, 10, 1, 9, 6, 3, 15, 18, 7, 20, 16, 22, 11, 5, 8
11, 20, 21, 6, 12, 13, 1, 9, 3, 22, 7, 2, 17, 18, 5, 10, 19, 15, 4, 14, 16, 8
16, 17, 19, 2, 21, 4, 20, 15, 11, 6, 9, 14, 13, 22, 5, 10, 18, 12, 1, 3, 7, 8
5, 20, 17, 19, 3, 1, 9, 13, 18, 4, 12, 7, 2, 21, 11, 6, 15, 16, 10, 22, 14, 8
14, 10, 15, 13, 19, 2, 21, 9, 12, 17, 6, 3, 1, 4, 18, 7, 20, 16, 22, 11, 5, 8
12, 22, 16, 6, 11, 15, 20, 2, 14, 21, 18, 5, 4, 10, 17, 19, 9, 1, 3, 13, 7, 8
6, 18, 22, 21, 2, 16, 3, 20, 15, 4, 14, 19, 11, 7, 1, 12, 9, 10, 17, 5, 13, 8
10, 15, 1, 4, 21, 9, 5, 18, 16, 12, 22, 14, 6, 2, 20, 17, 19, 13, 7, 11, 3, 8
16, 9, 21, 12, 22, 10, 15, 1, 13, 3, 2, 7, 19, 18, 4, 6, 20, 17, 5, 11, 14, 8
12, 19, 9, 10, 7, 20, 16, 1, 21, 2, 14, 3, 22, 5, 11, 13, 18, 6, 4, 17, 15, 8
10, 12, 4, 5, 13, 18, 20, 9, 1, 3, 16, 17, 7, 21, 2, 22, 14, 19, 15, 6, 11, 8
3, 1, 13, 16, 14, 20, 7, 2, 4, 21, 17, 10, 9, 11, 19, 18, 6, 15, 12, 22, 5, 8
2, 16, 21, 22, 17, 18, 19, 5, 20, 15, 4, 14, 11, 7, 1, 12, 9, 10, 6, 3, 13, 8
2, 16, 21, 22, 12, 1, 7, 11, 19, 14, 4, 15, 20, 3, 6, 18, 9, 10, 17, 5, 13, 8
12, 4, 19, 17, 16, 9, 11, 10, 7, 21, 5, 2, 22, 18, 3, 20, 14, 1, 13, 15, 6, 8
3, 6, 13, 19, 22, 12, 18, 15, 1, 4, 21, 9, 16, 7, 10, 2, 20, 17, 5, 11, 14, 8
3, 1, 4, 10, 6, 2, 19, 15, 16, 12, 22, 18, 21, 7, 13, 17, 20, 9, 5, 11, 14, 8
19, 17, 14, 18, 13, 7, 20, 15, 5, 11, 6, 16, 9, 1, 3, 2, 21, 4, 10, 22, 12, 8
13, 19, 2, 21, 14, 10, 12, 17, 4, 1, 9, 6, 3, 15, 18, 7, 20, 16, 22, 11, 5, 8
11, 21, 2, 7, 3, 1, 9, 18, 4, 19, 17, 13, 6, 15, 20, 12, 5, 16, 10, 22, 14, 8
3, 1, 13, 16, 14, 20, 9, 10, 17, 21, 2, 4, 7, 11, 19, 18, 6, 15, 12, 22, 5, 8
6, 15, 18, 4, 19, 17, 13, 5, 12, 20, 3, 1, 9, 7, 21, 2, 11, 16, 10, 22, 14, 8
3, 16, 9, 17, 22, 4, 1, 10, 12, 15, 18, 6, 11, 20, 7, 19, 5, 21, 14, 2, 13, 8
10, 15, 17, 20, 2, 19, 13, 3, 1, 4, 22, 18, 5, 7, 16, 6, 12, 21, 9, 11, 14, 8
4, 14, 19, 9, 15, 20, 18, 6, 3, 16, 21, 2, 22, 12, 1, 7, 11, 10, 17, 5, 13, 8
3, 20, 5, 19, 17, 1, 9, 13, 18, 4, 12, 7, 21, 2, 11, 6, 15, 16, 10, 22, 14, 8
2, 3, 14, 21, 1, 5, 10, 9, 19, 12, 22, 16, 20, 7, 11, 13, 18, 6, 4, 17, 15, 8
12, 22, 5, 10, 7, 20, 16, 1, 21, 2, 14, 3, 19, 9, 11, 13, 18, 6, 4, 17, 15, 8
3, 16, 9, 17, 22, 12, 10, 1, 4, 15, 18, 6, 11, 20, 7, 19, 5, 21, 2, 14, 13, 8
13, 14, 9, 6, 11, 15, 20, 4, 2, 21, 19, 17, 16, 22, 5, 10, 18, 12, 1, 3, 7, 8
6, 11, 19, 2, 21, 17, 12, 1, 15, 18, 9, 22, 4, 20, 10, 14, 5, 16, 7, 3, 13, 8
10, 12, 4, 5, 13, 18, 20, 9, 1, 3, 16, 17, 7, 2, 21, 22, 14, 19, 15, 6, 11, 8
12, 22, 18, 15, 19, 17, 16, 3, 1, 2, 21, 9, 4, 10, 7, 13, 5, 14, 20, 11, 6, 8
10, 15, 17, 20, 19, 2, 13, 4, 1, 3, 22, 18, 5, 7, 16, 6, 12, 21, 9, 11, 14, 8
