19, 23, 18, 24, 10, 8, 12, 5, 15, 2, 4, 6, 22, 13, 3, 25, 26, 17, 21, 16, 7, 14, 11, 1, 20, 9
10, 20, 25, 24, 5, 15, 22, 13, 11, 3, 9, 6, 19, 21, 14, 8, 16, 12, 2, 4, 1, 23, 7, 26, 17, 18
12, 15, 4, 17, 24, 11, 21, 2, 26, 8, 10, 18, 16, 20, 1, 23, 14, 7, 9, 6, 22, 3, 5, 13, 19, 25
10, 20, 25, 24, 5, 15, 22, 13, 11, 3, 9, 6, 19, 21, 14, 8, 2, 16, 12, 4, 1, 23, 7, 26, 17, 18
16, 7, 8, 12, 5, 15, 2, 4, 6, 22, 13, 3, 25, 26, 17, 21, 19, 23, 18, 24, 10, 14, 11, 1, 20, 9
5, 24, 25, 20, 10, 15, 22, 3, 11, 13, 9, 6, 19, 21, 14, 8, 16, 2, 12, 4, 1, 23, 7, 26, 17, 18
5, 19, 23, 1, 20, 25, 4, 14, 16, 2, 24, 17, 18, 9, 6, 10, 11, 15, 26, 13, 22, 3, 8, 12, 21, 7
11, 17, 10, 21, 2, 16, 14, 3, 7, 4, 15, 26, 23, 1, 20, 5, 13, 22, 6, 8, 12, 24, 25, 9, 19, 18
20, 1, 23, 26, 11, 17, 10, 21, 2, 16, 14, 3, 4, 22, 8, 13, 5, 15, 7, 6, 12, 24, 25, 9, 19, 18
7, 15, 17, 24, 22, 20, 8, 9, 12, 25, 26, 19, 21, 2, 16, 11, 18, 10, 4, 23, 1, 6, 13, 5, 3, 14
5, 24, 25, 20, 10, 15, 22, 3, 11, 13, 9, 6, 19, 21, 14, 8, 2, 16, 12, 4, 1, 23, 7, 26, 17, 18
10, 13, 25, 26, 17, 15, 12, 8, 18, 14, 23, 19, 3, 16, 21, 6, 5, 22, 24, 4, 7, 2, 11, 1, 20, 9
15, 9, 18, 17, 24, 2, 16, 14, 25, 11, 20, 1, 23, 19, 5, 26, 13, 4, 10, 6, 22, 3, 8, 12, 21, 7
20, 1, 23, 26, 11, 17, 10, 21, 2, 16, 14, 3, 7, 13, 4, 15, 5, 8, 22, 6, 12, 24, 25, 9, 19, 18
20, 1, 23, 26, 11, 17, 10, 2, 21, 16, 14, 3, 7, 13, 4, 15, 5, 8, 22, 6, 12, 24, 25, 9, 19, 18
8, 3, 22, 24, 17, 15, 7, 9, 12, 25, 26, 19, 21, 2, 16, 4, 10, 18, 11, 23, 1, 6, 20, 5, 13, 14
