18, 19, 1, 22, 3, 14, 12, 32, 9, 5, 23, 26, 30, 24, 17, 25, 29, 8, 20, 11, 10, 7, 6, 13, 27, 2, 31, 21, 4, 28, 16, 15
27, 13, 23, 26, 30, 7, 10, 11, 20, 17, 24, 6, 19, 1, 22, 3, 14, 12, 32, 9, 5, 8, 29, 25, 31, 18, 2, 21, 4, 28, 16, 15
19, 1, 22, 3, 14, 12, 7, 6, 32, 9, 5, 8, 29, 25, 17, 24, 30, 26, 23, 18, 20, 11, 10, 13, 27, 2, 31, 21, 4, 28, 16, 15
7, 3, 14, 12, 22, 1, 19, 6, 32, 9, 5, 8, 29, 25, 17, 24, 30, 26, 23, 18, 20, 11, 10, 13, 27, 31, 2, 21, 4, 28, 16, 15
8, 29, 25, 17, 24, 30, 26, 23, 5, 9, 32, 18, 20, 11, 10, 7, 6, 19, 1, 22, 3, 14, 12, 13, 27, 2, 31, 21, 4, 28, 16, 15
18, 19, 1, 22, 3, 14, 8, 29, 25, 17, 24, 30, 26, 23, 5, 9, 32, 12, 20, 11, 10, 7, 6, 13, 27, 2, 31, 21, 4, 28, 16, 15
7, 12, 14, 3, 22, 1, 19, 6, 32, 9, 5, 23, 26, 30, 24, 17, 25, 29, 8, 18, 20, 11, 10, 13, 27, 31, 2, 21, 4, 28, 16, 15
9, 32, 12, 14, 3, 22, 1, 19, 18, 5, 8, 29, 25, 17, 24, 30, 26, 23, 20, 11, 10, 7, 6, 13, 27, 2, 31, 21, 4, 28, 16, 15
18, 19, 1, 22, 3, 14, 23, 26, 30, 24, 17, 25, 29, 8, 5, 9, 32, 12, 20, 11, 10, 7, 6, 13, 27, 2, 31, 21, 4, 28, 16, 15
7, 3, 14, 12, 22, 1, 19, 6, 32, 9, 5, 8, 29, 25, 17, 24, 30, 26, 23, 18, 20, 11, 10, 13, 27, 2, 31, 21, 4, 28, 16, 15
8, 5, 9, 32, 12, 14, 3, 22, 29, 25, 31, 2, 18, 20, 11, 10, 7, 30, 26, 23, 13, 27, 1, 19, 6, 24, 17, 21, 4, 28, 16, 15
23, 26, 30, 24, 17, 25, 29, 8, 5, 9, 32, 18, 20, 11, 10, 7, 6, 19, 1, 22, 12, 14, 3, 13, 27, 2, 31, 21, 4, 28, 16, 15
19, 1, 22, 12, 14, 3, 7, 6, 32, 9, 5, 23, 26, 30, 24, 17, 25, 29, 8, 18, 20, 11, 10, 13, 27, 2, 31, 21, 4, 28, 16, 15
7, 3, 14, 12, 22, 1, 19, 6, 32, 9, 5, 23, 26, 30, 24, 17, 25, 29, 8, 18, 20, 11, 10, 13, 27, 31, 2, 21, 4, 28, 16, 15
23, 26, 30, 24, 17, 25, 29, 8, 5, 9, 32, 12, 14, 3, 22, 1, 19, 6, 7, 10, 11, 20, 18, 13, 27, 2, 31, 21, 4, 28, 16, 15
8, 29, 25, 17, 24, 30, 26, 23, 5, 9, 32, 12, 14, 3, 22, 1, 19, 6, 7, 10, 11, 20, 18, 13, 27, 2, 31, 21, 4, 28, 16, 15
19, 1, 22, 3, 14, 12, 7, 6, 32, 9, 5, 23, 26, 30, 24, 17, 25, 29, 8, 18, 20, 11, 10, 13, 27, 2, 31, 21, 4, 28, 16, 15
19, 1, 22, 12, 14, 3, 7, 6, 32, 9, 5, 23, 26, 30, 24, 17, 25, 29, 8, 18, 20, 11, 10, 13, 27, 31, 2, 21, 4, 28, 16, 15
10, 23, 26, 4, 28, 16, 6, 19, 1, 22, 7, 9, 5, 8, 29, 25, 2, 31, 15, 21, 27, 13, 3, 14, 12, 32, 30, 24, 17, 18, 20, 11
