9, 5, 8, 16, 14, 11, 15, 10, 3, 19, 21, 2, 12, 20, 7, 1, 4, 17, 13, 18, 6
19, 21, 2, 5, 17, 4, 1, 15, 3, 9, 16, 11, 7, 13, 14, 20, 12, 10, 8, 18, 6
8, 4, 9, 14, 3, 12, 20, 16, 13, 17, 5, 7, 11, 2, 21, 19, 1, 15, 10, 18, 6
16, 14, 1, 15, 2, 7, 11, 12, 10, 5, 19, 21, 17, 9, 20, 3, 13, 4, 8, 18, 6
2, 13, 7, 21, 19, 5, 12, 3, 1, 15, 20, 14, 17, 9, 11, 16, 10, 4, 8, 18, 6
2, 7, 8, 5, 17, 16, 15, 21, 19, 3, 9, 11, 13, 12, 10, 1, 4, 20, 14, 18, 6
12, 5, 19, 21, 17, 3, 20, 10, 16, 11, 9, 13, 15, 7, 2, 1, 14, 4, 8, 18, 6
5, 19, 21, 7, 2, 13, 9, 12, 15, 11, 16, 10, 20, 3, 17, 1, 14, 4, 8, 18, 6
5, 19, 21, 7, 2, 13, 9, 11, 16, 12, 15, 1, 14, 20, 3, 17, 10, 4, 8, 18, 6
13, 9, 11, 16, 10, 20, 3, 17, 21, 19, 5, 12, 15, 2, 7, 1, 14, 4, 8, 18, 6
9, 13, 15, 12, 7, 2, 21, 19, 5, 11, 16, 10, 20, 3, 17, 1, 14, 4, 8, 18, 6
16, 14, 1, 15, 7, 3, 20, 5, 10, 12, 11, 2, 19, 21, 17, 9, 13, 4, 8, 18, 6
8, 3, 14, 9, 16, 20, 12, 4, 13, 17, 5, 7, 11, 2, 21, 19, 1, 15, 10, 18, 6
16, 14, 1, 15, 7, 3, 20, 11, 2, 12, 10, 5, 19, 21, 17, 9, 13, 4, 8, 18, 6
16, 11, 9, 17, 14, 20, 3, 1, 15, 12, 5, 19, 21, 7, 2, 13, 10, 4, 8, 18, 6
7, 13, 14, 20, 12, 10, 8, 11, 16, 9, 3, 15, 1, 4, 17, 5, 2, 21, 19, 18, 6
12, 10, 16, 7, 21, 19, 5, 20, 3, 17, 2, 13, 15, 9, 11, 1, 14, 4, 8, 18, 6
16, 11, 9, 17, 14, 20, 15, 1, 3, 12, 5, 19, 21, 7, 2, 13, 10, 4, 8, 18, 6
5, 19, 21, 17, 9, 10, 12, 11, 2, 20, 3, 7, 15, 1, 14, 16, 13, 4, 8, 18, 6
3, 4, 8, 14, 9, 12, 20, 16, 13, 17, 5, 7, 11, 2, 21, 19, 1, 15, 10, 18, 6
2, 7, 21, 19, 11, 9, 3, 13, 12, 10, 8, 5, 17, 4, 1, 15, 16, 20, 14, 18, 6
16, 3, 12, 8, 2, 21, 19, 4, 17, 13, 5, 14, 20, 9, 1, 15, 10, 7, 11, 18, 6
9, 5, 8, 16, 14, 11, 3, 10, 15, 19, 21, 2, 12, 20, 7, 1, 4, 17, 13, 18, 6
15, 16, 17, 5, 8, 2, 7, 21, 19, 3, 9, 11, 13, 12, 10, 1, 4, 20, 14, 18, 6
2, 14, 9, 21, 19, 16, 11, 1, 15, 17, 3, 8, 10, 13, 20, 12, 5, 4, 7, 18, 6
13, 5, 19, 21, 2, 7, 10, 12, 15, 1, 14, 20, 3, 9, 17, 11, 16, 4, 8, 18, 6
8, 10, 12, 20, 14, 13, 3, 7, 16, 11, 15, 2, 21, 19, 9, 1, 4, 17, 5, 18, 6
13, 9, 15, 1, 14, 19, 21, 17, 3, 20, 10, 16, 11, 7, 2, 12, 5, 4, 8, 18, 6
2, 7, 8, 5, 17, 16, 15, 21, 19, 11, 9, 3, 13, 12, 10, 1, 4, 20, 14, 18, 6
