28, 13, 96, 40, 20, 17, 34, 89, 68, 45, 11, 65, 69, 18, 42, 61, 78, 25, 76, 97, 5, 52, 48, 91, 1, 93, 95, 27, 77, 14, 51, 67, 72, 57, 23, 35, 47, 83, 10, 63, 73, 53, 19, 82, 87, 71, 9, 16, 6, 70, 90, 92, 88, 46, 3, 22, 7, 85, 64, 31, 32, 94, 4, 39, 50, 26, 37, 80, 86, 55, 74, 29, 54, 30, 60, 66, 2, 15, 12, 21, 56, 58, 33, 79, 41, 75, 81, 43, 59, 44, 38, 8, 49, 62, 24, 84, 36
13, 96, 40, 7, 16, 6, 4, 14, 51, 12, 15, 73, 26, 68, 45, 43, 54, 77, 28, 29, 65, 74, 18, 97, 5, 11, 50, 39, 59, 21, 57, 89, 79, 61, 10, 63, 33, 82, 19, 17, 66, 60, 42, 81, 75, 85, 69, 9, 2, 76, 55, 86, 25, 78, 87, 37, 34, 71, 70, 53, 20, 22, 3, 46, 88, 92, 90, 64, 31, 56, 58, 52, 48, 91, 1, 93, 95, 27, 41, 67, 83, 47, 35, 23, 72, 30, 80, 94, 32, 44, 38, 8, 49, 62, 24, 84, 36
26, 73, 15, 12, 51, 14, 4, 6, 16, 7, 40, 96, 13, 68, 45, 11, 5, 97, 18, 74, 65, 29, 28, 77, 54, 43, 50, 39, 59, 21, 57, 89, 79, 61, 10, 63, 33, 82, 19, 17, 66, 60, 42, 81, 75, 85, 69, 9, 2, 76, 55, 86, 25, 78, 87, 37, 34, 71, 70, 53, 20, 22, 3, 46, 88, 92, 90, 64, 31, 56, 58, 52, 48, 91, 1, 93, 95, 27, 41, 67, 83, 47, 35, 23, 72, 30, 80, 94, 32, 44, 38, 8, 49, 62, 24, 84, 36
33, 82, 19, 17, 66, 60, 42, 43, 81, 75, 85, 69, 9, 76, 2, 55, 86, 25, 78, 96, 54, 77, 28, 29, 65, 74, 18, 97, 5, 11, 45, 68, 13, 63, 10, 61, 79, 89, 57, 21, 59, 39, 50, 26, 73, 15, 12, 51, 14, 4, 6, 16, 7, 40, 87, 37, 34, 71, 70, 53, 20, 22, 3, 46, 88, 92, 90, 64, 31, 56, 58, 52, 48, 91, 1, 93, 95, 27, 41, 67, 83, 47, 35, 23, 72, 30, 80, 94, 32, 44, 38, 8, 49, 62, 24, 84, 36
43, 54, 87, 37, 96, 13, 4, 14, 51, 12, 15, 73, 26, 50, 34, 71, 70, 53, 20, 22, 3, 46, 88, 92, 90, 64, 31, 39, 59, 21, 57, 89, 79, 61, 10, 63, 33, 82, 19, 17, 66, 60, 42, 81, 75, 85, 2, 69, 9, 76, 55, 86, 25, 78, 77, 28, 29, 65, 74, 18, 97, 5, 11, 45, 68, 6, 16, 7, 40, 56, 58, 52, 48, 91, 1, 93, 95, 27, 41, 67, 83, 47, 35, 23, 72, 30, 80, 94, 32, 44, 38, 8, 49, 62, 24, 84, 36
40, 20, 53, 19, 82, 33, 79, 41, 6, 16, 90, 92, 88, 18, 97, 5, 11, 45, 68, 35, 47, 83, 67, 14, 51, 12, 94, 46, 9, 71, 74, 55, 86, 80, 50, 39, 59, 56, 58, 52, 22, 26, 73, 7, 17, 63, 10, 78, 25, 76, 15, 2, 54, 70, 72, 23, 96, 61, 85, 64, 31, 32, 48, 91, 1, 93, 95, 27, 29, 13, 3, 69, 65, 28, 77, 21, 30, 60, 4, 37, 34, 87, 57, 89, 66, 75, 81, 43, 42, 44, 38, 8, 49, 62, 24, 84, 36
42, 43, 81, 75, 85, 69, 9, 76, 2, 55, 86, 25, 78, 71, 19, 82, 33, 63, 10, 61, 79, 89, 57, 21, 59, 39, 50, 26, 73, 15, 45, 68, 13, 96, 40, 7, 16, 6, 12, 51, 14, 4, 60, 66, 17, 11, 5, 97, 18, 74, 29, 27, 95, 93, 1, 91, 48, 52, 58, 56, 31, 64, 90, 92, 88, 46, 3, 22, 20, 53, 70, 34, 37, 87, 54, 77, 28, 65, 41, 67, 83, 47, 35, 23, 72, 30, 80, 94, 32, 44, 38, 8, 49, 62, 24, 84, 36
9, 35, 47, 78, 25, 76, 46, 3, 22, 2, 53, 70, 13, 96, 40, 20, 50, 69, 75, 81, 77, 14, 7, 17, 66, 60, 56, 4, 10, 63, 42, 37, 34, 87, 65, 61, 80, 94, 32, 31, 64, 15, 28, 82, 33, 45, 11, 89, 57, 73, 39, 59, 43, 68, 12, 51, 92, 90, 16, 6, 79, 41, 5, 97, 18, 27, 95, 93, 1, 91, 48, 52, 58, 26, 30, 85, 83, 67, 19, 21, 86, 55, 74, 29, 88, 54, 72, 23, 71, 44, 38, 8, 49, 62, 24, 84, 36
7, 40, 96, 13, 4, 14, 51, 16, 6, 68, 45, 11, 5, 97, 18, 74, 29, 27, 95, 93, 1, 91, 48, 52, 58, 86, 71, 55, 2, 76, 9, 69, 85, 75, 81, 43, 42, 70, 53, 20, 22, 3, 46, 88, 92, 90, 64, 31, 56, 78, 25, 12, 15, 73, 26, 50, 39, 59, 21, 57, 89, 79, 61, 10, 63, 33, 82, 19, 17, 66, 60, 34, 37, 87, 54, 77, 28, 65, 41, 67, 83, 47, 35, 23, 72, 30, 80, 94, 32, 44, 38, 8, 49, 62, 24, 84, 36
13, 70, 53, 9, 2, 35, 47, 78, 25, 76, 46, 3, 22, 96, 40, 20, 50, 69, 75, 81, 77, 14, 7, 17, 66, 60, 56, 4, 10, 63, 42, 37, 34, 87, 65, 52, 48, 91, 1, 93, 95, 27, 28, 82, 33, 45, 11, 89, 57, 73, 39, 59, 43, 68, 12, 51, 92, 90, 16, 6, 79, 41, 5, 97, 18, 15, 64, 31, 32, 94, 80, 61, 58, 26, 30, 85, 83, 67, 19, 21, 86, 55, 74, 29, 88, 54, 72, 23, 71, 44, 38, 8, 49, 62, 24, 84, 36
