18, 72, 64, 59, 27, 48, 1, 8, 33, 4, 58, 19, 39, 67, 77, 10, 44, 40, 31, 52, 9, 15, 32, 2, 43, 35, 75, 53, 86, 73, 42, 41, 26, 83, 70, 81, 24, 84, 68, 54, 76, 20, 80, 47, 38, 29, 79, 6, 60, 50, 85, 66, 13, 56, 55, 71, 12, 37, 74, 14, 22, 57, 23, 34, 82, 11, 63, 62, 36, 61, 65, 3, 5, 51, 45, 25, 28, 21, 30, 49, 46, 69, 17, 16, 78, 7
24, 63, 22, 57, 9, 45, 82, 26, 83, 16, 38, 78, 73, 58, 52, 7, 85, 11, 25, 72, 64, 53, 61, 46, 62, 39, 4, 33, 56, 28, 20, 6, 77, 15, 40, 76, 80, 47, 79, 17, 44, 10, 18, 31, 37, 12, 19, 29, 68, 84, 49, 66, 67, 8, 1, 48, 54, 55, 71, 86, 13, 65, 21, 60, 50, 51, 5, 3, 30, 69, 81, 70, 27, 59, 2, 32, 43, 35, 75, 14, 74, 36, 34, 23, 41, 42
30, 50, 60, 57, 23, 34, 65, 42, 21, 28, 56, 79, 32, 54, 86, 4, 33, 74, 14, 22, 41, 83, 26, 2, 71, 75, 53, 20, 6, 62, 63, 11, 82, 18, 77, 15, 9, 46, 45, 51, 5, 3, 48, 67, 13, 44, 10, 27, 70, 24, 84, 68, 76, 40, 25, 35, 43, 17, 69, 81, 85, 7, 39, 19, 58, 49, 66, 8, 1, 61, 36, 72, 64, 59, 37, 12, 80, 47, 38, 29, 31, 52, 55, 73, 78, 16
28, 25, 40, 76, 20, 80, 47, 38, 29, 79, 70, 81, 41, 6, 60, 50, 2, 32, 15, 9, 52, 31, 18, 85, 66, 13, 56, 55, 21, 30, 49, 67, 39, 19, 58, 4, 33, 8, 1, 48, 27, 59, 64, 72, 54, 65, 61, 36, 42, 73, 86, 53, 75, 35, 43, 71, 12, 37, 74, 14, 22, 57, 23, 34, 82, 11, 63, 62, 24, 84, 68, 3, 5, 51, 45, 46, 44, 10, 77, 26, 83, 69, 17, 16, 78, 7
31, 18, 72, 64, 59, 27, 48, 1, 8, 33, 4, 58, 19, 39, 67, 49, 30, 21, 28, 25, 40, 76, 20, 80, 47, 38, 85, 66, 13, 56, 55, 52, 9, 15, 32, 2, 43, 35, 75, 53, 86, 73, 42, 36, 61, 65, 54, 29, 79, 70, 81, 41, 6, 60, 50, 71, 12, 37, 74, 14, 22, 57, 23, 34, 82, 11, 63, 62, 24, 84, 68, 3, 5, 51, 45, 46, 44, 10, 77, 26, 83, 69, 17, 16, 78, 7
55, 56, 13, 66, 85, 8, 1, 26, 41, 42, 73, 86, 53, 75, 35, 43, 2, 32, 50, 60, 6, 79, 29, 38, 47, 80, 20, 76, 54, 68, 84, 24, 15, 83, 70, 81, 9, 52, 31, 40, 44, 10, 77, 67, 39, 19, 58, 4, 33, 18, 72, 64, 59, 27, 48, 71, 12, 37, 74, 14, 22, 57, 23, 34, 82, 11, 63, 62, 36, 61, 65, 3, 5, 51, 45, 25, 28, 21, 30, 49, 46, 69, 17, 16, 78, 7
9, 52, 31, 18, 85, 66, 13, 56, 55, 15, 32, 2, 36, 61, 65, 54, 72, 64, 59, 27, 48, 1, 8, 33, 4, 58, 19, 39, 67, 49, 30, 21, 28, 25, 40, 76, 20, 80, 47, 38, 29, 79, 70, 81, 41, 6, 60, 50, 42, 73, 86, 53, 75, 35, 43, 71, 62, 63, 11, 82, 34, 23, 57, 22, 14, 74, 37, 12, 24, 84, 68, 3, 5, 51, 45, 46, 44, 10, 77, 26, 83, 69, 17, 16, 78, 7
34, 82, 11, 32, 46, 45, 74, 50, 30, 63, 8, 24, 84, 68, 76, 40, 25, 69, 62, 39, 9, 75, 51, 73, 78, 7, 85, 59, 4, 52, 71, 10, 44, 14, 23, 57, 54, 22, 19, 20, 60, 5, 3, 28, 38, 47, 80, 2, 79, 56, 61, 33, 13, 42, 27, 29, 55, 18, 31, 12, 37, 36, 72, 83, 26, 77, 15, 1, 48, 81, 70, 6, 41, 17, 64, 86, 35, 49, 66, 67, 58, 43, 53, 16, 21, 65
28, 50, 70, 18, 31, 85, 1, 48, 72, 64, 65, 12, 4, 17, 9, 15, 7, 25, 40, 76, 38, 29, 46, 3, 5, 13, 49, 33, 56, 79, 6, 60, 42, 54, 36, 61, 75, 53, 77, 62, 20, 55, 80, 47, 27, 59, 84, 51, 24, 10, 37, 74, 14, 66, 8, 11, 82, 34, 23, 57, 22, 30, 39, 86, 19, 44, 71, 2, 43, 35, 81, 69, 41, 52, 21, 63, 32, 26, 83, 16, 78, 73, 58, 45, 68, 67
22, 63, 24, 62, 39, 4, 33, 56, 28, 20, 31, 37, 12, 15, 77, 6, 25, 72, 64, 53, 61, 46, 57, 9, 45, 82, 11, 85, 7, 52, 58, 73, 78, 38, 16, 83, 26, 18, 10, 44, 17, 79, 47, 80, 76, 40, 19, 29, 68, 84, 49, 66, 67, 13, 86, 71, 55, 54, 48, 1, 8, 65, 21, 3, 50, 60, 5, 51, 30, 69, 81, 70, 27, 59, 2, 32, 43, 35, 75, 14, 74, 36, 34, 23, 41, 42
