2, 19, 39, 10, 6, 43, 37, 40, 1, 49, 56, 24, 32, 16, 28, 36, 14, 11, 47, 45, 20, 53, 27, 33, 4, 46, 21, 31, 34, 51, 29, 26, 55, 17, 8, 7, 52, 25, 42, 50, 54, 48, 3, 38, 22, 5, 12, 44, 23, 13, 35, 15, 30, 41, 18, 9
39, 53, 9, 21, 48, 33, 27, 41, 23, 35, 46, 2, 10, 28, 16, 4, 31, 6, 25, 12, 8, 50, 54, 22, 18, 52, 32, 5, 19, 20, 45, 13, 34, 17, 7, 3, 38, 36, 11, 56, 40, 1, 49, 55, 14, 30, 26, 43, 37, 15, 42, 44, 47, 51, 29, 24
45, 20, 19, 12, 5, 54, 50, 8, 11, 32, 52, 18, 22, 31, 4, 17, 34, 13, 6, 25, 35, 23, 16, 28, 10, 2, 46, 14, 55, 49, 1, 40, 56, 39, 53, 9, 21, 7, 3, 38, 36, 48, 33, 27, 41, 30, 26, 43, 37, 15, 42, 44, 47, 51, 29, 24
39, 53, 9, 21, 48, 33, 27, 41, 23, 35, 2, 46, 10, 28, 16, 4, 31, 6, 25, 12, 5, 32, 52, 18, 22, 54, 50, 8, 11, 36, 38, 3, 19, 20, 45, 13, 34, 17, 7, 56, 40, 1, 49, 55, 14, 30, 26, 43, 37, 15, 42, 44, 47, 51, 29, 24
17, 12, 40, 1, 49, 31, 18, 15, 35, 23, 51, 47, 44, 42, 50, 54, 30, 39, 6, 33, 2, 36, 27, 11, 8, 52, 25, 46, 21, 9, 34, 53, 14, 38, 3, 7, 28, 16, 41, 48, 22, 26, 5, 29, 24, 32, 20, 45, 19, 4, 55, 56, 10, 13, 37, 43
8, 12, 48, 54, 50, 42, 5, 25, 17, 55, 26, 20, 11, 14, 36, 28, 47, 16, 41, 18, 35, 15, 30, 34, 2, 52, 6, 43, 27, 45, 19, 22, 10, 39, 31, 21, 46, 4, 33, 53, 13, 51, 29, 37, 7, 3, 38, 44, 23, 40, 1, 49, 56, 24, 32, 9
21, 7, 3, 23, 14, 31, 43, 37, 39, 53, 13, 2, 45, 20, 28, 4, 52, 25, 12, 5, 27, 41, 46, 18, 17, 55, 9, 11, 51, 47, 44, 38, 32, 54, 6, 15, 35, 33, 29, 10, 16, 26, 22, 48, 36, 19, 24, 49, 1, 40, 8, 56, 34, 30, 50, 42
25, 52, 8, 11, 27, 36, 28, 16, 41, 48, 22, 26, 5, 12, 40, 1, 49, 34, 56, 44, 42, 50, 54, 13, 53, 30, 15, 55, 7, 37, 43, 6, 33, 10, 2, 17, 38, 3, 9, 21, 46, 20, 45, 35, 23, 14, 31, 18, 32, 24, 29, 51, 47, 39, 4, 19
32, 11, 8, 50, 54, 5, 36, 38, 35, 25, 30, 45, 9, 53, 39, 56, 40, 1, 49, 55, 14, 19, 2, 46, 34, 17, 23, 6, 13, 48, 33, 20, 7, 27, 41, 16, 28, 10, 3, 52, 4, 31, 22, 18, 12, 21, 26, 43, 37, 15, 42, 44, 47, 51, 29, 24
39, 53, 9, 21, 48, 33, 27, 41, 23, 35, 46, 2, 10, 28, 16, 4, 31, 6, 25, 12, 8, 50, 54, 5, 32, 52, 18, 22, 7, 17, 34, 13, 45, 20, 19, 3, 38, 36, 11, 56, 40, 1, 49, 55, 14, 30, 26, 43, 37, 15, 42, 44, 47, 51, 29, 24
2, 10, 7, 43, 34, 20, 55, 38, 3, 31, 8, 13, 6, 39, 53, 9, 21, 46, 27, 52, 25, 4, 18, 11, 44, 42, 48, 19, 45, 33, 35, 47, 51, 29, 26, 15, 54, 14, 23, 22, 24, 32, 30, 37, 41, 56, 49, 12, 5, 1, 40, 16, 28, 36, 50, 17
32, 38, 54, 50, 8, 11, 3, 5, 35, 25, 30, 45, 20, 33, 48, 13, 6, 23, 17, 34, 46, 2, 19, 14, 55, 49, 1, 40, 56, 39, 53, 9, 7, 27, 41, 16, 28, 10, 36, 52, 18, 22, 31, 4, 12, 21, 26, 43, 37, 15, 42, 44, 47, 51, 29, 24
37, 43, 6, 21, 46, 52, 2, 10, 34, 23, 45, 28, 31, 38, 3, 7, 50, 54, 18, 4, 12, 40, 32, 17, 55, 49, 1, 14, 5, 27, 33, 48, 16, 11, 8, 26, 22, 41, 20, 13, 36, 25, 30, 15, 9, 53, 39, 56, 35, 19, 42, 44, 47, 51, 29, 24
10, 14, 23, 35, 15, 7, 9, 21, 46, 4, 2, 33, 6, 18, 31, 28, 3, 38, 36, 27, 11, 8, 52, 25, 30, 54, 50, 13, 53, 34, 49, 1, 40, 12, 5, 26, 22, 48, 32, 37, 43, 56, 39, 17, 55, 20, 45, 19, 41, 16, 42, 44, 47, 51, 29, 24
21, 6, 52, 25, 12, 33, 35, 15, 45, 20, 28, 51, 47, 44, 38, 32, 54, 13, 16, 4, 2, 36, 48, 22, 26, 41, 3, 7, 18, 46, 11, 27, 5, 10, 39, 37, 43, 31, 53, 14, 23, 9, 55, 17, 29, 19, 24, 49, 1, 40, 8, 56, 34, 30, 50, 42
20, 19, 12, 2, 46, 10, 28, 16, 18, 22, 31, 4, 52, 32, 5, 54, 50, 8, 11, 21, 45, 9, 53, 39, 56, 40, 1, 49, 55, 14, 23, 35, 25, 6, 13, 34, 17, 7, 3, 38, 36, 48, 33, 27, 41, 30, 26, 43, 37, 15, 42, 44, 47, 51, 29, 24
36, 27, 11, 8, 52, 25, 6, 33, 2, 9, 21, 46, 39, 17, 12, 40, 1, 49, 31, 18, 34, 53, 30, 15, 35, 23, 51, 47, 44, 42, 50, 54, 7, 3, 38, 14, 28, 16, 41, 48, 22, 26, 5, 29, 24, 32, 4, 19, 45, 20, 55, 56, 10, 13, 37, 43
36, 27, 11, 8, 52, 25, 7, 37, 43, 6, 33, 10, 55, 17, 38, 3, 9, 21, 46, 20, 45, 19, 4, 39, 53, 13, 54, 50, 42, 44, 47, 51, 23, 35, 15, 30, 28, 16, 41, 48, 22, 26, 5, 12, 40, 1, 49, 34, 56, 14, 31, 18, 32, 24, 29, 2
25, 6, 33, 2, 9, 21, 46, 39, 30, 54, 50, 42, 44, 47, 51, 23, 35, 15, 18, 31, 49, 1, 40, 12, 17, 52, 8, 11, 27, 36, 34, 53, 14, 38, 3, 7, 28, 16, 41, 48, 22, 26, 5, 29, 24, 32, 20, 45, 19, 10, 56, 55, 4, 13, 37, 43
24, 56, 49, 1, 40, 37, 43, 6, 10, 2, 39, 19, 45, 20, 53, 27, 33, 4, 46, 21, 31, 34, 51, 29, 32, 15, 35, 18, 41, 26, 55, 17, 8, 12, 5, 22, 38, 3, 7, 52, 25, 30, 13, 23, 48, 54, 50, 42, 44, 47, 11, 14, 36, 28, 16, 9
13, 45, 30, 25, 35, 38, 36, 5, 54, 50, 8, 11, 32, 6, 23, 14, 55, 49, 1, 40, 56, 39, 53, 20, 33, 48, 17, 34, 46, 2, 19, 9, 7, 27, 41, 16, 28, 10, 3, 52, 18, 22, 31, 4, 12, 21, 26, 43, 37, 15, 42, 44, 47, 51, 29, 24
8, 50, 54, 45, 20, 19, 12, 5, 11, 32, 52, 4, 31, 22, 18, 17, 34, 13, 6, 25, 35, 23, 16, 28, 10, 2, 46, 14, 55, 49, 1, 40, 56, 39, 53, 9, 21, 7, 36, 38, 3, 48, 33, 27, 41, 30, 26, 43, 37, 15, 42, 44, 47, 51, 29, 24
