4, 6, 14, 9, 7, 3, 15, 10, 5, 8, 13, 24, 17, 18, 22, 20, 1, 23, 12, 16, 2, 21, 11, 19
18, 9, 6, 11, 12, 21, 2, 16, 13, 5, 15, 3, 22, 20, 8, 4, 10, 7, 17, 24, 1, 23, 19, 14
6, 3, 5, 4, 14, 9, 15, 10, 7, 8, 13, 24, 17, 18, 22, 20, 1, 23, 12, 16, 2, 21, 11, 19
9, 14, 6, 3, 4, 15, 10, 7, 5, 8, 13, 24, 17, 18, 22, 20, 1, 23, 12, 16, 2, 21, 11, 19
6, 4, 5, 9, 14, 3, 15, 10, 7, 8, 13, 24, 17, 18, 22, 20, 1, 23, 12, 16, 2, 21, 11, 19
9, 14, 6, 3, 5, 7, 10, 15, 4, 8, 13, 24, 17, 18, 22, 20, 1, 23, 12, 16, 2, 21, 11, 19
18, 9, 6, 11, 12, 21, 2, 16, 13, 5, 15, 7, 10, 4, 8, 20, 22, 3, 17, 24, 1, 23, 19, 14
5, 3, 6, 14, 9, 4, 15, 10, 7, 8, 13, 24, 17, 18, 22, 20, 1, 23, 12, 16, 2, 21, 11, 19
7, 5, 4, 15, 10, 14, 9, 6, 3, 8, 13, 24, 17, 18, 22, 20, 1, 23, 12, 16, 2, 21, 11, 19
5, 6, 4, 15, 10, 16, 21, 14, 8, 11, 12, 9, 19, 23, 1, 20, 18, 17, 24, 13, 22, 3, 7, 2
13, 24, 17, 11, 18, 20, 1, 23, 19, 12, 10, 15, 9, 8, 3, 21, 16, 5, 4, 6, 22, 14, 7, 2
5, 16, 21, 12, 11, 17, 18, 9, 6, 4, 3, 8, 10, 19, 23, 1, 20, 24, 13, 15, 22, 14, 7, 2
13, 24, 17, 11, 18, 20, 1, 23, 19, 12, 10, 15, 9, 5, 16, 21, 14, 8, 4, 6, 22, 3, 7, 2
9, 14, 6, 3, 7, 10, 15, 4, 5, 8, 13, 24, 17, 18, 22, 20, 1, 23, 12, 16, 2, 21, 11, 19
5, 16, 21, 12, 11, 17, 18, 9, 6, 4, 3, 8, 10, 19, 23, 1, 20, 24, 13, 15, 22, 14, 2, 7
9, 15, 10, 12, 19, 23, 1, 20, 18, 11, 17, 24, 13, 8, 14, 21, 16, 5, 4, 6, 22, 3, 7, 2
5, 6, 4, 15, 10, 16, 21, 11, 8, 3, 12, 9, 19, 23, 1, 20, 18, 17, 24, 13, 22, 14, 7, 2
9, 3, 4, 5, 16, 21, 12, 11, 6, 18, 17, 8, 10, 19, 23, 1, 20, 24, 13, 15, 22, 14, 7, 2
7, 10, 4, 8, 3, 22, 20, 15, 5, 13, 16, 2, 21, 12, 11, 6, 9, 18, 17, 24, 1, 23, 19, 14
13, 24, 17, 3, 18, 20, 1, 23, 19, 12, 10, 15, 9, 8, 11, 21, 16, 5, 4, 6, 22, 14, 7, 2
13, 24, 17, 11, 9, 15, 10, 12, 19, 23, 1, 20, 18, 8, 14, 21, 16, 5, 4, 6, 22, 3, 7, 2
13, 24, 17, 11, 18, 20, 1, 23, 19, 12, 10, 15, 9, 8, 14, 21, 16, 5, 4, 6, 22, 3, 2, 7
9, 3, 4, 5, 16, 21, 12, 11, 6, 18, 17, 8, 10, 19, 23, 1, 20, 24, 13, 15, 22, 14, 2, 7
13, 24, 17, 3, 18, 20, 1, 23, 19, 12, 10, 15, 9, 8, 11, 21, 16, 5, 4, 6, 22, 14, 2, 7
7, 10, 4, 8, 20, 22, 3, 15, 5, 13, 16, 2, 21, 12, 11, 6, 9, 18, 17, 24, 1, 23, 19, 14
5, 9, 14, 6, 4, 10, 15, 3, 7, 8, 13, 24, 17, 18, 22, 20, 1, 23, 12, 16, 2, 21, 11, 19
24, 17, 18, 9, 6, 11, 12, 21, 2, 16, 13, 5, 15, 7, 8, 3, 22, 20, 1, 23, 19, 14, 4, 10
