29, 46, 6, 37, 27, 9, 16, 50, 30, 59, 4, 36, 32, 45, 35, 12, 11, 26, 39, 31, 43, 17, 47, 7, 40, 10, 3, 34, 18, 41, 56, 49, 53, 5, 14, 44, 54, 28, 60, 57, 48, 2, 51, 23, 38, 42, 13, 55, 15, 8, 21, 61, 58, 19, 52, 24, 22, 33, 1, 20, 25
3, 34, 18, 10, 40, 7, 47, 17, 43, 31, 39, 26, 11, 12, 35, 45, 32, 36, 4, 59, 30, 50, 16, 9, 27, 37, 6, 46, 29, 41, 56, 49, 53, 5, 14, 44, 54, 28, 60, 57, 48, 51, 23, 2, 38, 42, 13, 55, 15, 8, 21, 61, 58, 19, 52, 24, 22, 33, 1, 20, 25
29, 46, 6, 37, 27, 9, 16, 50, 30, 59, 4, 36, 32, 45, 35, 12, 10, 40, 7, 47, 17, 43, 31, 39, 26, 11, 18, 34, 3, 41, 56, 49, 53, 5, 14, 44, 54, 28, 60, 57, 48, 2, 51, 23, 38, 42, 13, 55, 15, 8, 21, 61, 58, 19, 52, 24, 22, 33, 1, 20, 25
29, 46, 6, 37, 27, 9, 16, 50, 30, 59, 4, 36, 32, 45, 35, 12, 10, 40, 7, 47, 17, 43, 31, 39, 26, 11, 18, 34, 3, 41, 56, 49, 53, 5, 14, 44, 54, 28, 60, 57, 48, 51, 23, 2, 38, 42, 13, 55, 15, 8, 21, 61, 58, 19, 52, 24, 22, 33, 1, 20, 25

29, 46, 6, 37, 27, 9, 16, 50, 30, 59, 4, 36, 32, 45, 35, 11, 26, 39, 31, 43, 17, 47, 3, 34, 18, 12, 10, 40, 7, 41, 56, 49, 53, 5, 14, 44, 54, 28, 60, 57, 48, 2, 51, 23, 38, 42, 13, 55, 15, 8, 21, 61, 58, 19, 52, 24, 22, 33, 1, 20, 25
29, 46, 6, 37, 27, 9, 16, 50, 30, 59, 4, 36, 32, 45, 35, 11, 26, 39, 31, 43, 17, 47, 3, 34, 18, 12, 10, 40, 7, 41, 56, 49, 53, 5, 14, 44, 54, 28, 60, 57, 48, 51, 23, 2, 38, 42, 13, 55, 15, 8, 21, 61, 58, 19, 52, 24, 22, 33, 1, 20, 25
29, 46, 6, 37, 27, 9, 16, 50, 30, 59, 4, 36, 32, 45, 35, 12, 11, 26, 39, 31, 43, 17, 47, 7, 40, 10, 18, 34, 3, 41, 56, 49, 53, 5, 14, 44, 54, 28, 60, 57, 48, 2, 51, 23, 38, 42, 13, 55, 15, 8, 21, 61, 58, 19, 52, 24, 22, 33, 1, 20, 25
3, 34, 18, 10, 40, 7, 47, 17, 43, 31, 39, 26, 11, 12, 35, 45, 32, 36, 4, 59, 30, 50, 16, 9, 27, 37, 6, 46, 29, 41, 56, 49, 53, 5, 14, 44, 54, 28, 60, 57, 48, 2, 51, 23, 38, 42, 13, 55, 15, 8, 21, 61, 58, 19, 52, 24, 22, 33, 1, 20, 25
29, 46, 6, 37, 27, 9, 16, 50, 30, 59, 4, 36, 32, 45, 35, 12, 11, 26, 39, 31, 43, 17, 47, 7, 40, 10, 3, 34, 18, 41, 56, 49, 53, 5, 14, 44, 54, 28, 60, 57, 48, 51, 23, 2, 38, 42, 13, 55, 15, 8, 21, 61, 58, 19, 52, 24, 22, 33, 1, 20, 25
29, 46, 50, 16, 9, 27, 37, 6, 30, 59, 4, 36, 32, 45, 35, 12, 11, 26, 39, 31, 43, 17, 47, 7, 40, 10, 18, 34, 3, 41, 56, 49, 53, 5, 14, 44, 54, 28, 60, 57, 48, 2, 51, 23, 38, 42, 13, 55, 15, 8, 21, 61, 58, 19, 52, 24, 22, 33, 1, 20, 25
29, 46, 6, 37, 27, 9, 16, 50, 30, 59, 4, 36, 32, 45, 35, 12, 11, 26, 39, 31, 43, 17, 47, 7, 40, 10, 18, 34, 3, 41, 56, 49, 53, 5, 14, 44, 54, 28, 60, 57, 48, 51, 2, 23, 38, 42, 13, 55, 15, 8, 21, 61, 58, 19, 52, 24, 22, 33, 1, 20, 25
