6, 11, 9, 45, 55, 10, 25, 32, 31, 36, 59, 43, 22, 47, 78, 46, 41, 77, 64, 4, 79, 87, 21, 72, 30, 5, 2, 52, 75, 54, 62, 24, 84, 48, 88, 76, 51, 86, 1, 60, 8, 15, 14, 71, 37, 27, 53, 73, 82, 67, 83, 40, 38, 70, 28, 7, 44, 66, 57, 33, 68, 29, 16, 65, 69, 13, 63, 49, 3, 42, 34, 19, 56, 17, 26, 35, 80, 23, 81, 61, 39, 20, 12, 50, 58, 18, 74, 85
36, 31, 32, 25, 6, 11, 9, 45, 55, 10, 59, 43, 22, 47, 78, 46, 41, 77, 64, 4, 79, 87, 21, 72, 30, 5, 2, 52, 75, 54, 62, 24, 84, 48, 88, 76, 51, 86, 1, 60, 8, 14, 71, 37, 27, 53, 73, 82, 67, 83, 40, 38, 70, 28, 7, 15, 44, 66, 57, 33, 68, 29, 16, 65, 69, 13, 63, 49, 34, 42, 3, 19, 56, 17, 26, 35, 80, 23, 81, 61, 39, 20, 12, 50, 58, 18, 74, 85
29, 22, 47, 78, 21, 80, 39, 20, 12, 50, 58, 6, 44, 15, 14, 71, 23, 11, 2, 5, 30, 72, 25, 32, 31, 36, 51, 74, 18, 16, 17, 65, 69, 62, 24, 84, 45, 13, 63, 61, 81, 35, 8, 60, 56, 19, 3, 42, 34, 49, 73, 53, 27, 37, 87, 54, 75, 52, 67, 83, 40, 38, 70, 79, 41, 77, 64, 4, 46, 9, 28, 7, 82, 68, 33, 57, 66, 86, 1, 26, 48, 88, 76, 55, 10, 59, 43, 85
14, 71, 23, 58, 50, 12, 20, 39, 80, 21, 78, 47, 22, 29, 18, 74, 51, 36, 31, 32, 25, 72, 30, 2, 15, 44, 6, 11, 5, 16, 17, 65, 69, 62, 24, 84, 45, 13, 63, 61, 81, 35, 8, 60, 56, 19, 3, 42, 34, 49, 73, 53, 27, 37, 87, 54, 75, 52, 67, 83, 40, 38, 70, 79, 41, 77, 64, 4, 46, 9, 28, 7, 82, 68, 33, 57, 66, 86, 1, 26, 48, 88, 76, 55, 10, 59, 43, 85
6, 11, 9, 45, 55, 10, 25, 32, 31, 36, 59, 43, 22, 47, 78, 46, 4, 64, 77, 41, 79, 2, 87, 5, 30, 72, 21, 52, 75, 54, 62, 24, 84, 48, 88, 76, 51, 86, 1, 60, 8, 35, 26, 17, 56, 19, 34, 42, 3, 49, 63, 13, 69, 65, 16, 29, 68, 33, 57, 66, 44, 7, 28, 70, 38, 40, 83, 67, 82, 73, 53, 27, 37, 71, 14, 15, 80, 23, 81, 61, 39, 20, 12, 50, 58, 18, 74, 85
23, 80, 76, 88, 48, 52, 81, 42, 18, 74, 51, 19, 58, 46, 2, 26, 66, 72, 28, 8, 79, 57, 43, 15, 44, 56, 60, 6, 31, 59, 22, 69, 65, 67, 83, 55, 61, 33, 21, 71, 41, 30, 40, 35, 47, 3, 9, 4, 64, 77, 78, 5, 16, 29, 84, 24, 62, 34, 75, 38, 70, 39, 7, 82, 73, 20, 10, 1, 86, 87, 14, 45, 11, 53, 27, 37, 49, 68, 54, 63, 13, 17, 12, 50, 36, 32, 25, 85
6, 11, 9, 45, 55, 10, 25, 32, 31, 36, 59, 43, 22, 47, 78, 46, 41, 77, 64, 4, 79, 87, 5, 2, 30, 72, 21, 52, 75, 54, 62, 24, 84, 48, 88, 76, 51, 86, 1, 60, 8, 15, 67, 83, 40, 38, 70, 28, 7, 82, 73, 53, 27, 37, 71, 14, 44, 66, 57, 33, 68, 29, 16, 65, 69, 13, 63, 49, 34, 42, 3, 19, 56, 17, 26, 35, 80, 23, 81, 61, 39, 20, 12, 50, 58, 18, 74, 85
6, 11, 9, 45, 55, 10, 25, 32, 31, 36, 59, 43, 22, 47, 78, 46, 41, 77, 64, 4, 79, 87, 2, 5, 30, 72, 21, 52, 75, 54, 62, 24, 84, 48, 88, 76, 51, 86, 1, 60, 8, 14, 71, 37, 27, 53, 73, 82, 67, 83, 40, 38, 70, 28, 7, 15, 44, 66, 57, 33, 68, 29, 16, 65, 69, 13, 63, 49, 34, 42, 3, 19, 56, 17, 26, 35, 80, 23, 81, 61, 39, 20, 12, 50, 58, 18, 74, 85
46, 58, 18, 74, 51, 72, 21, 40, 54, 75, 87, 32, 31, 57, 33, 39, 28, 49, 37, 9, 12, 20, 25, 64, 82, 73, 53, 27, 59, 10, 84, 24, 45, 70, 38, 62, 52, 67, 83, 6, 11, 71, 14, 26, 7, 2, 55, 61, 81, 4, 79, 63, 13, 69, 65, 1, 86, 30, 8, 60, 56, 68, 29, 16, 43, 22, 47, 78, 5, 41, 77, 50, 36, 66, 44, 15, 23, 80, 76, 88, 48, 35, 17, 34, 42, 3, 19, 85
6, 11, 9, 45, 55, 10, 25, 32, 31, 36, 59, 43, 22, 47, 78, 46, 4, 64, 77, 41, 79, 87, 21, 72, 30, 5, 2, 52, 75, 54, 62, 24, 84, 48, 88, 76, 51, 86, 1, 60, 8, 35, 26, 17, 56, 19, 34, 42, 3, 49, 63, 13, 69, 65, 16, 29, 68, 33, 57, 66, 44, 67, 83, 40, 38, 70, 28, 7, 82, 73, 53, 27, 37, 71, 14, 15, 80, 23, 81, 61, 39, 20, 12, 50, 58, 18, 74, 85
