42, 45, 17, 18, 29, 14, 21, 31, 20, 16, 36, 47, 44, 58, 54, 1, 13, 43, 15, 25, 56, 2, 37, 48, 53, 57, 50, 33, 34, 7, 27, 55, 40, 24, 39, 19, 23, 41, 28, 30, 5, 35, 6, 49, 3, 12, 38, 8, 10, 32, 46, 26, 9, 22, 4, 52, 51, 11
16, 36, 47, 44, 58, 54, 1, 38, 7, 34, 13, 35, 21, 30, 45, 17, 20, 43, 15, 5, 56, 2, 37, 48, 55, 40, 24, 39, 19, 25, 14, 29, 18, 42, 6, 31, 28, 46, 26, 49, 3, 41, 23, 52, 8, 12, 32, 10, 53, 57, 50, 33, 4, 22, 9, 27, 51, 11
36, 47, 44, 58, 54, 1, 13, 35, 21, 14, 29, 18, 15, 40, 10, 32, 46, 26, 9, 22, 4, 52, 7, 48, 37, 2, 56, 49, 3, 39, 31, 28, 30, 5, 41, 23, 16, 19, 6, 42, 55, 43, 24, 17, 45, 12, 38, 8, 53, 57, 50, 33, 20, 25, 34, 27, 51, 11
16, 5, 30, 28, 31, 20, 35, 21, 14, 29, 18, 17, 45, 43, 15, 23, 36, 47, 44, 58, 54, 1, 13, 41, 42, 3, 49, 6, 19, 39, 24, 40, 55, 27, 7, 34, 33, 50, 57, 53, 48, 37, 2, 56, 25, 12, 38, 8, 10, 32, 46, 26, 9, 22, 4, 52, 51, 11
19, 41, 23, 15, 20, 31, 28, 30, 5, 16, 36, 47, 44, 58, 54, 1, 13, 35, 21, 6, 42, 46, 26, 9, 22, 4, 52, 7, 34, 33, 50, 57, 53, 48, 37, 2, 56, 25, 55, 40, 24, 39, 3, 49, 14, 29, 18, 43, 17, 45, 12, 38, 8, 10, 32, 27, 51, 11
24, 43, 55, 19, 16, 36, 47, 44, 58, 54, 1, 31, 28, 40, 26, 10, 32, 46, 30, 5, 41, 4, 22, 9, 17, 45, 52, 7, 48, 37, 2, 56, 49, 3, 39, 13, 35, 42, 6, 21, 14, 29, 18, 15, 23, 12, 38, 8, 53, 57, 50, 33, 20, 25, 34, 27, 51, 11
42, 18, 29, 14, 21, 35, 20, 31, 28, 30, 5, 16, 36, 47, 44, 58, 54, 1, 13, 17, 45, 43, 15, 25, 56, 2, 37, 48, 53, 57, 50, 33, 34, 7, 27, 55, 40, 24, 39, 19, 23, 41, 3, 49, 6, 12, 38, 8, 10, 32, 46, 26, 9, 22, 4, 52, 51, 11
30, 50, 55, 9, 19, 24, 14, 22, 32, 29, 52, 4, 26, 5, 36, 45, 12, 46, 6, 49, 21, 35, 13, 42, 41, 34, 39, 27, 7, 3, 17, 23, 28, 20, 15, 18, 33, 1, 54, 58, 44, 47, 56, 43, 37, 48, 53, 57, 25, 31, 10, 8, 38, 16, 2, 40, 51, 11
32, 10, 8, 35, 13, 1, 54, 58, 44, 47, 36, 16, 5, 30, 28, 31, 7, 52, 26, 9, 22, 4, 55, 42, 29, 14, 3, 49, 56, 2, 37, 48, 46, 41, 23, 21, 15, 18, 38, 12, 45, 17, 43, 6, 19, 39, 24, 40, 53, 57, 50, 33, 20, 25, 34, 27, 51, 11
20, 31, 28, 30, 5, 16, 36, 47, 44, 58, 54, 1, 13, 35, 21, 14, 29, 18, 25, 56, 2, 37, 48, 53, 57, 50, 33, 34, 7, 27, 55, 40, 24, 39, 19, 6, 49, 3, 42, 41, 23, 15, 43, 17, 45, 12, 38, 8, 10, 32, 46, 26, 9, 22, 4, 52, 51, 11
