20, 33, 74, 51, 49, 4, 44, 57, 40, 6, 59, 26, 52, 15, 32, 21, 42, 70, 39, 13, 67, 12, 3, 19, 56, 34, 5, 37, 2, 36, 11, 30, 17, 65, 69, 1, 23, 35, 72, 41, 64, 46, 76, 24, 71, 31, 28, 25, 45, 54, 14, 8, 47, 53, 9, 50, 7, 73, 68, 48, 75, 22, 60, 66, 27, 43, 58, 55, 10, 63, 16, 61, 38, 29, 18, 62
13, 53, 12, 3, 19, 34, 51, 74, 33, 37, 5, 56, 21, 39, 70, 52, 2, 29, 62, 50, 9, 64, 25, 24, 17, 65, 43, 36, 55, 58, 41, 72, 22, 75, 76, 66, 27, 20, 67, 15, 8, 14, 32, 48, 54, 45, 42, 59, 6, 18, 28, 49, 26, 40, 57, 73, 68, 7, 69, 4, 38, 61, 71, 44, 46, 60, 10, 63, 16, 11, 30, 31, 35, 23, 1, 47
21, 56, 5, 37, 33, 74, 51, 34, 19, 3, 12, 53, 13, 39, 70, 2, 52, 29, 62, 50, 9, 64, 25, 28, 18, 6, 59, 42, 45, 54, 48, 32, 14, 8, 15, 67, 20, 27, 66, 76, 75, 22, 72, 41, 58, 55, 36, 43, 65, 17, 24, 49, 26, 40, 57, 73, 68, 7, 69, 4, 38, 61, 71, 44, 46, 60, 10, 63, 16, 11, 30, 31, 35, 23, 1, 47
65, 69, 1, 23, 35, 72, 41, 64, 46, 76, 14, 8, 47, 53, 9, 2, 36, 37, 5, 34, 33, 74, 51, 49, 4, 44, 68, 73, 57, 40, 26, 52, 15, 20, 67, 12, 3, 19, 56, 6, 59, 24, 17, 30, 11, 71, 31, 28, 25, 45, 54, 7, 50, 27, 66, 60, 22, 75, 48, 13, 39, 70, 42, 21, 32, 43, 58, 55, 10, 63, 16, 61, 38, 29, 18, 62
9, 50, 7, 54, 45, 14, 76, 67, 12, 53, 47, 8, 3, 19, 56, 46, 64, 68, 44, 4, 49, 51, 74, 33, 6, 37, 5, 36, 71, 62, 18, 34, 66, 2, 22, 60, 38, 61, 59, 29, 42, 70, 39, 13, 48, 25, 28, 31, 75, 41, 72, 35, 23, 1, 69, 65, 43, 58, 55, 10, 63, 16, 11, 30, 17, 24, 27, 20, 73, 57, 40, 26, 52, 15, 32, 21
24, 25, 64, 9, 50, 62, 2, 29, 52, 70, 39, 21, 56, 5, 37, 33, 74, 51, 34, 19, 3, 12, 53, 13, 17, 65, 43, 36, 55, 58, 41, 72, 22, 75, 76, 66, 27, 20, 67, 15, 8, 14, 32, 48, 54, 45, 42, 59, 6, 18, 28, 49, 26, 40, 57, 73, 68, 7, 69, 4, 38, 61, 71, 44, 46, 60, 10, 63, 16, 11, 30, 31, 35, 23, 1, 47
21, 56, 6, 37, 5, 34, 13, 39, 67, 20, 27, 66, 76, 75, 42, 70, 17, 65, 43, 18, 28, 24, 62, 52, 32, 14, 8, 15, 25, 45, 54, 48, 22, 72, 41, 64, 59, 29, 2, 36, 55, 58, 33, 74, 51, 49, 50, 9, 53, 12, 3, 19, 26, 40, 57, 73, 68, 7, 69, 4, 38, 61, 71, 44, 46, 60, 10, 63, 16, 11, 30, 31, 35, 23, 1, 47
14, 32, 58, 55, 10, 63, 27, 65, 43, 44, 18, 28, 25, 45, 8, 57, 73, 68, 7, 50, 9, 53, 6, 36, 60, 46, 16, 11, 69, 4, 38, 61, 62, 71, 66, 76, 75, 22, 72, 41, 64, 15, 21, 42, 70, 54, 12, 3, 48, 67, 20, 56, 19, 30, 17, 24, 59, 40, 26, 52, 2, 29, 49, 51, 74, 33, 37, 5, 34, 13, 39, 31, 35, 23, 1, 47
36, 11, 30, 17, 65, 69, 1, 23, 35, 72, 41, 64, 46, 76, 24, 71, 31, 28, 25, 45, 54, 14, 8, 47, 53, 9, 50, 7, 13, 39, 70, 42, 21, 32, 15, 52, 2, 37, 5, 34, 56, 19, 3, 12, 67, 20, 33, 74, 51, 49, 4, 44, 26, 59, 6, 40, 57, 73, 68, 48, 75, 22, 60, 66, 27, 43, 58, 55, 10, 63, 16, 61, 38, 29, 18, 62
4, 44, 13, 39, 49, 51, 74, 33, 20, 67, 12, 3, 19, 28, 25, 45, 54, 7, 50, 9, 53, 47, 8, 14, 76, 46, 64, 41, 72, 35, 23, 1, 69, 65, 26, 59, 6, 40, 57, 70, 42, 21, 32, 15, 52, 56, 34, 5, 37, 2, 36, 11, 30, 17, 24, 71, 31, 73, 68, 48, 75, 22, 60, 66, 27, 43, 58, 55, 10, 63, 16, 61, 38, 29, 18, 62
