9, 13, 34, 6, 22, 24, 7, 3, 10, 16, 27, 25, 2, 32, 11, 5, 1, 33, 28, 31, 8, 26, 29, 15, 30, 4, 23, 14, 18, 12, 17, 20, 21, 19
22, 24, 14, 26, 8, 6, 31, 28, 33, 1, 16, 27, 15, 3, 30, 5, 13, 34, 32, 25, 2, 17, 12, 20, 9, 4, 29, 23, 10, 18, 11, 7, 21, 19
5, 24, 8, 23, 3, 9, 14, 6, 20, 30, 31, 10, 18, 7, 11, 22, 32, 15, 33, 21, 26, 29, 12, 4, 27, 13, 19, 17, 34, 1, 16, 28, 2, 25
10, 31, 33, 21, 3, 6, 23, 20, 17, 5, 18, 13, 19, 12, 29, 26, 14, 9, 32, 15, 27, 4, 30, 7, 24, 8, 34, 1, 16, 11, 22, 28, 2, 25
9, 13, 34, 10, 11, 7, 24, 22, 6, 16, 27, 5, 3, 32, 25, 2, 1, 33, 28, 31, 8, 26, 29, 15, 30, 4, 23, 14, 18, 12, 17, 20, 21, 19
10, 31, 20, 21, 33, 15, 32, 9, 3, 16, 19, 17, 34, 1, 8, 6, 18, 13, 23, 26, 29, 12, 24, 14, 5, 7, 30, 4, 27, 22, 11, 28, 2, 25
15, 5, 30, 4, 17, 13, 11, 7, 14, 18, 2, 32, 21, 29, 24, 27, 1, 16, 31, 28, 3, 6, 19, 25, 22, 34, 26, 8, 12, 33, 20, 10, 9, 23
21, 29, 32, 30, 7, 13, 27, 12, 15, 6, 23, 33, 28, 25, 1, 16, 22, 17, 2, 5, 14, 19, 9, 34, 3, 31, 4, 20, 11, 26, 24, 10, 18, 8
24, 25, 32, 2, 21, 27, 23, 14, 30, 19, 1, 16, 9, 28, 31, 10, 18, 8, 26, 22, 6, 34, 29, 15, 11, 13, 4, 5, 3, 7, 17, 20, 12, 33
24, 11, 13, 9, 16, 1, 19, 21, 2, 32, 25, 4, 28, 31, 30, 15, 29, 34, 10, 18, 8, 26, 22, 6, 14, 23, 27, 5, 3, 7, 17, 20, 12, 33
22, 24, 14, 26, 8, 6, 31, 28, 33, 1, 16, 27, 15, 5, 30, 3, 13, 34, 32, 25, 17, 2, 12, 20, 9, 4, 29, 23, 10, 18, 11, 7, 21, 19
7, 3, 5, 6, 28, 31, 10, 11, 13, 22, 18, 4, 25, 32, 2, 21, 29, 15, 30, 8, 26, 24, 34, 9, 19, 1, 16, 14, 23, 27, 17, 20, 12, 33
5, 29, 15, 30, 7, 3, 8, 11, 26, 24, 6, 13, 22, 34, 9, 28, 31, 10, 18, 4, 25, 32, 21, 2, 19, 1, 16, 14, 23, 27, 17, 20, 12, 33
10, 18, 7, 12, 24, 5, 14, 6, 8, 20, 31, 22, 11, 3, 23, 26, 29, 4, 27, 13, 30, 9, 32, 15, 33, 21, 19, 17, 34, 1, 16, 28, 2, 25
6, 7, 13, 27, 14, 17, 23, 33, 28, 25, 1, 16, 22, 30, 32, 29, 21, 2, 15, 12, 5, 19, 3, 34, 9, 31, 4, 20, 11, 26, 24, 10, 18, 8
2, 16, 12, 6, 23, 33, 28, 25, 15, 5, 17, 22, 30, 32, 29, 21, 1, 7, 13, 27, 14, 19, 9, 34, 3, 31, 4, 20, 11, 26, 24, 10, 18, 8
9, 13, 34, 6, 22, 24, 7, 11, 10, 16, 27, 2, 25, 32, 3, 5, 1, 33, 28, 31, 8, 26, 29, 15, 30, 4, 23, 14, 18, 12, 17, 20, 21, 19
21, 29, 32, 30, 7, 13, 27, 12, 15, 6, 23, 33, 28, 25, 1, 16, 22, 2, 17, 5, 14, 19, 3, 34, 9, 31, 4, 20, 11, 26, 24, 10, 18, 8
6, 22, 26, 8, 14, 23, 34, 29, 24, 25, 32, 2, 21, 19, 1, 16, 9, 28, 31, 10, 18, 30, 15, 27, 11, 13, 4, 5, 3, 7, 17, 20, 12, 33
6, 22, 26, 8, 18, 10, 29, 15, 30, 17, 31, 28, 4, 25, 32, 21, 2, 20, 12, 33, 34, 19, 1, 16, 9, 13, 11, 5, 27, 23, 14, 24, 3, 7
23, 14, 10, 18, 8, 26, 22, 6, 34, 29, 15, 30, 31, 28, 9, 16, 1, 19, 21, 2, 32, 25, 24, 27, 11, 13, 4, 5, 3, 7, 17, 20, 12, 33
5, 30, 32, 29, 21, 14, 27, 13, 7, 2, 17, 22, 16, 1, 25, 28, 33, 23, 6, 15, 12, 19, 3, 34, 9, 31, 4, 20, 11, 26, 24, 10, 18, 8
3, 11, 22, 30, 9, 8, 6, 14, 26, 29, 20, 31, 4, 27, 13, 12, 24, 10, 18, 7, 23, 5, 32, 15, 33, 21, 19, 17, 34, 1, 16, 28, 25, 2
15, 5, 30, 4, 17, 13, 11, 7, 14, 18, 32, 2, 21, 29, 24, 27, 1, 16, 3, 28, 31, 6, 19, 25, 22, 34, 26, 8, 12, 33, 20, 10, 9, 23
10, 18, 7, 12, 29, 26, 14, 6, 8, 20, 31, 3, 11, 22, 23, 13, 27, 4, 24, 5, 30, 9, 32, 15, 33, 21, 19, 17, 34, 1, 16, 28, 2, 25
10, 31, 20, 21, 33, 15, 32, 9, 3, 16, 19, 17, 34, 1, 8, 6, 18, 13, 23, 7, 30, 4, 24, 14, 12, 29, 26, 5, 27, 22, 11, 28, 2, 25
5, 30, 32, 29, 21, 14, 27, 13, 7, 2, 17, 22, 16, 1, 25, 28, 33, 23, 6, 15, 12, 19, 9, 34, 3, 31, 4, 20, 11, 26, 24, 10, 18, 8
15, 13, 27, 14, 16, 1, 12, 2, 5, 17, 22, 30, 32, 29, 21, 25, 28, 33, 23, 6, 7, 19, 3, 34, 9, 31, 4, 20, 11, 26, 24, 10, 18, 8
27, 23, 14, 10, 18, 8, 26, 22, 6, 34, 29, 15, 30, 31, 28, 4, 25, 32, 2, 21, 19, 1, 16, 9, 13, 11, 24, 5, 3, 7, 17, 20, 12, 33
23, 14, 10, 18, 8, 26, 22, 6, 34, 29, 15, 30, 31, 28, 24, 25, 32, 2, 21, 19, 1, 16, 9, 27, 11, 13, 4, 5, 3, 7, 17, 20, 12, 33
5, 24, 8, 23, 3, 9, 14, 6, 20, 30, 31, 10, 18, 7, 11, 22, 32, 15, 33, 21, 26, 29, 12, 4, 27, 13, 19, 17, 34, 1, 16, 28, 25, 2
21, 29, 32, 30, 22, 5, 12, 15, 17, 2, 14, 27, 13, 7, 6, 23, 33, 28, 25, 1, 16, 19, 3, 34, 9, 31, 4, 20, 11, 26, 24, 10, 18, 8
5, 24, 3, 23, 8, 9, 14, 6, 20, 30, 31, 10, 18, 7, 11, 22, 32, 15, 33, 21, 26, 29, 12, 4, 27, 13, 19, 17, 34, 1, 16, 28, 25, 2
8, 23, 3, 24, 5, 9, 14, 6, 20, 30, 31, 10, 18, 7, 11, 22, 32, 15, 33, 21, 26, 29, 12, 4, 27, 13, 19, 17, 34, 1, 16, 28, 2, 25
15, 3, 30, 5, 13, 34, 32, 25, 2, 17, 8, 26, 14, 24, 22, 27, 16, 1, 33, 28, 31, 6, 12, 20, 9, 4, 29, 23, 10, 18, 11, 7, 21, 19
