16, 66, 59, 2, 42, 49, 43, 55, 51, 6, 11, 13, 33, 12, 8, 7, 10, 67, 64, 50, 54, 32, 3, 48, 17, 61, 26, 46, 36, 5, 39, 28, 57, 60, 20, 62, 30, 44, 9, 23, 4, 21, 25, 38, 63, 29, 40, 19, 35, 14, 53, 65, 37, 41, 52, 18, 22, 34, 56, 27, 58, 47, 45, 1, 24, 15, 31
13, 11, 6, 7, 51, 55, 43, 49, 42, 2, 59, 66, 16, 33, 12, 8, 10, 67, 64, 50, 54, 32, 40, 48, 17, 61, 26, 46, 36, 5, 39, 28, 57, 60, 20, 62, 30, 44, 9, 23, 4, 21, 25, 38, 63, 29, 3, 19, 35, 14, 53, 65, 37, 41, 52, 18, 22, 34, 56, 27, 58, 47, 45, 1, 24, 15, 31
16, 66, 59, 2, 42, 49, 43, 55, 51, 6, 11, 13, 33, 12, 8, 7, 10, 67, 64, 50, 54, 32, 62, 48, 17, 61, 26, 46, 36, 5, 39, 28, 57, 60, 20, 3, 30, 44, 9, 23, 4, 21, 25, 38, 63, 29, 40, 19, 35, 14, 53, 65, 37, 41, 52, 18, 22, 34, 56, 27, 58, 47, 45, 1, 24, 15, 31
13, 11, 6, 7, 51, 55, 43, 49, 42, 2, 59, 66, 16, 33, 12, 8, 10, 67, 64, 50, 54, 32, 3, 48, 17, 61, 26, 46, 36, 5, 39, 28, 57, 60, 20, 62, 30, 44, 9, 23, 4, 21, 25, 38, 63, 29, 40, 19, 35, 14, 53, 65, 37, 41, 52, 18, 22, 34, 56, 27, 58, 47, 45, 1, 24, 15, 31
12, 8, 7, 51, 55, 43, 49, 42, 2, 59, 66, 16, 33, 13, 11, 6, 10, 67, 64, 50, 54, 32, 3, 48, 17, 61, 26, 46, 36, 5, 39, 28, 57, 60, 20, 62, 30, 44, 9, 23, 4, 21, 25, 38, 63, 29, 40, 19, 35, 14, 53, 65, 37, 41, 52, 18, 22, 34, 56, 27, 58, 47, 45, 1, 24, 15, 31
16, 66, 59, 2, 42, 49, 43, 55, 51, 8, 12, 33, 13, 11, 6, 7, 10, 67, 64, 50, 54, 32, 40, 48, 17, 61, 26, 46, 36, 5, 39, 28, 57, 60, 20, 62, 30, 44, 9, 23, 4, 21, 25, 38, 63, 29, 3, 19, 35, 14, 53, 65, 37, 41, 52, 18, 22, 34, 56, 27, 58, 47, 45, 1, 24, 15, 31
12, 8, 7, 51, 55, 43, 49, 42, 2, 59, 66, 16, 33, 13, 11, 6, 10, 67, 64, 50, 54, 32, 40, 48, 17, 61, 26, 46, 36, 5, 39, 28, 57, 60, 20, 62, 30, 44, 9, 23, 4, 21, 25, 38, 63, 29, 3, 19, 35, 14, 53, 65, 37, 41, 52, 18, 22, 34, 56, 27, 58, 47, 45, 1, 24, 15, 31
12, 8, 7, 51, 55, 43, 49, 42, 2, 59, 66, 16, 33, 13, 11, 6, 10, 67, 64, 50, 54, 32, 62, 48, 17, 61, 26, 46, 36, 5, 39, 28, 57, 60, 20, 3, 30, 44, 9, 23, 4, 21, 25, 38, 63, 29, 40, 19, 35, 14, 53, 65, 37, 41, 52, 18, 22, 34, 56, 27, 58, 47, 45, 1, 24, 15, 31
16, 66, 59, 2, 42, 49, 43, 55, 51, 6, 11, 13, 33, 12, 8, 7, 10, 67, 64, 50, 54, 32, 40, 48, 17, 61, 26, 46, 36, 5, 39, 28, 57, 60, 20, 62, 30, 44, 9, 23, 4, 21, 25, 38, 63, 29, 3, 19, 35, 14, 53, 65, 37, 41, 52, 18, 22, 34, 56, 27, 58, 47, 45, 1, 24, 15, 31
13, 33, 12, 8, 51, 55, 43, 49, 42, 2, 59, 66, 16, 11, 6, 7, 10, 67, 64, 50, 54, 32, 40, 48, 17, 61, 26, 46, 36, 5, 39, 28, 57, 60, 20, 62, 30, 44, 9, 23, 4, 21, 25, 38, 63, 29, 3, 19, 35, 14, 53, 65, 37, 41, 52, 18, 22, 34, 56, 27, 58, 47, 45, 1, 24, 15, 31
