2, 7, 11, 16, 14, 3, 8, 4, 9, 13, 10, 20, 6, 19, 5, 15, 18, 1, 17, 12
20, 11, 13, 19, 10, 7, 12, 17, 1, 18, 3, 6, 4, 16, 5, 2, 9, 14, 15, 8
2, 7, 11, 16, 14, 13, 8, 4, 9, 3, 10, 20, 6, 19, 5, 15, 18, 1, 17, 12
4, 20, 14, 6, 7, 10, 16, 9, 8, 2, 15, 11, 3, 13, 19, 5, 18, 1, 17, 12
10, 13, 3, 6, 14, 2, 9, 11, 20, 4, 16, 7, 8, 19, 5, 15, 18, 1, 17, 12
9, 4, 8, 3, 14, 16, 11, 2, 7, 13, 10, 20, 6, 19, 5, 15, 18, 1, 17, 12
9, 4, 8, 13, 14, 16, 2, 11, 7, 3, 10, 20, 6, 19, 5, 15, 18, 1, 17, 12
3, 6, 2, 13, 19, 8, 11, 9, 10, 4, 15, 20, 14, 7, 16, 5, 18, 1, 17, 12
11, 20, 4, 10, 16, 7, 2, 14, 6, 3, 13, 9, 8, 19, 5, 15, 18, 1, 17, 12
8, 10, 16, 13, 3, 6, 14, 9, 11, 7, 2, 20, 4, 19, 5, 15, 18, 1, 17, 12
7, 11, 16, 14, 9, 8, 3, 4, 2, 13, 10, 20, 6, 19, 5, 15, 18, 1, 17, 12
7, 12, 17, 1, 18, 3, 8, 10, 15, 14, 19, 13, 11, 20, 4, 6, 16, 9, 5, 2
7, 2, 19, 13, 8, 5, 9, 16, 4, 14, 6, 10, 3, 11, 20, 15, 18, 1, 17, 12
2, 9, 4, 7, 11, 16, 14, 3, 8, 13, 10, 20, 6, 19, 5, 15, 18, 1, 17, 12
2, 5, 9, 8, 4, 19, 13, 16, 7, 14, 3, 10, 6, 11, 20, 15, 18, 1, 17, 12
11, 9, 10, 16, 13, 3, 6, 14, 8, 2, 7, 20, 4, 19, 5, 15, 18, 1, 17, 12
10, 13, 3, 6, 14, 2, 4, 20, 11, 9, 16, 7, 8, 19, 5, 15, 18, 1, 17, 12
20, 11, 13, 19, 10, 7, 12, 17, 1, 18, 3, 6, 4, 16, 2, 8, 15, 14, 9, 5
8, 10, 16, 13, 3, 6, 14, 9, 11, 2, 7, 20, 4, 19, 5, 15, 18, 1, 17, 12
7, 2, 20, 14, 6, 16, 9, 4, 10, 8, 15, 11, 3, 13, 19, 5, 18, 1, 17, 12
2, 7, 20, 14, 6, 16, 9, 4, 10, 8, 15, 5, 19, 13, 3, 11, 18, 1, 17, 12
9, 4, 8, 3, 14, 16, 2, 11, 7, 13, 10, 20, 6, 19, 5, 15, 18, 1, 17, 12
13, 3, 6, 14, 2, 4, 10, 16, 7, 20, 11, 9, 8, 19, 5, 15, 18, 1, 17, 12
3, 2, 6, 13, 19, 8, 11, 9, 10, 4, 15, 20, 14, 7, 16, 5, 18, 1, 17, 12
9, 4, 8, 13, 14, 16, 11, 2, 7, 3, 10, 20, 6, 19, 5, 15, 18, 1, 17, 12
2, 5, 9, 8, 4, 19, 13, 16, 7, 14, 6, 10, 3, 11, 20, 15, 18, 1, 17, 12
7, 12, 17, 1, 18, 3, 8, 10, 15, 14, 19, 13, 11, 20, 4, 6, 16, 2, 9, 5
2, 8, 14, 9, 16, 11, 6, 10, 13, 4, 3, 20, 7, 19, 5, 15, 18, 1, 17, 12
2, 7, 8, 14, 6, 3, 13, 16, 10, 9, 11, 20, 4, 19, 5, 15, 18, 1, 17, 12
2, 9, 4, 7, 11, 16, 14, 13, 8, 3, 10, 20, 6, 19, 5, 15, 18, 1, 17, 12
