95, 93, 41, 12, 52, 62, 47, 19, 74, 18, 39, 60, 6, 38, 88, 27, 33, 32, 66, 42, 55, 3, 54, 17, 51, 84, 8, 7, 82, 79, 43, 48, 64, 15, 36, 24, 91, 23, 65, 78, 92, 71, 44, 90, 76, 46, 53, 20, 14, 31, 56, 85, 49, 37, 70, 13, 4, 45, 2, 30, 26, 22, 57, 67, 40, 87, 89, 73, 58, 50, 72, 21, 25, 34, 59, 10, 69, 61, 81, 11, 77, 86, 1, 29, 75, 63, 83, 5, 28, 16, 80, 35, 9, 68, 94
95, 70, 13, 4, 61, 15, 71, 10, 74, 19, 23, 88, 38, 6, 17, 57, 67, 41, 45, 3, 54, 29, 55, 85, 8, 36, 24, 62, 34, 25, 82, 27, 43, 78, 44, 91, 58, 73, 5, 83, 52, 84, 51, 11, 7, 39, 77, 86, 75, 81, 31, 48, 16, 80, 35, 21, 28, 59, 79, 50, 18, 63, 9, 68, 87, 40, 49, 64, 2, 94, 89, 46, 47, 76, 72, 53, 20, 14, 69, 60, 56, 65, 93, 30, 90, 12, 92, 33, 32, 66, 42, 1, 37, 22, 26
95, 53, 72, 6, 38, 88, 23, 68, 48, 64, 70, 37, 49, 71, 15, 81, 61, 30, 2, 18, 63, 54, 12, 92, 62, 73, 65, 66, 24, 50, 28, 59, 34, 76, 46, 89, 19, 74, 75, 3, 32, 33, 26, 45, 94, 60, 39, 7, 82, 25, 16, 57, 67, 41, 56, 52, 83, 5, 36, 4, 44, 78, 21, 8, 85, 55, 9, 35, 80, 79, 58, 91, 13, 90, 51, 93, 20, 14, 84, 69, 10, 31, 87, 40, 17, 77, 86, 1, 42, 43, 22, 27, 11, 47, 29
95, 93, 5, 83, 63, 75, 29, 28, 16, 80, 12, 52, 62, 47, 19, 74, 18, 39, 60, 6, 38, 88, 41, 69, 10, 59, 34, 25, 21, 72, 50, 1, 86, 77, 11, 81, 61, 67, 94, 15, 64, 48, 43, 79, 82, 7, 8, 36, 24, 91, 23, 65, 78, 92, 71, 44, 90, 76, 46, 53, 20, 14, 31, 56, 85, 49, 37, 70, 13, 4, 68, 84, 51, 17, 54, 3, 40, 87, 89, 73, 58, 55, 42, 66, 32, 33, 27, 35, 9, 45, 2, 30, 26, 22, 57
95, 53, 72, 6, 38, 88, 23, 68, 48, 64, 70, 37, 49, 71, 15, 81, 61, 30, 2, 18, 63, 54, 12, 92, 62, 73, 65, 66, 24, 50, 28, 59, 34, 76, 46, 89, 19, 74, 75, 3, 32, 33, 26, 45, 94, 60, 39, 7, 82, 25, 16, 57, 67, 41, 56, 52, 83, 5, 36, 4, 44, 78, 21, 8, 85, 55, 29, 47, 11, 27, 22, 43, 42, 1, 86, 77, 17, 40, 87, 31, 10, 69, 84, 14, 20, 93, 9, 35, 80, 79, 58, 91, 13, 90, 51
95, 93, 20, 53, 72, 8, 85, 55, 3, 54, 29, 75, 22, 36, 46, 76, 34, 65, 23, 88, 38, 6, 50, 79, 59, 28, 21, 35, 80, 16, 13, 4, 61, 81, 89, 14, 62, 33, 69, 60, 74, 10, 71, 37, 49, 40, 87, 31, 68, 41, 67, 57, 18, 63, 9, 56, 25, 15, 66, 17, 32, 26, 64, 2, 45, 47, 19, 24, 42, 1, 86, 77, 39, 7, 82, 91, 58, 73, 51, 84, 52, 83, 5, 92, 70, 48, 27, 43, 78, 44, 30, 12, 90, 11, 94
95, 38, 6, 60, 39, 7, 67, 51, 17, 61, 74, 19, 47, 73, 58, 56, 27, 32, 66, 65, 43, 87, 40, 49, 16, 28, 94, 12, 50, 93, 33, 37, 70, 13, 4, 45, 9, 2, 26, 22, 57, 25, 64, 15, 71, 35, 80, 21, 91, 53, 20, 89, 76, 46, 30, 86, 1, 29, 31, 88, 23, 48, 24, 62, 52, 83, 5, 41, 36, 84, 14, 34, 59, 10, 8, 75, 63, 69, 85, 54, 3, 55, 42, 44, 78, 81, 11, 90, 77, 72, 79, 92, 82, 68, 18
95, 58, 57, 22, 26, 2, 9, 45, 4, 13, 70, 37, 84, 14, 34, 59, 65, 66, 32, 24, 62, 52, 83, 5, 8, 10, 21, 72, 77, 90, 11, 81, 78, 44, 42, 55, 3, 54, 85, 69, 28, 16, 80, 35, 71, 15, 64, 94, 20, 89, 76, 46, 30, 86, 1, 29, 75, 63, 18, 68, 82, 7, 39, 60, 6, 38, 79, 92, 53, 91, 50, 12, 31, 88, 23, 51, 17, 61, 74, 19, 47, 73, 25, 93, 56, 27, 43, 87, 40, 49, 33, 36, 41, 67, 48
95, 5, 3, 35, 9, 45, 83, 52, 56, 41, 67, 57, 16, 25, 82, 7, 39, 60, 54, 12, 92, 65, 37, 70, 64, 48, 62, 73, 13, 74, 19, 89, 46, 76, 81, 15, 71, 14, 20, 53, 72, 6, 38, 88, 23, 93, 26, 33, 32, 66, 34, 58, 91, 63, 18, 2, 30, 36, 75, 51, 84, 69, 10, 21, 78, 44, 4, 8, 85, 55, 29, 43, 59, 28, 50, 24, 79, 80, 49, 90, 61, 47, 11, 27, 22, 42, 1, 86, 77, 17, 40, 87, 31, 68, 94
95, 69, 28, 16, 49, 40, 87, 43, 65, 66, 32, 27, 56, 58, 73, 47, 19, 74, 61, 17, 51, 4, 13, 70, 37, 33, 93, 67, 7, 39, 60, 6, 80, 21, 72, 91, 53, 20, 89, 76, 46, 30, 86, 1, 29, 31, 88, 23, 48, 24, 62, 52, 83, 5, 94, 12, 50, 45, 9, 2, 26, 22, 57, 25, 64, 15, 71, 35, 77, 90, 11, 81, 78, 44, 42, 55, 3, 54, 85, 38, 79, 92, 82, 68, 18, 63, 75, 8, 10, 59, 34, 14, 84, 36, 41
