42, 47, 80, 76, 40, 25, 72, 64, 63, 22, 57, 28, 56, 79, 16, 83, 7, 85, 11, 82, 34, 23, 41, 52, 58, 73, 78, 38, 29, 19, 46, 45, 51, 5, 3, 50, 60, 6, 9, 15, 77, 26, 13, 33, 4, 20, 53, 61, 65, 21, 36, 74, 14, 75, 35, 43, 2, 32, 59, 27, 70, 81, 69, 30, 68, 84, 24, 62, 39, 17, 44, 10, 18, 31, 37, 12, 49, 66, 67, 8, 1, 48, 54, 55, 71
29, 38, 78, 73, 58, 52, 41, 23, 34, 82, 11, 85, 7, 83, 16, 79, 56, 28, 57, 22, 63, 64, 72, 25, 40, 76, 80, 47, 42, 19, 46, 45, 51, 5, 3, 50, 60, 6, 9, 15, 77, 26, 13, 33, 4, 20, 53, 61, 65, 21, 36, 74, 14, 75, 35, 43, 2, 32, 59, 27, 70, 81, 69, 30, 68, 84, 24, 62, 39, 17, 44, 10, 18, 31, 37, 12, 49, 66, 67, 8, 1, 48, 54, 55, 71
13, 58, 19, 39, 62, 24, 84, 68, 76, 40, 25, 7, 85, 33, 4, 59, 64, 72, 36, 61, 1, 8, 67, 66, 49, 42, 20, 53, 75, 71, 2, 9, 46, 45, 29, 38, 47, 80, 12, 37, 74, 14, 22, 41, 6, 60, 50, 30, 63, 11, 82, 43, 18, 77, 17, 69, 81, 70, 27, 15, 10, 44, 48, 31, 52, 55, 73, 78, 16, 83, 26, 35, 57, 23, 34, 65, 21, 28, 56, 79, 32, 54, 51, 5, 3
63, 30, 50, 17, 69, 81, 70, 34, 23, 57, 66, 67, 2, 32, 79, 33, 13, 22, 14, 74, 37, 8, 1, 61, 36, 42, 20, 53, 75, 71, 55, 54, 28, 21, 65, 56, 35, 43, 85, 7, 25, 40, 76, 80, 47, 45, 46, 29, 41, 4, 10, 44, 48, 72, 64, 59, 27, 38, 51, 5, 3, 60, 6, 11, 82, 68, 49, 12, 84, 24, 62, 39, 19, 58, 73, 78, 16, 83, 26, 77, 15, 9, 52, 31, 18
43, 35, 75, 14, 74, 36, 21, 65, 61, 53, 20, 4, 33, 13, 42, 25, 72, 64, 63, 22, 57, 28, 56, 79, 29, 47, 80, 76, 40, 16, 83, 26, 77, 15, 9, 6, 60, 50, 3, 19, 46, 45, 51, 32, 2, 59, 38, 78, 73, 58, 52, 5, 7, 85, 11, 82, 34, 23, 41, 27, 70, 81, 69, 30, 68, 84, 24, 62, 39, 17, 44, 10, 18, 31, 37, 12, 49, 66, 67, 8, 1, 48, 54, 55, 71
30, 74, 14, 36, 53, 3, 5, 65, 28, 44, 49, 66, 67, 8, 1, 48, 75, 54, 55, 71, 25, 7, 85, 20, 42, 13, 33, 4, 21, 10, 50, 60, 6, 41, 17, 69, 81, 70, 27, 59, 51, 22, 72, 64, 15, 77, 26, 83, 16, 63, 56, 79, 80, 2, 12, 37, 31, 52, 9, 39, 19, 78, 73, 76, 40, 61, 58, 43, 35, 32, 11, 82, 34, 23, 57, 18, 68, 84, 24, 62, 47, 38, 29, 46, 45
36, 45, 46, 29, 41, 6, 60, 38, 85, 43, 35, 56, 65, 47, 80, 76, 40, 25, 5, 51, 79, 32, 2, 3, 7, 69, 81, 70, 34, 44, 10, 4, 72, 64, 59, 27, 61, 1, 8, 67, 66, 57, 23, 17, 48, 33, 13, 22, 50, 30, 63, 14, 74, 37, 42, 20, 53, 75, 71, 55, 54, 28, 21, 11, 82, 68, 49, 12, 84, 24, 62, 39, 19, 58, 73, 78, 16, 83, 26, 77, 15, 9, 52, 31, 18
51, 45, 46, 19, 3, 50, 60, 6, 9, 15, 77, 26, 83, 16, 40, 76, 80, 47, 29, 79, 56, 28, 57, 22, 63, 64, 72, 25, 42, 13, 33, 4, 20, 53, 61, 65, 21, 36, 74, 14, 75, 35, 43, 2, 32, 59, 38, 78, 73, 58, 52, 5, 41, 23, 34, 82, 11, 85, 7, 27, 70, 81, 69, 30, 68, 84, 24, 62, 39, 17, 44, 10, 18, 31, 37, 12, 49, 66, 67, 8, 1, 48, 54, 55, 71
27, 59, 64, 72, 4, 10, 44, 34, 70, 81, 69, 7, 51, 2, 32, 79, 3, 5, 25, 40, 76, 80, 47, 65, 56, 35, 43, 85, 38, 60, 6, 41, 29, 46, 45, 36, 61, 1, 8, 67, 66, 57, 23, 17, 48, 33, 13, 22, 50, 30, 63, 14, 74, 37, 42, 20, 53, 75, 71, 55, 54, 28, 21, 11, 82, 68, 49, 12, 84, 24, 62, 39, 19, 58, 73, 78, 16, 83, 26, 77, 15, 9, 52, 31, 18
34, 65, 21, 28, 56, 79, 32, 54, 48, 3, 5, 51, 45, 9, 15, 77, 67, 8, 1, 61, 36, 72, 64, 59, 4, 33, 13, 42, 20, 53, 75, 71, 18, 2, 23, 57, 35, 26, 83, 16, 78, 73, 55, 52, 31, 29, 38, 47, 80, 12, 37, 74, 81, 69, 17, 43, 82, 11, 63, 30, 50, 60, 6, 41, 22, 14, 46, 66, 49, 58, 19, 39, 62, 24, 84, 68, 76, 40, 25, 7, 85, 70, 27, 10, 44
