7, 65, 72, 37, 59, 4, 26, 45, 11, 13, 21, 12, 42, 24, 38, 14, 49, 66, 17, 63, 5, 3, 47, 61, 23, 31, 62, 48, 39, 40, 28, 60, 52, 29, 16, 1, 70, 2, 71, 44, 67, 32, 55, 33, 64, 69, 27, 10, 43, 25, 36, 51, 19, 20, 41, 68, 35, 56, 50, 8, 34, 53, 30, 46, 6, 22, 58, 18, 9, 54, 15, 57
23, 11, 43, 25, 36, 48, 62, 26, 72, 65, 20, 4, 39, 27, 69, 38, 14, 45, 7, 19, 51, 12, 21, 31, 60, 52, 29, 53, 34, 8, 68, 41, 64, 33, 55, 32, 67, 44, 71, 2, 70, 1, 16, 61, 28, 42, 24, 17, 63, 5, 10, 47, 3, 30, 46, 49, 66, 13, 59, 37, 40, 50, 56, 35, 6, 22, 58, 18, 9, 54, 15, 57
13, 66, 27, 17, 3, 5, 69, 38, 11, 59, 4, 39, 21, 20, 28, 61, 50, 56, 46, 30, 45, 34, 8, 67, 32, 23, 55, 33, 64, 6, 44, 63, 16, 1, 70, 42, 12, 51, 19, 7, 71, 47, 37, 43, 10, 41, 68, 52, 60, 31, 25, 36, 48, 62, 14, 49, 35, 40, 2, 26, 72, 65, 53, 29, 24, 22, 58, 18, 9, 54, 15, 57
12, 42, 46, 30, 45, 63, 44, 6, 64, 33, 55, 23, 51, 19, 7, 71, 47, 37, 43, 10, 70, 1, 16, 32, 67, 8, 34, 21, 39, 4, 59, 11, 38, 69, 5, 27, 17, 3, 66, 13, 20, 28, 61, 50, 56, 41, 68, 52, 60, 31, 25, 36, 48, 62, 14, 49, 35, 40, 2, 26, 72, 65, 53, 29, 24, 22, 58, 18, 9, 54, 15, 57
28, 40, 44, 71, 2, 70, 1, 16, 29, 52, 60, 31, 20, 21, 12, 42, 24, 38, 14, 49, 66, 17, 63, 5, 3, 47, 10, 43, 61, 23, 11, 67, 32, 55, 33, 64, 69, 27, 37, 72, 65, 50, 56, 45, 7, 25, 36, 51, 19, 13, 59, 4, 26, 62, 48, 39, 35, 68, 41, 8, 34, 53, 30, 46, 6, 22, 58, 18, 9, 54, 15, 57
23, 55, 33, 64, 6, 44, 63, 45, 30, 46, 42, 16, 1, 70, 10, 43, 37, 47, 71, 7, 19, 51, 12, 32, 67, 8, 34, 21, 39, 4, 59, 11, 38, 69, 5, 27, 17, 3, 66, 13, 20, 28, 61, 50, 56, 41, 68, 52, 60, 31, 25, 36, 48, 62, 14, 49, 35, 2, 40, 26, 72, 65, 53, 29, 24, 22, 58, 18, 9, 54, 15, 57
3, 47, 10, 4, 29, 25, 26, 72, 65, 41, 5, 63, 1, 70, 2, 71, 16, 18, 43, 12, 51, 19, 37, 7, 45, 44, 40, 39, 17, 24, 42, 27, 64, 6, 52, 60, 31, 23, 62, 48, 36, 68, 35, 56, 50, 61, 28, 20, 13, 66, 49, 14, 38, 69, 33, 55, 32, 67, 11, 21, 46, 30, 53, 34, 58, 22, 8, 59, 54, 9, 15, 57
5, 63, 17, 24, 29, 3, 52, 60, 31, 23, 11, 51, 19, 20, 13, 66, 49, 46, 30, 53, 34, 8, 59, 37, 40, 39, 62, 48, 36, 16, 1, 70, 44, 6, 64, 33, 25, 43, 10, 4, 27, 69, 38, 14, 71, 47, 21, 2, 26, 72, 65, 12, 42, 28, 61, 50, 56, 35, 68, 41, 45, 7, 67, 32, 55, 22, 58, 18, 9, 54, 15, 57
45, 34, 8, 59, 38, 39, 40, 37, 26, 72, 6, 64, 25, 43, 10, 54, 15, 57, 11, 47, 63, 5, 3, 1, 70, 12, 51, 19, 60, 31, 44, 56, 50, 61, 28, 20, 33, 55, 32, 67, 23, 62, 48, 36, 9, 7, 18, 71, 2, 58, 65, 13, 66, 35, 68, 41, 69, 27, 4, 42, 52, 29, 16, 17, 22, 24, 49, 14, 53, 30, 46, 21
7, 4, 42, 67, 32, 55, 33, 45, 34, 8, 59, 25, 36, 18, 22, 24, 71, 2, 58, 65, 27, 69, 41, 68, 35, 54, 15, 57, 11, 39, 38, 66, 13, 64, 6, 44, 48, 62, 23, 31, 60, 52, 29, 16, 56, 50, 61, 28, 20, 9, 19, 51, 12, 70, 1, 17, 63, 5, 3, 47, 10, 43, 72, 26, 37, 40, 49, 14, 53, 30, 46, 21
