15, 48, 17, 37, 10, 40, 18, 36, 25, 6, 7, 31, 16, 12, 27, 23, 39, 41, 24, 44, 50, 5, 29, 43, 35, 47, 13, 20, 14, 8, 9, 1, 42, 38, 2, 30, 46, 3, 45, 19, 34, 49, 33, 21, 32, 26, 22, 11, 4, 28
27, 12, 16, 31, 7, 6, 25, 36, 18, 40, 10, 37, 17, 48, 15, 23, 39, 41, 24, 44, 50, 5, 29, 43, 35, 47, 13, 20, 14, 8, 9, 1, 42, 38, 2, 30, 46, 3, 45, 19, 34, 49, 33, 21, 32, 4, 11, 22, 26, 28
6, 7, 31, 16, 12, 27, 25, 36, 18, 40, 10, 37, 17, 48, 15, 23, 39, 5, 50, 44, 24, 41, 29, 43, 35, 47, 13, 20, 14, 8, 9, 1, 42, 38, 2, 3, 46, 30, 45, 19, 34, 49, 33, 21, 32, 4, 11, 22, 26, 28
15, 48, 17, 37, 10, 40, 18, 36, 25, 27, 12, 16, 31, 7, 6, 23, 39, 41, 24, 44, 50, 5, 29, 43, 35, 47, 13, 20, 14, 8, 9, 1, 42, 3, 2, 38, 46, 30, 45, 19, 34, 49, 33, 21, 32, 26, 22, 11, 4, 28
18, 36, 25, 6, 48, 24, 41, 39, 23, 15, 37, 10, 29, 43, 35, 47, 27, 13, 40, 17, 7, 31, 16, 12, 44, 50, 5, 20, 14, 8, 9, 1, 42, 38, 2, 30, 46, 3, 45, 19, 34, 49, 33, 21, 32, 4, 11, 22, 26, 28
6, 7, 31, 16, 12, 27, 25, 36, 18, 40, 10, 37, 17, 48, 13, 47, 35, 43, 29, 5, 50, 44, 24, 41, 39, 23, 15, 20, 14, 8, 9, 1, 42, 2, 3, 38, 46, 30, 45, 19, 34, 49, 33, 21, 32, 26, 22, 11, 4, 28
37, 4, 32, 33, 15, 25, 7, 9, 1, 42, 24, 16, 44, 27, 28, 49, 41, 10, 29, 43, 11, 45, 21, 35, 17, 40, 18, 36, 5, 50, 34, 20, 26, 12, 19, 30, 46, 31, 14, 22, 39, 8, 47, 13, 48, 6, 3, 2, 38, 23
18, 36, 25, 6, 48, 24, 41, 39, 23, 15, 37, 10, 29, 43, 35, 47, 27, 13, 40, 17, 7, 31, 16, 12, 44, 50, 5, 20, 14, 8, 9, 1, 42, 2, 3, 38, 46, 30, 45, 19, 34, 49, 33, 21, 32, 26, 22, 11, 4, 28
27, 12, 16, 31, 7, 6, 25, 36, 18, 40, 10, 37, 17, 48, 15, 23, 39, 41, 24, 44, 50, 5, 29, 43, 35, 47, 13, 20, 14, 8, 9, 1, 42, 38, 2, 30, 46, 3, 45, 19, 34, 49, 33, 21, 32, 26, 22, 11, 4, 28
15, 48, 17, 37, 10, 40, 18, 36, 25, 27, 12, 16, 31, 7, 6, 23, 39, 5, 50, 44, 24, 41, 29, 43, 35, 47, 13, 20, 14, 8, 9, 1, 42, 2, 38, 30, 46, 3, 45, 19, 34, 49, 33, 21, 32, 26, 22, 11, 4, 28
31, 1, 42, 24, 16, 44, 27, 28, 49, 41, 10, 29, 43, 11, 45, 21, 35, 17, 40, 18, 36, 5, 50, 14, 22, 39, 8, 47, 13, 48, 6, 37, 4, 32, 33, 15, 25, 7, 9, 34, 20, 26, 12, 19, 30, 46, 3, 2, 38, 23
19, 12, 26, 20, 34, 31, 37, 4, 32, 33, 15, 50, 5, 36, 18, 40, 17, 35, 21, 30, 46, 45, 11, 43, 29, 10, 41, 49, 28, 27, 44, 16, 24, 42, 1, 9, 7, 25, 14, 22, 6, 48, 13, 47, 8, 39, 3, 2, 38, 23
46, 30, 19, 12, 26, 20, 34, 9, 7, 25, 15, 33, 32, 4, 37, 31, 1, 42, 24, 16, 44, 27, 28, 49, 41, 10, 29, 43, 11, 45, 21, 35, 17, 40, 18, 36, 5, 50, 14, 22, 6, 48, 13, 47, 8, 39, 3, 2, 38, 23
15, 48, 17, 37, 10, 40, 18, 36, 25, 27, 12, 16, 31, 7, 6, 23, 39, 41, 24, 44, 50, 5, 29, 43, 35, 47, 13, 20, 14, 8, 9, 1, 42, 2, 38, 30, 46, 3, 45, 19, 34, 49, 33, 21, 32, 4, 11, 22, 26, 28
7, 25, 15, 33, 32, 4, 37, 9, 1, 42, 24, 16, 44, 27, 28, 49, 41, 10, 29, 43, 11, 45, 21, 35, 17, 40, 18, 36, 5, 50, 34, 20, 26, 12, 19, 30, 46, 31, 14, 22, 39, 8, 47, 13, 48, 6, 3, 2, 38, 23
15, 48, 17, 37, 10, 40, 18, 36, 25, 27, 12, 16, 31, 7, 6, 23, 39, 5, 50, 44, 24, 41, 29, 43, 35, 47, 13, 20, 14, 8, 9, 1, 42, 38, 2, 30, 46, 3, 45, 19, 34, 49, 33, 21, 32, 4, 11, 22, 26, 28
36, 18, 40, 17, 35, 21, 45, 11, 43, 29, 10, 41, 49, 28, 27, 44, 16, 24, 42, 1, 9, 7, 25, 15, 33, 32, 4, 37, 31, 34, 20, 26, 12, 19, 30, 46, 5, 50, 14, 22, 6, 48, 13, 47, 8, 39, 3, 2, 38, 23
18, 36, 25, 6, 48, 24, 41, 39, 23, 15, 37, 10, 29, 43, 35, 47, 27, 13, 40, 17, 7, 31, 16, 12, 44, 50, 5, 20, 14, 8, 9, 1, 42, 38, 2, 30, 46, 3, 45, 19, 34, 49, 33, 21, 32, 26, 22, 11, 4, 28
