7, 24, 19, 1, 27, 25, 14, 9, 11, 21, 3, 16, 20, 18, 17, 22, 12, 4, 2, 8, 26, 6, 5, 15, 13, 10, 23
14, 25, 27, 1, 19, 24, 20, 16, 18, 7, 9, 11, 21, 6, 17, 22, 12, 4, 8, 2, 26, 3, 5, 15, 13, 10, 23
12, 22, 17, 18, 2, 8, 21, 7, 20, 26, 3, 5, 24, 19, 1, 27, 25, 13, 15, 6, 16, 11, 9, 14, 4, 10, 23
12, 22, 17, 18, 2, 8, 21, 5, 3, 26, 20, 7, 24, 19, 1, 27, 25, 13, 15, 6, 16, 4, 14, 9, 11, 10, 23
11, 21, 6, 16, 20, 24, 19, 1, 27, 25, 14, 9, 7, 18, 17, 22, 12, 4, 8, 2, 26, 3, 5, 15, 13, 10, 23
20, 16, 6, 7, 17, 22, 18, 12, 3, 4, 21, 8, 14, 2, 24, 19, 1, 27, 25, 11, 26, 13, 15, 5, 9, 10, 23
4, 7, 16, 20, 17, 22, 3, 12, 18, 14, 21, 6, 11, 25, 27, 1, 19, 24, 8, 2, 26, 13, 15, 5, 9, 10, 23
5, 26, 20, 16, 7, 4, 6, 10, 25, 27, 1, 19, 24, 15, 13, 21, 18, 12, 22, 17, 9, 14, 11, 3, 8, 2, 23
12, 22, 17, 18, 2, 8, 3, 5, 21, 26, 20, 7, 24, 19, 1, 27, 25, 13, 15, 6, 16, 11, 9, 14, 4, 10, 23
5, 21, 26, 20, 7, 3, 8, 2, 18, 17, 22, 12, 24, 19, 1, 27, 25, 13, 15, 6, 16, 4, 14, 9, 11, 10, 23
11, 21, 3, 16, 20, 24, 19, 1, 27, 25, 14, 9, 7, 18, 17, 22, 12, 4, 2, 8, 26, 6, 5, 15, 13, 10, 23
11, 21, 20, 16, 3, 24, 19, 1, 27, 25, 14, 9, 7, 18, 17, 22, 12, 4, 2, 8, 26, 6, 5, 15, 13, 10, 23
18, 11, 25, 27, 1, 19, 24, 2, 4, 21, 20, 16, 6, 7, 17, 22, 14, 8, 12, 3, 26, 13, 15, 5, 9, 10, 23
11, 21, 20, 16, 3, 24, 19, 1, 27, 25, 14, 9, 7, 18, 17, 22, 12, 4, 8, 2, 26, 6, 5, 15, 13, 10, 23
11, 21, 3, 16, 20, 24, 19, 1, 27, 25, 14, 9, 7, 18, 17, 22, 12, 4, 8, 2, 26, 6, 5, 15, 13, 10, 23
5, 21, 26, 20, 7, 3, 8, 2, 18, 17, 22, 12, 24, 19, 1, 27, 25, 13, 15, 6, 16, 11, 9, 14, 4, 10, 23
6, 7, 17, 22, 14, 8, 16, 20, 21, 4, 2, 24, 19, 1, 27, 25, 11, 18, 12, 3, 26, 13, 15, 5, 9, 10, 23
12, 22, 17, 18, 2, 8, 3, 5, 21, 26, 20, 7, 24, 19, 1, 27, 25, 13, 15, 6, 16, 4, 14, 9, 11, 10, 23
5, 3, 26, 20, 7, 21, 8, 2, 18, 17, 22, 12, 24, 19, 1, 27, 25, 13, 15, 6, 16, 4, 14, 9, 11, 10, 23
3, 21, 11, 16, 20, 24, 19, 1, 27, 25, 14, 9, 7, 18, 4, 12, 22, 17, 8, 2, 26, 6, 5, 15, 13, 10, 23
11, 21, 3, 16, 20, 24, 19, 1, 27, 25, 14, 9, 7, 18, 4, 12, 22, 17, 2, 8, 26, 6, 5, 15, 13, 10, 23
